mechanism_id,mechanism_name,evidence_lane,development_trade_count,holdout_trade_count,development_sessions,holdout_sessions,development_expiries,holdout_expiries,underlying_holdout_expectancy,underlying_target_before_stop_rate,underlying_MFE,underlying_MAE,option_gross_expectancy,option_net_expectancy,profit_factor,win_rate,average_winner,average_loser,payoff_ratio,maximum_drawdown,positive_WFA_folds,total_WFA_folds,clustered_bootstrap_median,clustered_bootstrap_lower_bound,best_matching_control,margin_over_best_control,one_bar_delayed_entry_expectancy,two_bar_delayed_entry_expectancy,top_1_removal_expectancy,top_3_removal_expectancy,top_5_removal_expectancy,top_10_removal_expectancy,best_month_removal_expectancy,best_expiry_removal_expectancy,CE_only_expectancy,PE_only_expectancy,expiry_only_expectancy,non_expiry_only_expectancy,ATM_expectancy,ITM_expectancy,OTM_expectancy,underlying_only_expectancy,option_overlay_expectancy,exact_failed_survivor_gates,primary_failure_class,secondary_failure_classes,evidence_confidence,recommended_disposition,decomposition_label,development_signal_rows
M1_ACCEPTANCE_BEYOND_KNOWN_LEVEL,Acceptance Beyond a Known Level,A,744,422,164,82,56,24,-4.0250170762728186e-05,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,-61.52834123222748,-62.52834123222748,0.5703111540143815,0.4028436018957346,206.01470588235293,-243.68833333333333,0.8454024165389654,-27040.860000000008,0,3,NOT_AVAILABLE,NOT_AVAILABLE,reversed_event_order_expectancy,-125.05668246445497,NOT_AVAILABLE,NOT_AVAILABLE,-71.42520190023751,-88.66684964200478,-97.48611510791369,-107.96155339805823,-65.25817518248175,-91.21197007481297,-213.519689119171,64.72637554585152,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,-4.0250170762728186e-05,-62.52834123222748,"['holdout_net_expectancy', 'profit_factor', 'majority_positive_wfa', 'top_trade_removal', 'best_month_removal', 'best_expiry_removal', 'control_outperformance', 'underlying_incremental_value', 'ce_pe_concentration']",Class A - No underlying predictive content,"['Class C - Development-only or regime-fragile effect', 'Class E - Mechanism definition added no incremental information', 'Class F - Data/execution limitation']",HIGH,Reject frozen mechanism; do not run AlgoTest.,NO_UNDERLYING_EDGE,744
M2_FAILED_AUCTION_RECLAIM,Failed Auction and Reclaim,A,410,103,84,30,47,13,0.00011766237286151324,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,-71.84902912621362,-72.84902912621362,0.3583229999572411,0.42718446601941745,95.22840909090907,-198.19491525423732,0.48047856812448236,-8247.55,1,3,NOT_AVAILABLE,NOT_AVAILABLE,reversed_event_order_expectancy,-145.69805825242724,NOT_AVAILABLE,NOT_AVAILABLE,-97.90098039215688,-102.7325,-106.9811224489796,-116.78924731182798,-73.70735294117648,-81.9015625,-190.4686046511628,11.444999999999999,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,0.00011766237286151324,-72.84902912621362,"['holdout_net_expectancy', 'profit_factor', 'majority_positive_wfa', 'top_trade_removal', 'best_month_removal', 'best_expiry_removal', 'control_outperformance', 'ce_pe_concentration']","Class B - Underlying signal worked, option monetization failed","['Class C - Development-only or regime-fragile effect', 'Class E - Mechanism definition added no incremental information', 'Class F - Data/execution limitation']",HIGH,Reject frozen mechanism; do not run AlgoTest.,UNDERLYING_EDGE_OPTION_FAILURE,410
M3_REPEATED_TEST_DEPLETION_PROXY,Repeated-Test Depletion Proxy,A,6917,2927,259,115,57,25,-2.307640976673175e-05,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,-73.31328664161256,-74.31328664161256,0.5193901762255988,0.3928937478647079,204.4054347826087,-254.68837366347776,0.8025707331764252,-217699.74000000008,0,3,NOT_AVAILABLE,NOT_AVAILABLE,reversed_event_order_expectancy,-148.62657328322513,NOT_AVAILABLE,NOT_AVAILABLE,-75.72786739576213,-78.5441655266758,-81.35405201916495,-88.37747343160781,-89.11880460683082,-93.46332261521972,-176.52662196679438,43.29588537839823,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,-2.307640976673175e-05,-74.31328664161256,"['holdout_net_expectancy', 'profit_factor', 'majority_positive_wfa', 'top_trade_removal', 'best_month_removal', 'best_expiry_removal', 'control_outperformance', 'underlying_incremental_value', 'ce_pe_concentration']",Class A - No underlying predictive content,"['Class C - Development-only or regime-fragile effect', 'Class E - Mechanism definition added no incremental information', 'Class F - Data/execution limitation']",HIGH,Reject frozen mechanism; do not run AlgoTest.,NO_UNDERLYING_EDGE,6917
M4_HIGHEST_CLOSE_VERSUS_HIGHEST_WICK,Highest-Close Versus Highest-Wick Structure,A,12475,5342,267,115,57,25,2.5084159409992e-05,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,-88.19950205915387,-89.19950205915387,0.43209843819953614,0.3858105578435043,175.91300824842307,-255.7331453825053,0.6878772322817458,-477325.8899999998,0,3,NOT_AVAILABLE,NOT_AVAILABLE,reversed_event_order_expectancy,-178.39900411830774,NOT_AVAILABLE,NOT_AVAILABLE,-89.97724957873058,-91.52498407941565,-93.06825744800446,-96.92458552138035,-103.7906835388276,-104.71622979552093,-207.32919874037793,46.71622785829307,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,2.5084159409992e-05,-89.19950205915387,"['holdout_net_expectancy', 'profit_factor', 'majority_positive_wfa', 'top_trade_removal', 'best_month_removal', 'best_expiry_removal', 'control_outperformance', 'underlying_incremental_value', 'ce_pe_concentration']",Class A - No underlying predictive content,"['Class C - Development-only or regime-fragile effect', 'Class E - Mechanism definition added no incremental information', 'Class F - Data/execution limitation']",HIGH,Reject frozen mechanism; do not run AlgoTest.,NO_UNDERLYING_EDGE,12475
M5_COMPRESSION_NEAR_BOUNDARY,Compression Near a Boundary,A,3562,1368,229,98,57,25,-2.4958201765384887e-05,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,-135.7648538011696,-136.7648538011696,0.31567654504700465,0.3567251461988304,176.85676229508195,-310.68229545454545,0.5692527861503363,-187335.97,0,3,NOT_AVAILABLE,NOT_AVAILABLE,reversed_event_order_expectancy,-273.5297076023392,NOT_AVAILABLE,NOT_AVAILABLE,-139.83838332114118,-145.95320146520143,-152.07143800440207,-166.30962444771723,-164.58854098360655,-164.40227586206896,-249.0270343137255,29.1879347826087,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,-2.4958201765384887e-05,-136.7648538011696,"['holdout_net_expectancy', 'profit_factor', 'majority_positive_wfa', 'top_trade_removal', 'best_month_removal', 'best_expiry_removal', 'control_outperformance', 'underlying_incremental_value', 'ce_pe_concentration']",Class A - No underlying predictive content,"['Class C - Development-only or regime-fragile effect', 'Class E - Mechanism definition added no incremental information', 'Class F - Data/execution limitation']",HIGH,Reject frozen mechanism; do not run AlgoTest.,NO_UNDERLYING_EDGE,3562
M6_OPTION_CONFIRMATION_NON_CONFIRMATION,Option Confirmation and Non-Confirmation,A,2137,1222,199,89,56,24,-5.421509076053294e-05,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,-72.99344517184943,-73.99344517184943,0.40176104049394085,0.4157119476268412,119.53466535433071,-211.68571428571428,0.5646798876233736,-90845.68999999993,0,3,NOT_AVAILABLE,NOT_AVAILABLE,reversed_event_order_expectancy,-147.98689034369886,NOT_AVAILABLE,NOT_AVAILABLE,-77.36239967239966,-83.39954060705496,-89.29337715694331,-97.21352310231022,-95.3499792746114,-95.24392327811682,-167.856015625,29.223127147766323,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,-5.421509076053294e-05,-73.99344517184943,"['holdout_net_expectancy', 'profit_factor', 'majority_positive_wfa', 'top_trade_removal', 'best_month_removal', 'best_expiry_removal', 'control_outperformance', 'underlying_incremental_value', 'ce_pe_concentration']",Class A - No underlying predictive content,"['Class C - Development-only or regime-fragile effect', 'Class E - Mechanism definition added no incremental information', 'Class F - Data/execution limitation']",HIGH,Reject frozen mechanism; do not run AlgoTest.,NO_UNDERLYING_EDGE,2137
