mechanism_id,holdout_net_expectancy,profit_factor,majority_positive_wfa,clustered_bootstrap_median,clustered_bootstrap_lower_bound,top_trade_removal,best_month_removal,best_expiry_removal,delayed_entry_survival,control_outperformance,underlying_incremental_value,strike_concentration,expiry_concentration,ce_pe_concentration,lane_specific_requirements
M1_ACCEPTANCE_BEYOND_KNOWN_LEVEL,FAIL,FAIL,FAIL,NOT_AVAILABLE,NOT_AVAILABLE,FAIL,FAIL,FAIL,NOT_AVAILABLE,FAIL,FAIL,NOT_AVAILABLE,PASS,FAIL,PASS
M2_FAILED_AUCTION_RECLAIM,FAIL,FAIL,FAIL,NOT_AVAILABLE,NOT_AVAILABLE,FAIL,FAIL,FAIL,NOT_AVAILABLE,FAIL,PASS,NOT_AVAILABLE,PASS,FAIL,PASS
M3_REPEATED_TEST_DEPLETION_PROXY,FAIL,FAIL,FAIL,NOT_AVAILABLE,NOT_AVAILABLE,FAIL,FAIL,FAIL,NOT_AVAILABLE,FAIL,FAIL,NOT_AVAILABLE,PASS,FAIL,PASS
M4_HIGHEST_CLOSE_VERSUS_HIGHEST_WICK,FAIL,FAIL,FAIL,NOT_AVAILABLE,NOT_AVAILABLE,FAIL,FAIL,FAIL,NOT_AVAILABLE,FAIL,FAIL,NOT_AVAILABLE,PASS,FAIL,PASS
M5_COMPRESSION_NEAR_BOUNDARY,FAIL,FAIL,FAIL,NOT_AVAILABLE,NOT_AVAILABLE,FAIL,FAIL,FAIL,NOT_AVAILABLE,FAIL,FAIL,NOT_AVAILABLE,PASS,FAIL,PASS
M6_OPTION_CONFIRMATION_NON_CONFIRMATION,FAIL,FAIL,FAIL,NOT_AVAILABLE,NOT_AVAILABLE,FAIL,FAIL,FAIL,NOT_AVAILABLE,FAIL,FAIL,NOT_AVAILABLE,PASS,FAIL,PASS
