strategy,exit_horizon_min,cost_bps,trade_count,win_rate,avg_gross_bps,avg_net_bps,total_net_points,expectancy,max_drawdown_proxy,profit_factor_proxy,median_return_bps,p25_return_bps,p75_return_bps,long_count,short_count,instrument_breakdown,time_of_day_breakdown,spam_flags
core.breakout_candidate_generator.build_breakout_candidate_intents,5,0.0,205,0.531707,0.134258,0.134258,49.77,0.24278,-503.8,1.021492,0.508211,-4.402056,4.136812,0,205,"{""BANKNIFTY"": 59, ""NIFTY"": 83, ""SENSEX"": 63}","{""late_1400_close"": 52, ""midday_1200_1359"": 153}",SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
ensemble.event_breakout_signal,5,0.0,943,0.455992,-0.122046,-0.122046,-534.06,-0.566341,-1591.69,0.95976,-0.623403,-4.554096,3.78089,419,524,"{""BANKNIFTY"": 314, ""NIFTY"": 315, ""SENSEX"": 314}","{""late_1400_close"": 179, ""mid_morning_1000_1159"": 359, ""midday_1200_1359"": 360, ""open_0915_0959"": 45}",SIGNAL_SPAM_RISK:MORE_THAN_100_TRADES_PER_DAY_PER_INSTRUMENT|SIGNAL_SPAM_RISK:MORE_THAN_50_PERCENT_CANDLES|SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
pro.TimeWindowStrategy,5,0.0,183,0.371585,-1.264581,-1.264581,-1121.5,-6.128415,-1208.42,0.632404,-2.364265,-5.796915,2.846591,82,101,"{""BANKNIFTY"": 61, ""NIFTY"": 61, ""SENSEX"": 61}","{""late_1400_close"": 135, ""mid_morning_1000_1159"": 3, ""open_0915_0959"": 45}",SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
core.vwap_candidate_generator.build_vwap_candidate_intents,10,0.0,605,0.509091,0.974854,0.974854,2755.53,4.554595,-2331.07,1.305056,0.135556,-4.259449,6.418499,44,561,"{""BANKNIFTY"": 183, ""NIFTY"": 206, ""SENSEX"": 216}","{""late_1400_close"": 134, ""mid_morning_1000_1159"": 111, ""midday_1200_1359"": 360}",SIGNAL_SPAM_RISK:MORE_THAN_100_TRADES_PER_DAY_PER_INSTRUMENT|SIGNAL_SPAM_RISK:MORE_THAN_50_PERCENT_CANDLES|SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
ensemble.trend_vwap_signal,10,0.0,605,0.509091,0.974854,0.974854,2755.53,4.554595,-2331.07,1.305056,0.135556,-4.259449,6.418499,44,561,"{""BANKNIFTY"": 183, ""NIFTY"": 206, ""SENSEX"": 216}","{""late_1400_close"": 134, ""mid_morning_1000_1159"": 111, ""midday_1200_1359"": 360}",SIGNAL_SPAM_RISK:MORE_THAN_100_TRADES_PER_DAY_PER_INSTRUMENT|SIGNAL_SPAM_RISK:MORE_THAN_50_PERCENT_CANDLES|SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
ensemble.mean_reversion_signal,10,0.0,123,0.731707,2.990828,2.990828,2026.16,16.472846,-392.65,3.497855,3.361348,-0.386087,6.430216,123,0,"{""BANKNIFTY"": 44, ""NIFTY"": 42, ""SENSEX"": 37}","{""late_1400_close"": 1, ""midday_1200_1359"": 122}",SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
ensemble.ensemble_signal,10,0.0,635,0.502362,0.706421,0.706421,1842.99,2.902346,-2283.45,1.170455,0.051986,-4.523565,5.997069,68,567,"{""BANKNIFTY"": 211, ""NIFTY"": 197, ""SENSEX"": 227}","{""late_1400_close"": 143, ""mid_morning_1000_1159"": 123, ""midday_1200_1359"": 359, ""open_0915_0959"": 10}",SIGNAL_SPAM_RISK:MORE_THAN_100_TRADES_PER_DAY_PER_INSTRUMENT|SIGNAL_SPAM_RISK:MORE_THAN_50_PERCENT_CANDLES|SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
banknifty_intraday.generate_signal,10,0.0,530,0.49434,0.777678,0.777678,1773.93,3.347038,-1883.35,1.234692,-0.125164,-4.309186,5.701708,16,514,"{""BANKNIFTY"": 154, ""NIFTY"": 190, ""SENSEX"": 186}","{""late_1400_close"": 120, ""mid_morning_1000_1159"": 54, ""midday_1200_1359"": 356}",SIGNAL_SPAM_RISK:MORE_THAN_100_TRADES_PER_DAY_PER_INSTRUMENT|SIGNAL_SPAM_RISK:MORE_THAN_50_PERCENT_CANDLES|SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
nifty_intraday.generate_signal,10,0.0,530,0.49434,0.777678,0.777678,1773.93,3.347038,-1883.35,1.234692,-0.125164,-4.309186,5.701708,16,514,"{""BANKNIFTY"": 154, ""NIFTY"": 190, ""SENSEX"": 186}","{""late_1400_close"": 120, ""mid_morning_1000_1159"": 54, ""midday_1200_1359"": 356}",SIGNAL_SPAM_RISK:MORE_THAN_100_TRADES_PER_DAY_PER_INSTRUMENT|SIGNAL_SPAM_RISK:MORE_THAN_50_PERCENT_CANDLES|SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
sensex_intraday.generate_signal,10,0.0,530,0.49434,0.777678,0.777678,1773.93,3.347038,-1883.35,1.234692,-0.125164,-4.309186,5.701708,16,514,"{""BANKNIFTY"": 154, ""NIFTY"": 190, ""SENSEX"": 186}","{""late_1400_close"": 120, ""mid_morning_1000_1159"": 54, ""midday_1200_1359"": 356}",SIGNAL_SPAM_RISK:MORE_THAN_100_TRADES_PER_DAY_PER_INSTRUMENT|SIGNAL_SPAM_RISK:MORE_THAN_50_PERCENT_CANDLES|SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
