strategy,exit_horizon_min,cost_bps,trade_count,win_rate,avg_gross_bps,avg_net_bps,total_net_points,expectancy,max_drawdown_proxy,profit_factor_proxy,median_return_bps,p25_return_bps,p75_return_bps,long_count,short_count,instrument_breakdown,time_of_day_breakdown,spam_flags
core.mean_reversion_candidate_generator.build_mean_reversion_candidate_intents,30,0.0,86,0.674419,3.995451,3.995451,2008.85,23.358721,-69.22,8.558603,2.081359,-0.665223,9.208108,86,0,"{""BANKNIFTY"": 35, ""NIFTY"": 26, ""SENSEX"": 25}","{""midday_1200_1359"": 86}",SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
ensemble.micro_pattern_signal,30,0.0,225,0.488889,-0.875304,-0.875304,-1178.07,-5.235867,-1410.39,0.881261,-0.226803,-11.012549,10.833194,107,118,"{""BANKNIFTY"": 101, ""NIFTY"": 22, ""SENSEX"": 102}","{""late_1400_close"": 46, ""mid_morning_1000_1159"": 77, ""midday_1200_1359"": 92, ""open_0915_0959"": 10}",SIGNAL_SPAM_RISK:MORE_THAN_100_TRADES_PER_DAY_PER_INSTRUMENT|SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
ensemble.orb_breakout_signal,30,0.0,264,0.481061,-0.879933,-0.879933,-1669.95,-6.325568,-3655.6,0.763868,-0.320042,-8.581497,5.91884,0,264,"{""BANKNIFTY"": 77, ""NIFTY"": 100, ""SENSEX"": 87}","{""late_1400_close"": 76, ""mid_morning_1000_1159"": 3, ""midday_1200_1359"": 185}",SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
core.breakout_candidate_generator.build_breakout_candidate_intents,30,0.0,205,0.443902,-2.258622,-2.258622,-2849.73,-13.901122,-3719.53,0.534771,-1.386568,-9.637781,5.050579,0,205,"{""BANKNIFTY"": 59, ""NIFTY"": 83, ""SENSEX"": 63}","{""late_1400_close"": 52, ""midday_1200_1359"": 153}",SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
ensemble.event_breakout_signal,30,0.0,943,0.465536,-0.844969,-0.844969,-3947.21,-4.185801,-6342.0,0.886614,-1.03905,-11.983874,10.30601,419,524,"{""BANKNIFTY"": 314, ""NIFTY"": 315, ""SENSEX"": 314}","{""late_1400_close"": 179, ""mid_morning_1000_1159"": 359, ""midday_1200_1359"": 360, ""open_0915_0959"": 45}",SIGNAL_SPAM_RISK:MORE_THAN_100_TRADES_PER_DAY_PER_INSTRUMENT|SIGNAL_SPAM_RISK:MORE_THAN_50_PERCENT_CANDLES|SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
pro.TimeWindowStrategy,30,0.0,183,0.327869,-5.085046,-5.085046,-4927.81,-26.927923,-4898.06,0.426,-5.292529,-13.051654,4.574386,82,101,"{""BANKNIFTY"": 61, ""NIFTY"": 61, ""SENSEX"": 61}","{""late_1400_close"": 135, ""mid_morning_1000_1159"": 3, ""open_0915_0959"": 45}",SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
core.mean_reversion_candidate_generator.build_mean_reversion_candidate_intents,5,2.0,86,0.534884,1.733481,-0.266519,-59.573964,-0.692721,-442.25522,0.936934,0.279536,-3.269731,2.984494,86,0,"{""BANKNIFTY"": 35, ""NIFTY"": 26, ""SENSEX"": 25}","{""midday_1200_1359"": 86}",SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
ensemble.mean_reversion_signal,5,2.0,123,0.504065,1.66099,-0.33901,-136.846002,-1.112569,-444.85044,0.899189,0.02545,-3.244976,2.782561,123,0,"{""BANKNIFTY"": 44, ""NIFTY"": 42, ""SENSEX"": 37}","{""late_1400_close"": 1, ""midday_1200_1359"": 122}",SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
ensemble.micro_pattern_signal,5,2.0,225,0.4,0.718952,-1.281048,-1739.722242,-7.732099,-2257.889636,0.66363,-2.499482,-5.983958,2.57008,107,118,"{""BANKNIFTY"": 101, ""NIFTY"": 22, ""SENSEX"": 102}","{""late_1400_close"": 46, ""mid_morning_1000_1159"": 77, ""midday_1200_1359"": 92, ""open_0915_0959"": 10}",SIGNAL_SPAM_RISK:MORE_THAN_100_TRADES_PER_DAY_PER_INSTRUMENT|SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
core.breakout_candidate_generator.build_breakout_candidate_intents,5,2.0,205,0.395122,0.134258,-1.865742,-1996.495894,-9.739004,-2026.821384,0.414733,-1.491789,-6.402056,2.136812,0,205,"{""BANKNIFTY"": 59, ""NIFTY"": 83, ""SENSEX"": 63}","{""late_1400_close"": 52, ""midday_1200_1359"": 153}",SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
ensemble.orb_breakout_signal,5,2.0,264,0.397727,0.196971,-1.803029,-2603.081344,-9.860157,-2671.157904,0.419818,-1.675551,-6.307918,2.140399,0,264,"{""BANKNIFTY"": 77, ""NIFTY"": 100, ""SENSEX"": 87}","{""late_1400_close"": 76, ""mid_morning_1000_1159"": 3, ""midday_1200_1359"": 185}",SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
pro.TimeWindowStrategy,5,2.0,183,0.278689,-1.264581,-3.264581,-3058.249066,-16.711744,-3053.882076,0.298548,-4.364265,-7.796915,0.846591,82,101,"{""BANKNIFTY"": 61, ""NIFTY"": 61, ""SENSEX"": 61}","{""late_1400_close"": 135, ""mid_morning_1000_1159"": 3, ""open_0915_0959"": 45}",SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
ensemble.ensemble_signal,5,2.0,635,0.404724,0.661947,-1.338053,-4682.253374,-7.373627,-4867.778864,0.593843,-1.701643,-5.790679,2.732158,68,567,"{""BANKNIFTY"": 211, ""NIFTY"": 197, ""SENSEX"": 227}","{""late_1400_close"": 143, ""mid_morning_1000_1159"": 123, ""midday_1200_1359"": 359, ""open_0915_0959"": 10}",SIGNAL_SPAM_RISK:MORE_THAN_100_TRADES_PER_DAY_PER_INSTRUMENT|SIGNAL_SPAM_RISK:MORE_THAN_50_PERCENT_CANDLES|SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
banknifty_intraday.generate_signal,5,2.0,530,0.398113,0.343268,-1.656732,-4780.52555,-9.01986,-4926.25361,0.480815,-1.673389,-5.976346,2.366124,16,514,"{""BANKNIFTY"": 154, ""NIFTY"": 190, ""SENSEX"": 186}","{""late_1400_close"": 120, ""mid_morning_1000_1159"": 54, ""midday_1200_1359"": 356}",SIGNAL_SPAM_RISK:MORE_THAN_100_TRADES_PER_DAY_PER_INSTRUMENT|SIGNAL_SPAM_RISK:MORE_THAN_50_PERCENT_CANDLES|SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
nifty_intraday.generate_signal,5,2.0,530,0.398113,0.343268,-1.656732,-4780.52555,-9.01986,-4926.25361,0.480815,-1.673389,-5.976346,2.366124,16,514,"{""BANKNIFTY"": 154, ""NIFTY"": 190, ""SENSEX"": 186}","{""late_1400_close"": 120, ""mid_morning_1000_1159"": 54, ""midday_1200_1359"": 356}",SIGNAL_SPAM_RISK:MORE_THAN_100_TRADES_PER_DAY_PER_INSTRUMENT|SIGNAL_SPAM_RISK:MORE_THAN_50_PERCENT_CANDLES|SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
sensex_intraday.generate_signal,5,2.0,530,0.398113,0.343268,-1.656732,-4780.52555,-9.01986,-4926.25361,0.480815,-1.673389,-5.976346,2.366124,16,514,"{""BANKNIFTY"": 154, ""NIFTY"": 190, ""SENSEX"": 186}","{""late_1400_close"": 120, ""mid_morning_1000_1159"": 54, ""midday_1200_1359"": 356}",SIGNAL_SPAM_RISK:MORE_THAN_100_TRADES_PER_DAY_PER_INSTRUMENT|SIGNAL_SPAM_RISK:MORE_THAN_50_PERCENT_CANDLES|SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
core.vwap_candidate_generator.build_vwap_candidate_intents,5,2.0,605,0.408264,0.422864,-1.577136,-5233.114472,-8.649776,-5327.249692,0.508049,-1.525609,-5.786323,2.556307,44,561,"{""BANKNIFTY"": 183, ""NIFTY"": 206, ""SENSEX"": 216}","{""late_1400_close"": 134, ""mid_morning_1000_1159"": 111, ""midday_1200_1359"": 360}",SIGNAL_SPAM_RISK:MORE_THAN_100_TRADES_PER_DAY_PER_INSTRUMENT|SIGNAL_SPAM_RISK:MORE_THAN_50_PERCENT_CANDLES|SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
ensemble.trend_vwap_signal,5,2.0,605,0.408264,0.422864,-1.577136,-5233.114472,-8.649776,-5327.249692,0.508049,-1.525609,-5.786323,2.556307,44,561,"{""BANKNIFTY"": 183, ""NIFTY"": 206, ""SENSEX"": 216}","{""late_1400_close"": 134, ""mid_morning_1000_1159"": 111, ""midday_1200_1359"": 360}",SIGNAL_SPAM_RISK:MORE_THAN_100_TRADES_PER_DAY_PER_INSTRUMENT|SIGNAL_SPAM_RISK:MORE_THAN_50_PERCENT_CANDLES|SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
ensemble.event_breakout_signal,5,2.0,943,0.35631,-0.122046,-2.122046,-10512.643962,-11.148085,-10508.276972,0.452211,-2.623403,-6.554096,1.78089,419,524,"{""BANKNIFTY"": 314, ""NIFTY"": 315, ""SENSEX"": 314}","{""late_1400_close"": 179, ""mid_morning_1000_1159"": 359, ""midday_1200_1359"": 360, ""open_0915_0959"": 45}",SIGNAL_SPAM_RISK:MORE_THAN_100_TRADES_PER_DAY_PER_INSTRUMENT|SIGNAL_SPAM_RISK:MORE_THAN_50_PERCENT_CANDLES|SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
ensemble.mean_reversion_signal,10,2.0,123,0.617886,2.990828,0.990828,749.143998,6.090602,-473.55647,1.624226,1.361348,-2.386087,4.430216,123,0,"{""BANKNIFTY"": 44, ""NIFTY"": 42, ""SENSEX"": 37}","{""late_1400_close"": 1, ""midday_1200_1359"": 122}",SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
core.mean_reversion_candidate_generator.build_mean_reversion_candidate_intents,10,2.0,86,0.581395,2.155852,0.155852,204.446036,2.377279,-473.55647,1.198689,0.853415,-2.99608,3.933103,86,0,"{""BANKNIFTY"": 35, ""NIFTY"": 26, ""SENSEX"": 25}","{""midday_1200_1359"": 86}",SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
core.breakout_candidate_generator.build_breakout_candidate_intents,10,2.0,205,0.380488,0.519865,-1.480135,-1549.685894,-7.559443,-1745.038794,0.631102,-2.558183,-7.073598,4.151921,0,205,"{""BANKNIFTY"": 59, ""NIFTY"": 83, ""SENSEX"": 63}","{""late_1400_close"": 52, ""midday_1200_1359"": 153}",SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
ensemble.orb_breakout_signal,10,2.0,264,0.375,0.937755,-1.062245,-1558.171344,-5.902164,-2009.357584,0.708434,-2.598963,-6.651648,4.971808,0,264,"{""BANKNIFTY"": 77, ""NIFTY"": 100, ""SENSEX"": 87}","{""late_1400_close"": 76, ""mid_morning_1000_1159"": 3, ""midday_1200_1359"": 185}",SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
pro.TimeWindowStrategy,10,2.0,183,0.229508,-1.56853,-3.56853,-3393.629066,-18.544421,-3380.662076,0.327232,-3.690846,-8.541091,-0.552236,82,101,"{""BANKNIFTY"": 61, ""NIFTY"": 61, ""SENSEX"": 61}","{""late_1400_close"": 135, ""mid_morning_1000_1159"": 3, ""open_0915_0959"": 45}",SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
core.vwap_candidate_generator.build_vwap_candidate_intents,10,2.0,605,0.4,0.974854,-1.025146,-3667.084472,-6.061297,-4644.651252,0.708834,-1.864444,-6.259449,4.418499,44,561,"{""BANKNIFTY"": 183, ""NIFTY"": 206, ""SENSEX"": 216}","{""late_1400_close"": 134, ""mid_morning_1000_1159"": 111, ""midday_1200_1359"": 360}",SIGNAL_SPAM_RISK:MORE_THAN_100_TRADES_PER_DAY_PER_INSTRUMENT|SIGNAL_SPAM_RISK:MORE_THAN_50_PERCENT_CANDLES|SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
ensemble.trend_vwap_signal,10,2.0,605,0.4,0.974854,-1.025146,-3667.084472,-6.061297,-4644.651252,0.708834,-1.864444,-6.259449,4.418499,44,561,"{""BANKNIFTY"": 183, ""NIFTY"": 206, ""SENSEX"": 216}","{""late_1400_close"": 134, ""mid_morning_1000_1159"": 111, ""midday_1200_1359"": 360}",SIGNAL_SPAM_RISK:MORE_THAN_100_TRADES_PER_DAY_PER_INSTRUMENT|SIGNAL_SPAM_RISK:MORE_THAN_50_PERCENT_CANDLES|SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
ensemble.micro_pattern_signal,10,2.0,225,0.395556,-0.655557,-2.655557,-3735.492242,-16.602188,-3778.197842,0.512501,-1.783428,-9.030662,3.247256,107,118,"{""BANKNIFTY"": 101, ""NIFTY"": 22, ""SENSEX"": 102}","{""late_1400_close"": 46, ""mid_morning_1000_1159"": 77, ""midday_1200_1359"": 92, ""open_0915_0959"": 10}",SIGNAL_SPAM_RISK:MORE_THAN_100_TRADES_PER_DAY_PER_INSTRUMENT|SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
banknifty_intraday.generate_signal,10,2.0,530,0.373585,0.777678,-1.222322,-3773.12555,-7.119105,-4484.32407,0.6502,-2.125164,-6.309186,3.701708,16,514,"{""BANKNIFTY"": 154, ""NIFTY"": 190, ""SENSEX"": 186}","{""late_1400_close"": 120, ""mid_morning_1000_1159"": 54, ""midday_1200_1359"": 356}",SIGNAL_SPAM_RISK:MORE_THAN_100_TRADES_PER_DAY_PER_INSTRUMENT|SIGNAL_SPAM_RISK:MORE_THAN_50_PERCENT_CANDLES|SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
nifty_intraday.generate_signal,10,2.0,530,0.373585,0.777678,-1.222322,-3773.12555,-7.119105,-4484.32407,0.6502,-2.125164,-6.309186,3.701708,16,514,"{""BANKNIFTY"": 154, ""NIFTY"": 190, ""SENSEX"": 186}","{""late_1400_close"": 120, ""mid_morning_1000_1159"": 54, ""midday_1200_1359"": 356}",SIGNAL_SPAM_RISK:MORE_THAN_100_TRADES_PER_DAY_PER_INSTRUMENT|SIGNAL_SPAM_RISK:MORE_THAN_50_PERCENT_CANDLES|SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
sensex_intraday.generate_signal,10,2.0,530,0.373585,0.777678,-1.222322,-3773.12555,-7.119105,-4484.32407,0.6502,-2.125164,-6.309186,3.701708,16,514,"{""BANKNIFTY"": 154, ""NIFTY"": 190, ""SENSEX"": 186}","{""late_1400_close"": 120, ""mid_morning_1000_1159"": 54, ""midday_1200_1359"": 356}",SIGNAL_SPAM_RISK:MORE_THAN_100_TRADES_PER_DAY_PER_INSTRUMENT|SIGNAL_SPAM_RISK:MORE_THAN_50_PERCENT_CANDLES|SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
ensemble.ensemble_signal,10,2.0,635,0.385827,0.706421,-1.293579,-5031.163374,-7.923092,-5570.756334,0.658678,-1.948014,-6.523565,3.997069,68,567,"{""BANKNIFTY"": 211, ""NIFTY"": 197, ""SENSEX"": 227}","{""late_1400_close"": 143, ""mid_morning_1000_1159"": 123, ""midday_1200_1359"": 359, ""open_0915_0959"": 10}",SIGNAL_SPAM_RISK:MORE_THAN_100_TRADES_PER_DAY_PER_INSTRUMENT|SIGNAL_SPAM_RISK:MORE_THAN_50_PERCENT_CANDLES|SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
ensemble.event_breakout_signal,10,2.0,943,0.374337,-0.580573,-2.580573,-12849.823962,-13.626537,-12836.856972,0.488955,-2.647726,-7.923539,3.071532,419,524,"{""BANKNIFTY"": 314, ""NIFTY"": 315, ""SENSEX"": 314}","{""late_1400_close"": 179, ""mid_morning_1000_1159"": 359, ""midday_1200_1359"": 360, ""open_0915_0959"": 45}",SIGNAL_SPAM_RISK:MORE_THAN_100_TRADES_PER_DAY_PER_INSTRUMENT|SIGNAL_SPAM_RISK:MORE_THAN_50_PERCENT_CANDLES|SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
ensemble.mean_reversion_signal,15,2.0,123,0.634146,3.582504,1.582504,1151.673998,9.363203,-273.273802,2.169588,1.805287,-1.819928,4.885381,123,0,"{""BANKNIFTY"": 44, ""NIFTY"": 42, ""SENSEX"": 37}","{""late_1400_close"": 1, ""midday_1200_1359"": 122}",SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
core.mean_reversion_candidate_generator.build_mean_reversion_candidate_intents,15,2.0,86,0.546512,2.943449,0.943449,599.706036,6.973326,-346.508738,1.728418,0.849459,-3.89373,4.121225,86,0,"{""BANKNIFTY"": 35, ""NIFTY"": 26, ""SENSEX"": 25}","{""midday_1200_1359"": 86}",SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
banknifty_intraday.generate_signal,15,2.0,530,0.428302,1.618126,-0.381874,-1420.88555,-2.680916,-4005.39241,0.871009,-1.624458,-6.641379,5.267094,16,514,"{""BANKNIFTY"": 154, ""NIFTY"": 190, ""SENSEX"": 186}","{""late_1400_close"": 120, ""mid_morning_1000_1159"": 54, ""midday_1200_1359"": 356}",SIGNAL_SPAM_RISK:MORE_THAN_100_TRADES_PER_DAY_PER_INSTRUMENT|SIGNAL_SPAM_RISK:MORE_THAN_50_PERCENT_CANDLES|SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
nifty_intraday.generate_signal,15,2.0,530,0.428302,1.618126,-0.381874,-1420.88555,-2.680916,-4005.39241,0.871009,-1.624458,-6.641379,5.267094,16,514,"{""BANKNIFTY"": 154, ""NIFTY"": 190, ""SENSEX"": 186}","{""late_1400_close"": 120, ""mid_morning_1000_1159"": 54, ""midday_1200_1359"": 356}",SIGNAL_SPAM_RISK:MORE_THAN_100_TRADES_PER_DAY_PER_INSTRUMENT|SIGNAL_SPAM_RISK:MORE_THAN_50_PERCENT_CANDLES|SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
sensex_intraday.generate_signal,15,2.0,530,0.428302,1.618126,-0.381874,-1420.88555,-2.680916,-4005.39241,0.871009,-1.624458,-6.641379,5.267094,16,514,"{""BANKNIFTY"": 154, ""NIFTY"": 190, ""SENSEX"": 186}","{""late_1400_close"": 120, ""mid_morning_1000_1159"": 54, ""midday_1200_1359"": 356}",SIGNAL_SPAM_RISK:MORE_THAN_100_TRADES_PER_DAY_PER_INSTRUMENT|SIGNAL_SPAM_RISK:MORE_THAN_50_PERCENT_CANDLES|SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
ensemble.orb_breakout_signal,15,2.0,264,0.378788,0.989948,-1.010052,-1446.901344,-5.480687,-2546.65212,0.77327,-3.041764,-7.717081,5.336493,0,264,"{""BANKNIFTY"": 77, ""NIFTY"": 100, ""SENSEX"": 87}","{""late_1400_close"": 76, ""mid_morning_1000_1159"": 3, ""midday_1200_1359"": 185}",SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
core.breakout_candidate_generator.build_breakout_candidate_intents,15,2.0,205,0.331707,0.229107,-1.770893,-1928.065894,-9.405199,-2530.068794,0.634809,-4.357792,-8.083477,3.906194,0,205,"{""BANKNIFTY"": 59, ""NIFTY"": 83, ""SENSEX"": 63}","{""late_1400_close"": 52, ""midday_1200_1359"": 153}",SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
core.vwap_candidate_generator.build_vwap_candidate_intents,15,2.0,605,0.441322,1.515083,-0.484917,-2076.694472,-3.432553,-4862.890086,0.846248,-1.500581,-6.843009,5.719076,44,561,"{""BANKNIFTY"": 183, ""NIFTY"": 206, ""SENSEX"": 216}","{""late_1400_close"": 134, ""mid_morning_1000_1159"": 111, ""midday_1200_1359"": 360}",SIGNAL_SPAM_RISK:MORE_THAN_100_TRADES_PER_DAY_PER_INSTRUMENT|SIGNAL_SPAM_RISK:MORE_THAN_50_PERCENT_CANDLES|SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
ensemble.trend_vwap_signal,15,2.0,605,0.441322,1.515083,-0.484917,-2076.694472,-3.432553,-4862.890086,0.846248,-1.500581,-6.843009,5.719076,44,561,"{""BANKNIFTY"": 183, ""NIFTY"": 206, ""SENSEX"": 216}","{""late_1400_close"": 134, ""mid_morning_1000_1159"": 111, ""midday_1200_1359"": 360}",SIGNAL_SPAM_RISK:MORE_THAN_100_TRADES_PER_DAY_PER_INSTRUMENT|SIGNAL_SPAM_RISK:MORE_THAN_50_PERCENT_CANDLES|SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
pro.TimeWindowStrategy,15,2.0,183,0.295082,-0.762559,-2.762559,-2527.209066,-13.809886,-2518.242076,0.485383,-2.8972,-7.562224,1.156186,82,101,"{""BANKNIFTY"": 61, ""NIFTY"": 61, ""SENSEX"": 61}","{""late_1400_close"": 135, ""mid_morning_1000_1159"": 3, ""open_0915_0959"": 45}",SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
ensemble.ensemble_signal,15,2.0,635,0.44252,1.414393,-0.585607,-2659.623374,-4.188383,-4992.342784,0.829714,-1.352928,-6.838108,5.843536,68,567,"{""BANKNIFTY"": 211, ""NIFTY"": 197, ""SENSEX"": 227}","{""late_1400_close"": 143, ""mid_morning_1000_1159"": 123, ""midday_1200_1359"": 359, ""open_0915_0959"": 10}",SIGNAL_SPAM_RISK:MORE_THAN_100_TRADES_PER_DAY_PER_INSTRUMENT|SIGNAL_SPAM_RISK:MORE_THAN_50_PERCENT_CANDLES|SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
ensemble.micro_pattern_signal,15,2.0,225,0.466667,-0.105756,-2.105756,-3028.712242,-13.460943,-3066.188842,0.64319,-0.899927,-10.332075,5.468414,107,118,"{""BANKNIFTY"": 101, ""NIFTY"": 22, ""SENSEX"": 102}","{""late_1400_close"": 46, ""mid_morning_1000_1159"": 77, ""midday_1200_1359"": 92, ""open_0915_0959"": 10}",SIGNAL_SPAM_RISK:MORE_THAN_100_TRADES_PER_DAY_PER_INSTRUMENT|SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
ensemble.event_breakout_signal,15,2.0,943,0.431601,-0.089691,-2.089691,-10045.883962,-10.653111,-10036.916972,0.632477,-1.88133,-8.427896,4.846923,419,524,"{""BANKNIFTY"": 314, ""NIFTY"": 315, ""SENSEX"": 314}","{""late_1400_close"": 179, ""mid_morning_1000_1159"": 359, ""midday_1200_1359"": 360, ""open_0915_0959"": 45}",SIGNAL_SPAM_RISK:MORE_THAN_100_TRADES_PER_DAY_PER_INSTRUMENT|SIGNAL_SPAM_RISK:MORE_THAN_50_PERCENT_CANDLES|SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
core.mean_reversion_candidate_generator.build_mean_reversion_candidate_intents,30,2.0,86,0.511628,3.995451,1.995451,1096.476036,12.749721,-284.234866,2.790186,0.081359,-2.665223,7.208108,86,0,"{""BANKNIFTY"": 35, ""NIFTY"": 26, ""SENSEX"": 25}","{""midday_1200_1359"": 86}",SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
ensemble.mean_reversion_signal,30,2.0,123,0.504065,3.239543,1.239543,999.183998,8.123447,-662.663608,1.722625,0.00446,-3.168613,6.434432,123,0,"{""BANKNIFTY"": 44, ""NIFTY"": 42, ""SENSEX"": 37}","{""late_1400_close"": 1, ""midday_1200_1359"": 122}",SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
core.vwap_candidate_generator.build_vwap_candidate_intents,30,2.0,605,0.461157,2.111898,0.111898,-558.864472,-0.923743,-9218.991964,0.968558,-1.018969,-9.476885,8.019477,44,561,"{""BANKNIFTY"": 183, ""NIFTY"": 206, ""SENSEX"": 216}","{""late_1400_close"": 134, ""mid_morning_1000_1159"": 111, ""midday_1200_1359"": 360}",SIGNAL_SPAM_RISK:MORE_THAN_100_TRADES_PER_DAY_PER_INSTRUMENT|SIGNAL_SPAM_RISK:MORE_THAN_50_PERCENT_CANDLES|SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
ensemble.trend_vwap_signal,30,2.0,605,0.461157,2.111898,0.111898,-558.864472,-0.923743,-9218.991964,0.968558,-1.018969,-9.476885,8.019477,44,561,"{""BANKNIFTY"": 183, ""NIFTY"": 206, ""SENSEX"": 216}","{""late_1400_close"": 134, ""mid_morning_1000_1159"": 111, ""midday_1200_1359"": 360}",SIGNAL_SPAM_RISK:MORE_THAN_100_TRADES_PER_DAY_PER_INSTRUMENT|SIGNAL_SPAM_RISK:MORE_THAN_50_PERCENT_CANDLES|SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
banknifty_intraday.generate_signal,30,2.0,530,0.450943,1.989048,-0.010952,-926.35555,-1.747841,-7445.748382,0.938168,-1.090003,-8.609144,6.851582,16,514,"{""BANKNIFTY"": 154, ""NIFTY"": 190, ""SENSEX"": 186}","{""late_1400_close"": 120, ""mid_morning_1000_1159"": 54, ""midday_1200_1359"": 356}",SIGNAL_SPAM_RISK:MORE_THAN_100_TRADES_PER_DAY_PER_INSTRUMENT|SIGNAL_SPAM_RISK:MORE_THAN_50_PERCENT_CANDLES|SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
nifty_intraday.generate_signal,30,2.0,530,0.450943,1.989048,-0.010952,-926.35555,-1.747841,-7445.748382,0.938168,-1.090003,-8.609144,6.851582,16,514,"{""BANKNIFTY"": 154, ""NIFTY"": 190, ""SENSEX"": 186}","{""late_1400_close"": 120, ""mid_morning_1000_1159"": 54, ""midday_1200_1359"": 356}",SIGNAL_SPAM_RISK:MORE_THAN_100_TRADES_PER_DAY_PER_INSTRUMENT|SIGNAL_SPAM_RISK:MORE_THAN_50_PERCENT_CANDLES|SIGNAL_SPAM_RISK:REPEATED_SAME_DIRECTION_WITHOUT_COOLDOWN
