strategy,signal_count,direction_distribution,instrument_breakdown,time_of_day_breakdown
core.breakout_candidate_generator.build_breakout_candidate_intents,414,"{""BUY_CALL"": 13, ""BUY_PUT"": 401}","{""BANKNIFTY"": 147, ""NIFTY"": 120, ""SENSEX"": 147}","{""late_1400_close"": 128, ""mid_morning_1000_1159"": 79, ""midday_1200_1359"": 207}"
movement.late_day_momentum_v1,228,"{""BUY_PUT"": 228}","{""BANKNIFTY"": 40, ""NIFTY"": 97, ""SENSEX"": 91}","{""late_1400_close"": 105, ""midday_1200_1359"": 123}"
banknifty_intraday.generate_signal,185,"{""BUY_CALL"": 86, ""BUY_PUT"": 99}","{""BANKNIFTY"": 68, ""NIFTY"": 57, ""SENSEX"": 60}","{""late_1400_close"": 19, ""mid_morning_1000_1159"": 135, ""open_0915_0959"": 31}"
core.mean_reversion_candidate_generator.build_mean_reversion_candidate_intents,172,"{""BUY_CALL"": 172}","{""BANKNIFTY"": 52, ""NIFTY"": 62, ""SENSEX"": 58}","{""late_1400_close"": 7, ""mid_morning_1000_1159"": 4, ""midday_1200_1359"": 161}"
nifty_intraday.generate_signal,170,"{""BUY_CALL"": 80, ""BUY_PUT"": 90}","{""BANKNIFTY"": 61, ""NIFTY"": 55, ""SENSEX"": 54}","{""late_1400_close"": 18, ""mid_morning_1000_1159"": 123, ""open_0915_0959"": 29}"
sensex_intraday.generate_signal,170,"{""BUY_CALL"": 80, ""BUY_PUT"": 90}","{""BANKNIFTY"": 61, ""NIFTY"": 55, ""SENSEX"": 54}","{""late_1400_close"": 18, ""mid_morning_1000_1159"": 123, ""open_0915_0959"": 29}"
movement.trend_pullback_v1,81,"{""BUY_CALL"": 8, ""BUY_PUT"": 73}","{""BANKNIFTY"": 40, ""NIFTY"": 23, ""SENSEX"": 18}","{""late_1400_close"": 14, ""mid_morning_1000_1159"": 16, ""midday_1200_1359"": 51}"
movement.mean_reversion_extension_v1,65,"{""BUY_CALL"": 65}","{""BANKNIFTY"": 45, ""NIFTY"": 13, ""SENSEX"": 7}","{""mid_morning_1000_1159"": 1, ""midday_1200_1359"": 64}"
movement.opening_range_retest_v1,16,"{""BUY_CALL"": 13, ""BUY_PUT"": 3}","{""BANKNIFTY"": 3, ""NIFTY"": 7, ""SENSEX"": 6}","{""mid_morning_1000_1159"": 16}"
