a_breadth_down_1,a_timestamp,b_index_breadth_divergence,b_timestamp,c_breadth_down_1,entry_close,entry_timestamp,exit_close,exit_timestamp,gross_return,net_return,round_trip_cost,session_date,signal_timestamp
0.2388663967611336,2024-01-02T03:54:00+00:00,-0.0005952326681769512,2024-01-02T03:55:00+00:00,0.08097165991902834,21726.8,2024-01-02T03:57:00+00:00,21740.25,2024-01-02T04:11:00+00:00,0.0007295943731471244,0.0005295943731471244,0.0002,2024-01-02,2024-01-02T03:56:00+00:00
0.32793522267206476,2024-01-02T04:29:00+00:00,-0.0006628785638506813,2024-01-02T04:30:00+00:00,0.05263157894736842,21645.55,2024-01-02T04:32:00+00:00,21660.8,2024-01-02T04:46:00+00:00,0.0009473066454717127,0.0007473066454717127,0.0002,2024-01-02,2024-01-02T04:31:00+00:00
0.29554655870445345,2024-01-02T05:09:00+00:00,-0.0009229011257995386,2024-01-02T05:10:00+00:00,0.06882591093117409,21590.05,2024-01-02T05:12:00+00:00,21596.9,2024-01-02T05:26:00+00:00,0.0009501121595818507,0.0007501121595818507,0.0002,2024-01-02,2024-01-02T05:11:00+00:00
0.22267206477732793,2024-01-02T06:19:00+00:00,-0.00028993386932665133,2024-01-02T06:20:00+00:00,0.06477732793522267,21595.2,2024-01-02T06:22:00+00:00,21610.3,2024-01-02T06:36:00+00:00,0.0007455705698751203,0.0005455705698751203,0.0002,2024-01-02,2024-01-02T06:21:00+00:00
0.2631578947368421,2024-01-02T07:19:00+00:00,-0.0004308645837773501,2024-01-02T07:20:00+00:00,0.06882591093117409,21635.6,2024-01-02T07:22:00+00:00,21616.15,2024-01-02T07:36:00+00:00,-0.0008066156349381126,-0.0010066156349381127,0.0002,2024-01-02,2024-01-02T07:21:00+00:00
0.22672064777327935,2024-01-03T08:04:00+00:00,-0.00029643463519651565,2024-01-03T08:05:00+00:00,0.06477732793522267,21576.55,2024-01-03T08:07:00+00:00,21570.2,2024-01-03T08:21:00+00:00,-2.3180074407713747e-06,-0.00020231800744077138,0.0002,2024-01-03,2024-01-03T08:06:00+00:00
0.27125506072874495,2024-01-03T09:09:00+00:00,-0.0003657485864080692,2024-01-03T09:10:00+00:00,0.07692307692307693,21548.35,2024-01-03T09:12:00+00:00,21558.6,2024-01-03T09:26:00+00:00,0.0007914936483215396,0.0005914936483215396,0.0002,2024-01-03,2024-01-03T09:11:00+00:00
0.25101214574898784,2024-01-05T05:24:00+00:00,-0.0005780403223515934,2024-01-05T05:25:00+00:00,0.048582995951417005,21687.75,2024-01-05T05:27:00+00:00,21698.6,2024-01-05T05:41:00+00:00,0.0010010656505310411,0.0008010656505310411,0.0002,2024-01-05,2024-01-05T05:26:00+00:00
0.2550607287449393,2024-01-08T04:19:00+00:00,-0.0005692402061450918,2024-01-08T04:20:00+00:00,0.05263157894736842,21675.9,2024-01-08T04:22:00+00:00,21675.25,2024-01-08T04:36:00+00:00,0.00036691235179286963,0.00016691235179286962,0.0002,2024-01-08,2024-01-08T04:21:00+00:00
0.26720647773279355,2024-01-08T08:14:00+00:00,-0.0006783048433274318,2024-01-08T08:15:00+00:00,0.06477732793522267,21565.4,2024-01-08T08:17:00+00:00,21583.8,2024-01-08T08:31:00+00:00,0.0007557667787179145,0.0005557667787179146,0.0002,2024-01-08,2024-01-08T08:16:00+00:00
