partition,mechanism,session_id,timestamp,expired_instrument_key,expiry_id,option_type,strike,entry_price_next_open,gross_return_pct,net_return_pct,stress_return_pct,forward_mfe_points,forward_mae_points,forward_expansion_pct,label_horizon_minutes,is_expansion_event,move_cluster_id,prior_5m_return_pct,previous_return,return_acceleration,surface_median_return,surface_median_acceleration,breadth_positive,breadth_delta,option_asymmetry,mirror_return,local_median_return,local_median_acceleration,local_breadth_positive,local_return_dispersion,local_return_residual,local_median_repair,wing_edge_distance,prior_5m_volume_ratio,oi_change_ratio,days_to_expiry,minute_of_day,fold_id
research_oof,local_cluster_washout_repair,2025-03-21,2025-03-21 04:39:00+00:00,NSE_FO|48346|27-03-2025,2025-03-27,PE,23050.0,48.3,8.385093167701871,8.285093167701872,7.385093167701871,6.300000000000004,0.3999999999999986,13.043478260869575,5,False,,-6.653809064609451,-17.066666666666674,10.412857602057223,-5.7232704402515715,10.288232138729146,0.0,0.0,-9.541895707208726,2.8880866425992746,-6.366459627329202,10.412857602057223,0.0,0.47647388191811635,-0.2873494372802492,10.288232138729146,1.0,1.6600536193029491,0.0012120528793302704,6,609,fold_1
research_oof,local_cluster_washout_repair,2025-03-21,2025-03-21 05:00:00+00:00,NSE_FO|48346|27-03-2025,2025-03-27,PE,23050.0,42.5,4.000000000000007,3.900000000000007,3.000000000000007,2.3999999999999986,0.04999999999999716,5.647058823529409,5,False,,-13.211382113821134,-15.172413793103456,1.9610316792823212,-13.4584013050571,1.7870379100936358,0.0,0.0,-25.046655166641195,11.83527305282006,-13.4584013050571,1.9610316792823212,0.0,0.15578686733702216,0.2470191912359656,1.8279812970417808,1.0,2.6714612618502778,0.017056612242607867,6,630,fold_1
research_oof,local_cluster_washout_repair,2025-03-21,2025-03-21 05:20:00+00:00,NSE_FO|48346|27-03-2025,2025-03-27,PE,23050.0,40.0,2.5,2.4,1.5,1.1000000000000014,1.6000000000000014,2.7500000000000036,5,False,,-7.001166861143526,-8.878504672897192,1.8773378117536659,-8.554125662376988,2.0286537215695173,0.0,0.0,-18.042768362551108,11.041601501407584,-7.692307692307687,2.2420878090981367,0.0,0.7780410122400497,0.6911408311641614,2.2420878090981367,1.0,1.230142566191446,0.0,6,650,fold_1
research_oof,local_cluster_washout_repair,2025-03-24,2025-03-24 04:21:00+00:00,NSE_FO|49835|27-03-2025,2025-03-27,PE,23250.0,41.45,-10.25331724969843,-10.35331724969843,-11.25331724969843,2.4499999999999957,4.5,5.910735826296733,5,False,,-13.811007268951192,-19.140225179119753,5.329217910168561,-14.59999999999999,5.287929236200261,0.0,0.0,-20.383888624883383,6.572881355932192,-14.609375000000002,5.287929236200261,0.0,0.4670730817912605,0.7983677310488098,5.264442034700311,1.0,1.210454669207732,0.07067051101159438,3,591,fold_1
research_oof,local_cluster_washout_repair,2025-03-24,2025-03-24 05:34:00+00:00,NSE_FO|49835|27-03-2025,2025-03-27,PE,23250.0,34.04,-4.230317273795528,-4.3303172737955276,-5.230317273795528,0.9600000000000009,2.539999999999999,2.8202115158636922,5,False,,-8.35579514824798,-12.807621063773478,4.4518259155254984,-8.35579514824798,4.4518259155254984,0.0,0.0,-8.844598149271054,0.48880300102307483,-8.35579514824798,4.784537389100118,0.0,0.0417653728682961,0.0,4.7620755741854754,1.0,2.09430403621275,0.001297284547572014,3,664,fold_1
research_oof,local_cluster_washout_repair,2025-03-28,2025-03-28 05:02:00+00:00,NSE_FO|54756|03-04-2025,2025-04-03,PE,23700.0,173.6,-9.274193548387094,-9.374193548387094,-10.274193548387094,0.0,22.299999999999983,0.0,5,False,,-12.275449101796399,-13.365617433414045,1.0901683316176456,-12.74111160361604,0.5444325242318317,0.375,0.0,-31.601514513094706,19.32606541129831,-13.20677410543568,1.0901683316176456,0.0,0.5953280204140228,0.931325003639282,0.2188901116361066,1.0,2.773218142548596,0.0,6,632,fold_1
research_oof,local_cluster_washout_repair,2025-03-28,2025-03-28 05:20:00+00:00,NSE_FO|54756|03-04-2025,2025-04-03,PE,23700.0,158.15,-1.485931078090417,-1.585931078090417,-2.4859310780904167,2.4000000000000057,10.0,1.5175466329434117,5,False,,-2.7027027027027084,-9.153754469606678,6.451051766903969,-2.943869045992409,5.556740364104568,0.125,-0.125,-4.128579730239467,1.4258770275367594,-3.468697123519471,5.557925172653578,0.0,0.45348001401046223,0.7659944208167624,5.568080459667923,1.0,1.5659763819955503,0.0,6,650,fold_1
research_oof,local_cluster_washout_repair,2025-03-28,2025-03-28 05:46:00+00:00,NSE_FO|54716|03-04-2025,2025-04-03,CE,23600.0,156.44,3.0746612119662506,2.9746612119662506,2.0746612119662506,6.210000000000008,7.639999999999986,3.9695729992329376,5,False,,-7.809636417381027,-13.980309423347393,6.170673005966366,-7.809636417381027,5.729030518058677,0.0,0.0,-13.296435097249015,5.486798679867988,-7.809636417381027,5.729030518058677,0.0,1.0899385053105701,0.0,6.170673005966366,0.0,1.514135959339263,0.0,6,676,fold_1
research_oof,local_cluster_washout_repair,2025-04-01,2025-04-01 04:17:00+00:00,NSE_FO|54714|03-04-2025,2025-04-03,CE,23550.0,109.5,-15.70776255707763,-15.807762557077629,-16.70776255707763,0.25,19.299999999999997,0.228310502283105,5,False,,-4.336283185840717,-17.318900915903413,12.982617730062696,-4.575645756457558,14.377110985562744,0.0,0.0,-2.9907762180367836,-1.3455069678039333,-4.455964471149137,13.67986435781272,0.0,0.6080107322491892,0.11968128530842037,13.817840566341932,0.5,1.2040482089614917,0.0,2,587,fold_1
research_oof,local_cluster_washout_repair,2025-04-01,2025-04-01 04:33:00+00:00,NSE_FO|54755|03-04-2025,2025-04-03,CE,23700.0,30.2,-1.6556291390728477,-1.7556291390728478,-2.6556291390728477,2.400000000000002,2.75,7.947019867549676,5,False,,-19.89319092122831,-25.732484076433128,5.8392931552048175,-17.74436090225564,5.561616154153061,0.0,0.0,-30.42549301403995,10.53230209281164,-19.78131212723657,5.8392931552048175,0.0,1.209625121537958,-0.11187879399173895,5.266489019990949,1.0,1.4216377243333576,0.026982130567882484,2,603,fold_1
