session_id,session_date,instrument,event_type,event_timestamp,causal_trigger_timestamp,direction,event_parameters,source_provenance,feature_availability_mask,eligibility_flags,semantic_hash,close,ts,minute_index,gap_pct,opening_range_width,prior_session_return,prior_session_range,rolling_range_5,rolling_range_15,realized_vol_15,atr_14,vwap_distance,dist_session_high,dist_session_low,body_range_ratio,upper_wick_ratio,lower_wick_ratio,compression_duration,prior_failed_breaks,ret_1,range,body,volume,entry_timestamp,entry_price,horizon_min,mfe_points,mae_points,gross_points,net_points,target_10_before_stop_10,target_20_before_stop_20,path_efficiency
BANKNIFTY:2024-07-01,2024-07-01,BANKNIFTY,vwap_rejection,2024-07-01T09:17:00+05:30,2024-07-01T09:17:00+05:30,DOWN,{},"{'source_path': '/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240701/underlying/BANKNIFTY_20240701.parquet', 'source_hash': '4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707'}",{'completed_bar_only': True},"{'buy_ce_allowed': False, 'buy_pe_allowed': True, 'research_only': True}",859563827774afc3e4976b563987e5f788277f627ad02336b67d30fa101c78bb,52259.85,2024-07-01 09:16:00+05:30,1,0.0,172.3000000000029,0.0,0.0,98.10000000000218,98.10000000000218,0.0,98.10000000000218,-9.299999999995634,157.70000000000437,14.599999999998545,0.5379679144385338,0.1497326203208556,0.3122994652406106,0,0,-0.00035578713599959677,46.75,25.150000000001455,0.0,2024-07-01T09:17:00+05:30,52259.65,30,93.59999999999854,256.09999999999854,-228.40000000000146,-229.90000000000146,False,False,-2.4401709401709937
BANKNIFTY:2024-07-01,2024-07-01,BANKNIFTY,vwap_rejection,2024-07-01T09:21:00+05:30,2024-07-01T09:21:00+05:30,DOWN,{},"{'source_path': '/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240701/underlying/BANKNIFTY_20240701.parquet', 'source_hash': '4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707'}",{'completed_bar_only': True},"{'buy_ce_allowed': False, 'buy_pe_allowed': True, 'research_only': True}",cdeef86f5ae90d1057d4b6a26ccff8eaff9954c359f55bcb8bfbe6c3c55cac44,52268.1,2024-07-01 09:20:00+05:30,5,0.0,172.3000000000029,0.0,0.0,43.59999999999709,61.24166666666497,0.0005313633780475006,61.24166666666497,-15.441666666665697,149.45000000000437,22.849999999998545,0.5401844532279729,0.31357048748359334,0.14624505928843373,1,0,-0.0004321992247187101,37.94999999999709,20.5,0.0,2024-07-01T09:21:00+05:30,52270.0,30,103.94999999999709,245.75,-214.90000000000146,-216.40000000000146,False,False,-2.0673400673401394
BANKNIFTY:2024-07-01,2024-07-01,BANKNIFTY,vwap_rejection,2024-07-01T10:15:00+05:30,2024-07-01T10:15:00+05:30,DOWN,{},"{'source_path': '/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240701/underlying/BANKNIFTY_20240701.parquet', 'source_hash': '4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707'}",{'completed_bar_only': True},"{'buy_ce_allowed': False, 'buy_pe_allowed': True, 'research_only': True}",fbd5f43193e9623bbe4a39ded1aa6940fd4499274e1227cd317020557b738831,52396.1,2024-07-01 10:14:00+05:30,59,0.0,251.5,0.0,0.0,45.810000000000585,34.34000000000039,0.00044480652440210953,34.15714285714317,-7.463333333333139,149.09999999999854,230.04999999999563,0.5286195286195979,0.05387205387199696,0.4175084175084051,0,4,-0.000270939109297319,29.700000000004366,15.700000000004366,0.0,2024-07-01T10:15:00+05:30,52396.05,30,2.4500000000043656,87.04999999999563,-27.299999999995634,-28.799999999995634,False,False,-11.142857142835506
BANKNIFTY:2024-07-01,2024-07-01,BANKNIFTY,vwap_rejection,2024-07-01T10:42:00+05:30,2024-07-01T10:42:00+05:30,DOWN,{},"{'source_path': '/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240701/underlying/BANKNIFTY_20240701.parquet', 'source_hash': '4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707'}",{'completed_bar_only': True},"{'buy_ce_allowed': False, 'buy_pe_allowed': True, 'research_only': True}",b3fd56fd6e1236304a6a1f2b017a85749377ebfad6841283e3459ee79a4c23fa,52415.15,2024-07-01 10:41:00+05:30,86,0.0,251.5,0.0,0.0,20.02999999999738,21.646666666666473,0.00025580112910229233,21.203571428570804,-1.318390804597584,130.04999999999563,249.09999999999854,0.8161350844279456,0.10506566604113493,0.07879924953091945,1,4,-0.00043861196476224773,26.64999999999418,21.75,0.0,2024-07-01T10:42:00+05:30,52416.95,30,78.14999999999418,27.25,10.14999999999418,8.64999999999418,True,True,0.12987843889948733
BANKNIFTY:2024-07-01,2024-07-01,BANKNIFTY,vwap_rejection,2024-07-01T10:47:00+05:30,2024-07-01T10:47:00+05:30,DOWN,{},"{'source_path': '/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240701/underlying/BANKNIFTY_20240701.parquet', 'source_hash': '4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707'}",{'completed_bar_only': True},"{'buy_ce_allowed': False, 'buy_pe_allowed': True, 'research_only': True}",d1ff1233769c49ea58f62a93805ca10017c0ef1ec34260aa37b72522b95668f5,52404.05,2024-07-01 10:46:00+05:30,91,0.0,251.5,0.0,0.0,24.6,23.01999999999971,0.000279932106473072,23.864285714285092,-12.803260869564838,141.14999999999418,238.0,0.5896980461810901,0.10124333925393952,0.30905861456497036,0,4,-0.00036815655619104604,28.150000000001455,16.599999999998545,0.0,2024-07-01T10:47:00+05:30,52404.2,30,65.39999999999418,97.25,-77.55000000000291,-79.05000000000291,False,False,-1.1857798165139115
BANKNIFTY:2024-07-01,2024-07-01,BANKNIFTY,vwap_rejection,2024-07-01T10:56:00+05:30,2024-07-01T10:56:00+05:30,DOWN,{},"{'source_path': '/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240701/underlying/BANKNIFTY_20240701.parquet', 'source_hash': '4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707'}",{'completed_bar_only': True},"{'buy_ce_allowed': False, 'buy_pe_allowed': True, 'research_only': True}",22f3b23e2d109eddb003c3d9ae11f0850dd0516f26078d44382c381e569545cf,52400.55,2024-07-01 10:55:00+05:30,100,0.0,251.5,0.0,0.0,25.039999999997963,28.006666666665115,0.00043245135865029597,28.10357142857018,-13.605940594054118,144.64999999999418,234.5,0.7619047619047045,0.0,0.23809523809529548,4,4,-0.00034720400620003034,24.14999999999418,18.39999999999418,0.0,2024-07-01T10:56:00+05:30,52397.1,30,15.400000000001455,202.75,-185.0,-186.5,False,False,-12.012987012985878
BANKNIFTY:2024-07-01,2024-07-01,BANKNIFTY,vwap_rejection,2024-07-01T11:11:00+05:30,2024-07-01T11:11:00+05:30,DOWN,{},"{'source_path': '/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240701/underlying/BANKNIFTY_20240701.parquet', 'source_hash': '4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707'}",{'completed_bar_only': True},"{'buy_ce_allowed': False, 'buy_pe_allowed': True, 'research_only': True}",de4f14f015934b207d8860d80d9ce8ff4ca8f68b789527ce9f6196f2138461de,52407.1,2024-07-01 11:10:00+05:30,115,0.0,251.5,0.0,0.0,20.6,17.88000000000029,0.00023054417617136928,17.41428571428592,-5.428879310340562,138.09999999999854,241.04999999999563,0.5824468085107803,0.2446808510637145,0.17287234042550514,0,4,-0.00024322847165725303,18.80000000000291,10.950000000004366,0.0,2024-07-01T11:11:00+05:30,52405.5,30,10.05000000000291,194.34999999999854,-158.65000000000146,-160.15000000000146,False,False,-15.786069651736867
BANKNIFTY:2024-07-01,2024-07-01,BANKNIFTY,vwap_rejection,2024-07-01T11:16:00+05:30,2024-07-01T11:16:00+05:30,DOWN,{},"{'source_path': '/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240701/underlying/BANKNIFTY_20240701.parquet', 'source_hash': '4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707'}",{'completed_bar_only': True},"{'buy_ce_allowed': False, 'buy_pe_allowed': True, 'research_only': True}",38c54ecd593acba76960ff1aa470cd962c5548d7e580eebeae83cfce153c7a95,52400.4,2024-07-01 11:15:00+05:30,120,0.0,251.5,0.0,0.0,13.230000000000292,15.34333333333343,0.00019558652209867466,15.346428571428987,-11.907438016525703,144.79999999999563,234.34999999999854,0.7108843537414393,0.22108843537419343,0.06802721088436721,4,4,-0.0002499356081925308,14.69999999999709,10.44999999999709,0.0,2024-07-01T11:16:00+05:30,52400.95,30,5.5,198.90000000000146,-181.10000000000582,-182.60000000000582,False,False,-32.92727272727379
BANKNIFTY:2024-07-02,2024-07-02,BANKNIFTY,vwap_rejection,2024-07-02T09:17:00+05:30,2024-07-02T09:17:00+05:30,DOWN,{},"{'source_path': '/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240702/underlying/BANKNIFTY_20240702.parquet', 'source_hash': '4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707'}",{'completed_bar_only': True},"{'buy_ce_allowed': False, 'buy_pe_allowed': True, 'research_only': True}",0a849eade9adf53f26ec7200a125c6d4f4731a3ee97c99d46e94d0bb801c7af0,52676.9,2024-07-02 09:16:00+05:30,1,0.0027788646353062297,224.34999999999854,0.0,490.09999999999854,129.25,129.25,0.0,129.25,-2.025000000001455,151.54999999999563,72.80000000000291,0.27818448023424874,0.3572474377744237,0.3645680819913275,0,0,-7.687788470012169e-05,34.150000000001455,9.5,0.0,2024-07-02T09:17:00+05:30,52681.8,30,561.5500000000029,10.549999999995634,479.8500000000058,478.3500000000058,True,True,0.8545098388389339
BANKNIFTY:2024-07-02,2024-07-02,BANKNIFTY,vwap_rejection,2024-07-02T09:21:00+05:30,2024-07-02T09:21:00+05:30,DOWN,{},"{'source_path': '/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240702/underlying/BANKNIFTY_20240702.parquet', 'source_hash': '4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707'}",{'completed_bar_only': True},"{'buy_ce_allowed': False, 'buy_pe_allowed': True, 'research_only': True}",883e5ef76bd154d305df6b3365cd53a84e1a528b1fab5bed246ac91b615a70a2,52562.85,2024-07-02 09:20:00+05:30,5,0.0031463335456275486,293.0,0.0,490.09999999999854,64.16000000000204,90.85833333333478,0.001081476612151427,90.85833333333478,-92.44999999999709,265.59999999999854,27.400000000001455,0.8156075074085861,0.0039512676984247465,0.18044122489298917,1,0,-0.0023326990694827465,151.85000000000582,123.84999999999854,0.0,2024-07-02T09:21:00+05:30,52561.1,30,440.84999999999854,44.75,291.79999999999563,290.29999999999563,True,True,0.6619031416581527
