candidate_id,trade_count,gross_pnl,net_pnl,charges,slippage_sensitivity,win_rate,average_win,average_loss,net_expectancy,profit_factor,max_drawdown,recovery_factor,mfe_mean,mae_mean,target_count,timeout_count,month_breakdown,top5_trade_contribution,top10_trade_contribution
SEDV3_1c0b38601852,84,2288.75,2162.75,126.0,"{'cost_points_per_trade': 1.5, 'net_at_2x_cost': 2036.75}",0.6309523809523809,92.13584905660399,-87.7564516129036,25.74702380952381,1.7949971512065985,-588.1000000000276,3.677520829790679,114.00535714285668,77.13690476190546,53,31,"{'2024-07': 1761.5500000000102, '2024-08': 401.1999999999898}",0.5211189457866122,0.9265980811466848
SEDV3_bf996ca978cc,78,2120.550000000032,2003.550000000032,117.0,"{'cost_points_per_trade': 1.5, 'net_at_2x_cost': 1886.550000000032}",0.6538461538461539,95.69705882352947,-106.55555555555448,25.686538461538873,1.6964025026069003,-1020.4499999999898,1.9633985006615238,117.30192307692312,80.9371794871805,51,27,"{'2024-07': 620.8000000000102, '2024-08': 1382.7500000000218}",0.5108182975218927,0.9156996331511391
SEDV3_5d0b26312590,102,2349.099999999984,2196.099999999984,153.0,"{'cost_points_per_trade': 1.5, 'net_at_2x_cost': 2043.099999999984}",0.5686274509803921,128.8922413793101,-119.99204545454549,21.53039215686259,1.4159556031176277,-2271.0,0.9670189343901294,140.20196078431314,96.39754901960744,64,38,"{'2024-07': 253.54999999998836, '2024-08': 1942.5499999999956}",0.7394472018578416,1.3639406220117574
SEDV3_10659dc9294a,200,3570.949999999997,3270.949999999997,300.0,"{'cost_points_per_trade': 1.5, 'net_at_2x_cost': 2970.949999999997}",0.555,53.666666666666735,-30.1803370786518,16.354749999999985,2.2177546955566667,-794.25,4.118287692791938,55.952249999999964,30.410750000000043,111,89,"{'2024-05': 275.8499999999949, '2024-06': 1730.0999999999985, '2024-07': 196.0500000000102, '2024-08': 1068.9499999999935}",0.4996560632232237,0.7442791849462723
SEDV3_269e552b15c4,155,2674.7000000000407,2442.2000000000407,232.5,"{'cost_points_per_trade': 1.5, 'net_at_2x_cost': 2209.7000000000407}",0.5806451612903226,91.22500000000016,-88.73923076923036,15.756129032258327,1.4234013228040763,-1159.9499999999898,2.105435579119843,103.93967741935485,80.27903225806507,92,63,"{'2024-07': 1437.0500000000247, '2024-08': 1005.150000000016}",0.4884735074932404,0.8765457374498274
SEDV3_a7c938523fea,76,1087.3500000000204,973.3500000000204,114.0,"{'cost_points_per_trade': 1.5, 'net_at_2x_cost': 859.3500000000204}",0.5657894736842105,100.77093023255834,-101.81212121212086,12.807236842105532,1.2897047443300267,-1907.0999999999767,0.5103822557810457,127.77236842105269,97.02697368421114,41,35,"{'2024-07': 814.2500000000146, '2024-08': 159.10000000000582}",1.4698720912312808,2.5563774592900197
SEDV3_27f58ab5e984,198,2419.0499999999884,2122.0499999999884,297.0,"{'cost_points_per_trade': 1.5, 'net_at_2x_cost': 1825.0499999999884}",0.5151515151515151,50.74950980392165,-31.816666666666872,10.717424242424183,1.6947518334206308,-594.4000000000087,3.5700706594884877,51.385606060605944,33.33055555555565,101,97,"{'2024-05': 295.34999999999854, '2024-06': 1103.4499999999935, '2024-07': 162.89999999999782, '2024-08': 560.3499999999985}",0.758370443674754,1.0768596404420336
SEDV3_c490f16de022,87,984.4000000000087,853.9000000000087,130.5,"{'cost_points_per_trade': 1.5, 'net_at_2x_cost': 723.4000000000087}",0.6091954022988506,71.06509433962286,-85.66323529411773,9.814942528735733,1.2931795162314836,-1587.75,0.5378050700677114,101.9925287356325,86.50977011494243,53,34,"{'2024-07': -599.6500000000015, '2024-08': 1453.5500000000102}",1.017449350040973,1.8330015224264915
SEDV3_7c19230c528f,146,1424.500000000029,1205.500000000029,219.0,"{'cost_points_per_trade': 1.5, 'net_at_2x_cost': 986.5000000000291}",0.5547945205479452,55.54197530864213,-50.66769230769205,8.256849315068692,1.366035100504049,-988.5499999999993,1.2194628496282738,58.3366438356165,47.28116438356124,78,68,"{'2024-05': 421.6499999999942, '2024-06': -53.84999999998399, '2024-07': 95.95000000001164, '2024-08': 741.7500000000073}",0.795396101202803,1.4620904189132782
SEDV3_7661e3dfbceb,276,2388.4499999999243,1974.4499999999243,414.0,"{'cost_points_per_trade': 1.5, 'net_at_2x_cost': 1560.4499999999243}",0.5253623188405797,97.29137931034468,-92.61679389313018,7.153804347825813,1.1627365488592836,-1694.5000000000146,1.1652109766892342,107.92355072463766,89.61322463768153,150,126,"{'2024-07': 902.2499999999491, '2024-08': 1072.1999999999753}",0.8732051963838432,1.5741345691205726
