timestamp,symbol,open,high,low,close,volume,oi,bid,ask,quote_timestamp,underlying,option_type,strike,expiry,provider,dataset_hash,bar_interval
2026-07-14T05:20:00,NIFTY 24050 PE 14 JUL 26,24.25,26.85,24.25,26.3,428163385.0,28263625.0,26.35,26.45,2026-07-14T05:20:59.658703089,NIFTY,PE,24050.0,2026-07-14,upstox,16f88a93c2bc7d4fdd8ff2d0ddf87573ddda7ea9f1afa434f855b04e56d43cd0,1m
2026-07-14T05:21:00,NIFTY 24050 PE 14 JUL 26,26.4,26.95,22.85,23.15,432089255.0,28351115.0,23.0,23.1,2026-07-14T05:21:59.660300016,NIFTY,PE,24050.0,2026-07-14,upstox,16f88a93c2bc7d4fdd8ff2d0ddf87573ddda7ea9f1afa434f855b04e56d43cd0,1m
2026-07-14T05:22:00,NIFTY 24050 PE 14 JUL 26,23.3,24.65,22.45,24.25,435927050.0,28053350.0,24.2,24.25,2026-07-14T05:22:59.656832933,NIFTY,PE,24050.0,2026-07-14,upstox,16f88a93c2bc7d4fdd8ff2d0ddf87573ddda7ea9f1afa434f855b04e56d43cd0,1m
2026-07-14T05:23:00,NIFTY 24050 PE 14 JUL 26,24.4,25.5,23.85,25.05,437917610.0,27928225.0,24.75,24.85,2026-07-14T05:23:59.647719860,NIFTY,PE,24050.0,2026-07-14,upstox,16f88a93c2bc7d4fdd8ff2d0ddf87573ddda7ea9f1afa434f855b04e56d43cd0,1m
2026-07-14T05:24:00,NIFTY 24050 PE 14 JUL 26,25.0,25.65,24.2,24.85,439526750.0,28069340.0,24.85,24.95,2026-07-14T05:24:59.808560133,NIFTY,PE,24050.0,2026-07-14,upstox,16f88a93c2bc7d4fdd8ff2d0ddf87573ddda7ea9f1afa434f855b04e56d43cd0,1m
2026-07-14T05:25:00,NIFTY 24050 PE 14 JUL 26,25.1,25.35,22.65,22.8,441984595.0,28122380.0,22.75,22.8,2026-07-14T05:25:59.800606012,NIFTY,PE,24050.0,2026-07-14,upstox,16f88a93c2bc7d4fdd8ff2d0ddf87573ddda7ea9f1afa434f855b04e56d43cd0,1m
2026-07-14T05:26:00,NIFTY 24050 PE 14 JUL 26,23.1,23.1,20.4,20.4,445625115.0,28016885.0,20.35,20.45,2026-07-14T05:26:59.795860052,NIFTY,PE,24050.0,2026-07-14,upstox,16f88a93c2bc7d4fdd8ff2d0ddf87573ddda7ea9f1afa434f855b04e56d43cd0,1m
2026-07-14T05:27:00,NIFTY 24050 PE 14 JUL 26,20.95,22.0,20.5,21.6,449295015.0,27557205.0,21.5,21.55,2026-07-14T05:27:59.797736883,NIFTY,PE,24050.0,2026-07-14,upstox,16f88a93c2bc7d4fdd8ff2d0ddf87573ddda7ea9f1afa434f855b04e56d43cd0,1m
2026-07-14T05:28:00,NIFTY 24050 PE 14 JUL 26,21.45,24.05,21.25,23.45,451861800.0,27497080.0,23.85,23.9,2026-07-14T05:28:59.936939955,NIFTY,PE,24050.0,2026-07-14,upstox,16f88a93c2bc7d4fdd8ff2d0ddf87573ddda7ea9f1afa434f855b04e56d43cd0,1m
2026-07-14T05:29:00,NIFTY 24050 PE 14 JUL 26,23.45,23.65,21.8,23.0,453686350.0,27481415.0,23.25,23.35,2026-07-14T05:29:59.944416046,NIFTY,PE,24050.0,2026-07-14,upstox,16f88a93c2bc7d4fdd8ff2d0ddf87573ddda7ea9f1afa434f855b04e56d43cd0,1m
2026-07-14T05:30:00,NIFTY 24050 PE 14 JUL 26,22.9,22.9,20.95,21.55,455949390.0,27819675.0,21.6,21.65,2026-07-14T05:30:59.936490059,NIFTY,PE,24050.0,2026-07-14,upstox,16f88a93c2bc7d4fdd8ff2d0ddf87573ddda7ea9f1afa434f855b04e56d43cd0,1m
2026-07-14T05:31:00,NIFTY 24050 PE 14 JUL 26,21.65,22.05,20.7,21.8,457516800.0,28021240.0,21.75,21.85,2026-07-14T05:31:59.939954996,NIFTY,PE,24050.0,2026-07-14,upstox,16f88a93c2bc7d4fdd8ff2d0ddf87573ddda7ea9f1afa434f855b04e56d43cd0,1m
2026-07-14T05:32:00,NIFTY 24050 PE 14 JUL 26,21.6,22.65,21.3,21.4,459161560.0,28147795.0,21.4,21.5,2026-07-14T05:32:59.040015936,NIFTY,PE,24050.0,2026-07-14,upstox,16f88a93c2bc7d4fdd8ff2d0ddf87573ddda7ea9f1afa434f855b04e56d43cd0,1m
2026-07-14T05:33:00,NIFTY 24050 PE 14 JUL 26,21.45,21.65,20.15,21.2,461325020.0,28024880.0,21.0,21.1,2026-07-14T05:33:59.030317068,NIFTY,PE,24050.0,2026-07-14,upstox,16f88a93c2bc7d4fdd8ff2d0ddf87573ddda7ea9f1afa434f855b04e56d43cd0,1m
2026-07-14T05:34:00,NIFTY 24050 PE 14 JUL 26,21.05,23.25,20.15,22.65,463605090.0,28007200.0,22.6,22.65,2026-07-14T05:34:59.018895149,NIFTY,PE,24050.0,2026-07-14,upstox,16f88a93c2bc7d4fdd8ff2d0ddf87573ddda7ea9f1afa434f855b04e56d43cd0,1m
2026-07-14T05:35:00,NIFTY 24050 PE 14 JUL 26,22.35,22.8,21.2,22.05,465306595.0,28129530.0,21.95,22.05,2026-07-14T05:35:59.488578081,NIFTY,PE,24050.0,2026-07-14,upstox,16f88a93c2bc7d4fdd8ff2d0ddf87573ddda7ea9f1afa434f855b04e56d43cd0,1m
2026-07-14T05:36:00,NIFTY 24050 PE 14 JUL 26,21.95,22.8,20.7,22.35,466831105.0,28224820.0,22.25,22.3,2026-07-14T05:36:59.960490942,NIFTY,PE,24050.0,2026-07-14,upstox,16f88a93c2bc7d4fdd8ff2d0ddf87573ddda7ea9f1afa434f855b04e56d43cd0,1m
