timestamp,symbol,open,high,low,close,volume,oi,bid,ask,quote_timestamp,underlying,option_type,strike,expiry,provider,dataset_hash,bar_interval
2026-07-14T05:20:00,NIFTY 24200 PE 14 JUL 26,105.65,112.7,105.65,111.5,148017090.0,8228480.0,111.35,111.5,2026-07-14T05:20:59.658693075,NIFTY,PE,24200.0,2026-07-14,upstox,16f88a93c2bc7d4fdd8ff2d0ddf87573ddda7ea9f1afa434f855b04e56d43cd0,1m
2026-07-14T05:21:00,NIFTY 24200 PE 14 JUL 26,111.85,113.6,101.15,102.85,149406400.0,8498815.0,102.7,103.0,2026-07-14T05:21:59.660293102,NIFTY,PE,24200.0,2026-07-14,upstox,16f88a93c2bc7d4fdd8ff2d0ddf87573ddda7ea9f1afa434f855b04e56d43cd0,1m
2026-07-14T05:22:00,NIFTY 24200 PE 14 JUL 26,103.45,106.75,101.1,105.85,150441590.0,8661445.0,104.65,104.9,2026-07-14T05:22:59.816832066,NIFTY,PE,24200.0,2026-07-14,upstox,16f88a93c2bc7d4fdd8ff2d0ddf87573ddda7ea9f1afa434f855b04e56d43cd0,1m
2026-07-14T05:23:00,NIFTY 24200 PE 14 JUL 26,106.1,110.0,104.55,108.6,151131370.0,8742305.0,108.4,108.65,2026-07-14T05:23:59.800454855,NIFTY,PE,24200.0,2026-07-14,upstox,16f88a93c2bc7d4fdd8ff2d0ddf87573ddda7ea9f1afa434f855b04e56d43cd0,1m
2026-07-14T05:24:00,NIFTY 24200 PE 14 JUL 26,108.25,110.3,105.65,107.55,151628880.0,8829275.0,107.45,107.75,2026-07-14T05:24:59.808545113,NIFTY,PE,24200.0,2026-07-14,upstox,16f88a93c2bc7d4fdd8ff2d0ddf87573ddda7ea9f1afa434f855b04e56d43cd0,1m
2026-07-14T05:25:00,NIFTY 24200 PE 14 JUL 26,107.95,109.4,101.4,101.95,152301175.0,8935095.0,102.0,102.25,2026-07-14T05:25:59.800590992,NIFTY,PE,24200.0,2026-07-14,upstox,16f88a93c2bc7d4fdd8ff2d0ddf87573ddda7ea9f1afa434f855b04e56d43cd0,1m
2026-07-14T05:26:00,NIFTY 24200 PE 14 JUL 26,102.15,103.25,93.65,94.15,153799035.0,9173645.0,93.7,93.8,2026-07-14T05:26:59.949130058,NIFTY,PE,24200.0,2026-07-14,upstox,16f88a93c2bc7d4fdd8ff2d0ddf87573ddda7ea9f1afa434f855b04e56d43cd0,1m
2026-07-14T05:27:00,NIFTY 24200 PE 14 JUL 26,95.4,101.0,94.55,99.05,155259065.0,9341930.0,99.0,99.2,2026-07-14T05:27:59.932447910,NIFTY,PE,24200.0,2026-07-14,upstox,16f88a93c2bc7d4fdd8ff2d0ddf87573ddda7ea9f1afa434f855b04e56d43cd0,1m
2026-07-14T05:28:00,NIFTY 24200 PE 14 JUL 26,98.9,106.95,97.95,104.95,156632970.0,9162725.0,105.8,106.0,2026-07-14T05:28:59.936922073,NIFTY,PE,24200.0,2026-07-14,upstox,16f88a93c2bc7d4fdd8ff2d0ddf87573ddda7ea9f1afa434f855b04e56d43cd0,1m
2026-07-14T05:29:00,NIFTY 24200 PE 14 JUL 26,104.6,105.2,99.4,103.1,157355575.0,9303710.0,104.1,104.35,2026-07-14T05:29:59.944396973,NIFTY,PE,24200.0,2026-07-14,upstox,16f88a93c2bc7d4fdd8ff2d0ddf87573ddda7ea9f1afa434f855b04e56d43cd0,1m
