test,partition,trades,profit_factor,mean_return_pct,median_return_pct,win_rate
baseline,development,37,1.5718820837270058,2.729835715479958,-0.6649172385950655,0.4864864864864865
baseline,validation,13,2.315209939701275,8.950712984599468,5.965745111260958,0.5384615384615384
opposite_call,development,36,0.4937777797222573,-4.446529932233056,-3.1480541556554167,0.4444444444444444
opposite_call,validation,11,0.5118005613849573,-4.1573242661094705,-4.8995792079207865,0.45454545454545453
cost_25bps,development,37,1.4676053863302065,2.3241732127976564,-1.063786838918037,0.4594594594594595
cost_25bps,validation,13,2.223026517581754,8.532602503389661,5.553607552258934,0.5384615384615384
cost_50bps,development,37,1.3475124265379785,1.8170950844447795,-1.5623738393217512,0.4594594594594595
cost_50bps,validation,13,2.1139661867716995,8.00996440187741,5.0384356035064055,0.5384615384615384
delay_3m,development,38,1.3723439349854767,1.6291413081517432,0.8099042686056601,0.5526315789473685
delay_3m,validation,13,2.531520461455242,8.598108747482145,0.7367199391171951,0.5384615384615384
delay_5m,development,37,1.0743770067791154,0.3156097803252642,0.1821169354838664,0.5135135135135135
delay_5m,validation,13,2.2177794633304884,7.004074365988909,2.727977195945941,0.5384615384615384
remove_top_1,development,36,1.2245617323778257,1.101704171594374,-1.0600857379416022,0.4722222222222222
remove_top_1,validation,12,1.440335741156346,3.2464490598743567,0.5715714272806847,0.5
remove_top_2,development,35,0.9598553666234588,-0.2025774949315013,-1.455254237288139,0.45714285714285713
remove_top_2,validation,11,0.6949621637827279,-2.453391902559167,-4.8226022566995885,0.45454545454545453
cap_winners_50pct,development,37,1.5076606830860153,2.423279734524256,-0.6649172385950655,0.4864864864864865
cap_winners_50pct,validation,13,1.8252631301494178,5.616360697834551,5.965745111260958,0.5384615384615384
