classification,columns,date,expiry_from_name,has_required_option_identity,option_type_from_name,physical_sha256,positive_ltp_sample,read_status,relative_path,root,row_count,row_group_count,schema_id,size_bytes,strike_from_name,timestamp_max_sample,timestamp_min_sample,underlying_from_name,valid_ohlc_sample
ZERO_PRICE_PLACEHOLDER,"['timestamp', 'open', 'high', 'low', 'close', 'volume']",2026-05-08,,False,,a26009a7d6b79df8028a65d91f20e99d82e32c8dc92836de5e417812b387936a,False,PARQUET_FOOTER_AND_SAMPLE_READ,20260508/options/BANKNIFTY_OPT_MOCK_ltp.parquet,/Users/madhuram/tradebot/runtime/kite_candidate_replay,370,1,b8d58dc60a910d8d,8446,,2026-05-08 12:39:00+05:30,2026-05-08 09:20:00+05:30,BANKNIFTY,True
ZERO_PRICE_PLACEHOLDER,"['timestamp', 'open', 'high', 'low', 'close', 'volume']",2026-05-15,,False,,32dd9f70de4bb0f5821dc2f727e14b7f2345c40b5208de92af9f9c6b0396ab96,False,PARQUET_FOOTER_AND_SAMPLE_READ,20260515/options/BANKNIFTY_OPT_MOCK_ltp.parquet,/Users/madhuram/tradebot/runtime/kite_candidate_replay,141,1,b8d58dc60a910d8d,5660,,2026-05-15 15:29:00+05:30,2026-05-15 13:09:00+05:30,BANKNIFTY,True
ZERO_PRICE_PLACEHOLDER,"['timestamp', 'open', 'high', 'low', 'close', 'volume']",2026-05-18,,False,,17f648b6d72f28c9dea63c4a31911633f40dd3ea5eb1d6300eb01c0b151cec78,False,PARQUET_FOOTER_AND_SAMPLE_READ,20260518/options/BANKNIFTY_OPT_MOCK_ltp.parquet,/Users/madhuram/tradebot/runtime/kite_candidate_replay,154,1,b8d58dc60a910d8d,5762,,2026-05-18 15:29:00+05:30,2026-05-18 12:55:00+05:30,BANKNIFTY,True
ZERO_PRICE_PLACEHOLDER,"['timestamp', 'open', 'high', 'low', 'close', 'volume']",2026-05-19,,False,,ff454559261cd70451c236a178bca8d5ffd350c366aadccea1e9854e1e4bf523,False,PARQUET_FOOTER_AND_SAMPLE_READ,20260519/options/BANKNIFTY_OPT_MOCK_ltp.parquet,/Users/madhuram/tradebot/runtime/kite_candidate_replay,3,1,b8d58dc60a910d8d,4382,,2026-05-19 15:29:00+05:30,2026-05-19 15:27:00+05:30,BANKNIFTY,True
ZERO_PRICE_PLACEHOLDER,"['timestamp', 'open', 'high', 'low', 'close', 'volume']",2026-05-22,,False,,e22be0ba69ff4aa1cf50ab8118dea54612fa6efdf688b25ba9f3a42df5fb539e,False,PARQUET_FOOTER_AND_SAMPLE_READ,20260522/options/BANKNIFTY_OPT_MOCK_ltp.parquet,/Users/madhuram/tradebot/runtime/kite_candidate_replay,371,1,b8d58dc60a910d8d,11062,,2026-05-22 12:38:00+05:30,2026-05-22 09:19:00+05:30,BANKNIFTY,True
ZERO_PRICE_PLACEHOLDER,"['timestamp', 'open', 'high', 'low', 'close', 'volume']",2026-05-25,,False,,45b0e10aad20d5e89a5b18a9a58bc0fd420b381ec6ba8fbfcf054242664c1e07,False,PARQUET_FOOTER_AND_SAMPLE_READ,20260525/options/BANKNIFTY_OPT_MOCK_ltp.parquet,/Users/madhuram/tradebot/runtime/kite_candidate_replay,374,1,b8d58dc60a910d8d,11765,,2026-05-25 12:35:00+05:30,2026-05-25 09:16:00+05:30,BANKNIFTY,True
ZERO_PRICE_PLACEHOLDER,"['timestamp', 'open', 'high', 'low', 'close', 'volume']",2026-05-27,,False,,637702d4bfe6d9d487f331c4b4fd12f258f89fe8d41cc88ea94591ccf1ddee16,False,PARQUET_FOOTER_AND_SAMPLE_READ,20260527/options/BANKNIFTY_OPT_MOCK_ltp.parquet,/Users/madhuram/tradebot/runtime/kite_candidate_replay,121,1,b8d58dc60a910d8d,5744,,2026-05-27 15:29:00+05:30,2026-05-27 13:29:00+05:30,BANKNIFTY,True
ZERO_PRICE_PLACEHOLDER,"['timestamp', 'open', 'high', 'low', 'close', 'volume']",2026-05-29,,False,,c5be5b9e886585b8afa7e3dcca09c120dea820323a3ffae410ccded5395f3532,False,PARQUET_FOOTER_AND_SAMPLE_READ,20260529/options/BANKNIFTY_OPT_MOCK_ltp.parquet,/Users/madhuram/tradebot/runtime/kite_candidate_replay,318,1,b8d58dc60a910d8d,7063,,2026-05-29 13:31:00+05:30,2026-05-29 10:12:00+05:30,BANKNIFTY,True
ZERO_PRICE_PLACEHOLDER,"['timestamp', 'open', 'high', 'low', 'close', 'volume']",2026-06-03,,False,,0cb56930f129e3e1f296cecae78313d11e8c21c06914ca1214776e65046702ec,False,PARQUET_FOOTER_AND_SAMPLE_READ,20260603/options/BANKNIFTY_OPT_MOCK_ltp.parquet,/Users/madhuram/tradebot/runtime/kite_candidate_replay,375,1,b8d58dc60a910d8d,7628,,2026-06-03 12:34:00+05:30,2026-06-03 09:15:00+05:30,BANKNIFTY,True
ZERO_PRICE_PLACEHOLDER,"['timestamp', 'open', 'high', 'low', 'close', 'volume']",2026-06-04,,False,,c2f3c08425d88b1a3c244e81cba5d19e9f13798d697a2fddf3d0cc8cc15c664f,False,PARQUET_FOOTER_AND_SAMPLE_READ,20260604/options/BANKNIFTY_OPT_MOCK_ltp.parquet,/Users/madhuram/tradebot/runtime/kite_candidate_replay,346,1,b8d58dc60a910d8d,7667,,2026-06-04 13:03:00+05:30,2026-06-04 09:44:00+05:30,BANKNIFTY,True
ZERO_PRICE_PLACEHOLDER,"['timestamp', 'open', 'high', 'low', 'close', 'volume']",2026-06-05,,False,,8dd808627615d6f76d52a4008c469eada730013ff12f77facb02befe6f573167,False,PARQUET_FOOTER_AND_SAMPLE_READ,20260605/options/BANKNIFTY_OPT_MOCK_ltp.parquet,/Users/madhuram/tradebot/runtime/kite_candidate_replay,375,1,b8d58dc60a910d8d,9076,,2026-06-05 12:34:00+05:30,2026-06-05 09:15:00+05:30,BANKNIFTY,True
ZERO_PRICE_PLACEHOLDER,"['timestamp', 'open', 'high', 'low', 'close', 'volume']",2026-06-10,,False,,88168ea08262646152365a6e6377ebc950cebafdf5bc2c6c8c237c64c62d1a6e,False,PARQUET_FOOTER_AND_SAMPLE_READ,20260610/options/BANKNIFTY_OPT_MOCK_ltp.parquet,/Users/madhuram/tradebot/runtime/kite_candidate_replay,375,1,b8d58dc60a910d8d,10131,,2026-06-10 12:34:00+05:30,2026-06-10 09:15:00+05:30,BANKNIFTY,True
ZERO_PRICE_PLACEHOLDER,"['timestamp', 'open', 'high', 'low', 'close', 'volume']",2026-06-10,,False,,7b73a18fd02e082bd66be9870612e82f48bb35947aec4a5c046f123b182e2c74,False,PARQUET_FOOTER_AND_SAMPLE_READ,20260610/options/NIFTY_OPT_MOCK_ltp.parquet,/Users/madhuram/tradebot/runtime/kite_candidate_replay,225,1,b8d58dc60a910d8d,6304,,2026-06-10 15:04:00+05:30,2026-06-10 11:45:00+05:30,NIFTY,True
ZERO_PRICE_PLACEHOLDER,"['timestamp', 'open', 'high', 'low', 'close', 'volume']",2026-06-11,,False,,90cb8f0371b6bb1e9489c17cecdf2cd9fd6562e76b494ee381e2595f85f5ae8a,False,PARQUET_FOOTER_AND_SAMPLE_READ,20260611/options/BANKNIFTY_OPT_MOCK_ltp.parquet,/Users/madhuram/tradebot/runtime/kite_candidate_replay,375,1,b8d58dc60a910d8d,8728,,2026-06-11 12:34:00+05:30,2026-06-11 09:15:00+05:30,BANKNIFTY,True
ZERO_PRICE_PLACEHOLDER,"['timestamp', 'open', 'high', 'low', 'close', 'volume']",2026-06-12,,False,,9065d72a799c7a17e0b2347dda299f51916e2cb1f73b27d1801f315318506093,False,PARQUET_FOOTER_AND_SAMPLE_READ,20260612/options/NIFTY_OPT_MOCK_ltp.parquet,/Users/madhuram/tradebot/runtime/kite_candidate_replay,323,1,b8d58dc60a910d8d,7222,,2026-06-12 13:24:00+05:30,2026-06-12 10:05:00+05:30,NIFTY,True
ZERO_PRICE_PLACEHOLDER,"['timestamp', 'open', 'high', 'low', 'close', 'volume']",2026-06-15,,False,,777e8bde9006acabea2653556285d1c1b5eac9bb98a850734c062819949d78ab,False,PARQUET_FOOTER_AND_SAMPLE_READ,20260615/options/BANKNIFTY_OPT_MOCK_ltp.parquet,/Users/madhuram/tradebot/runtime/kite_candidate_replay,345,1,b8d58dc60a910d8d,10462,,2026-06-15 13:04:00+05:30,2026-06-15 09:45:00+05:30,BANKNIFTY,True
ZERO_PRICE_PLACEHOLDER,"['timestamp', 'open', 'high', 'low', 'close', 'volume']",2026-06-15,,False,,4b813f793f86425ddbf6c974369478882d1bce7d644af83b290efa8273fa0d3c,False,PARQUET_FOOTER_AND_SAMPLE_READ,20260615/options/NIFTY_OPT_MOCK_ltp.parquet,/Users/madhuram/tradebot/runtime/kite_candidate_replay,280,1,b8d58dc60a910d8d,7534,,2026-06-15 14:09:00+05:30,2026-06-15 10:50:00+05:30,NIFTY,True
ZERO_PRICE_PLACEHOLDER,"['timestamp', 'open', 'high', 'low', 'close', 'volume']",2026-06-16,,False,,45de28c27c5ded86af96070537bd2fe200083e51fd84274c12128d5984e3414c,False,PARQUET_FOOTER_AND_SAMPLE_READ,20260616/options/BANKNIFTY_OPT_MOCK_ltp.parquet,/Users/madhuram/tradebot/runtime/kite_candidate_replay,367,1,b8d58dc60a910d8d,9252,,2026-06-16 12:42:00+05:30,2026-06-16 09:23:00+05:30,BANKNIFTY,True
