strategy_variant,rsi_variant,parameter_set,signal_timestamp,entry_timestamp,entry_price,exit_timestamp,exit_price,holding_sessions,gross_return,estimated_spread,slippage,fees_and_taxes,net_return,MAE,MFE,regime_label,calendar_year,WFA_fold,exit_reason
RSI2_MEAN_REVERSION_LONG_ONLY,WILDER_RSI_2,"{""cost_model"": ""base_index_proxy_costs"", ""entry_threshold"": 15.0, ""exit_threshold"": 85.0, ""lane"": ""NEXT_OPEN_EXECUTABLE"", ""rsi_period"": 2, ""sma_period"": 200, ""use_trend_filter"": true}",2012-10-30,2012-10-31,5596.75,2012-11-05,5693.0498046875,3,0.0172063795394648,0.0001,0.0002,0.0003,0.0166063795394648,-0.0024478840956805303,0.020467200551659515,UP_STRONG,2012,2010_2012,RSI_EXIT_THRESHOLD_OBSERVED
RSI2_MEAN_REVERSION_LONG_ONLY,WILDER_RSI_2,"{""cost_model"": ""base_index_proxy_costs"", ""entry_threshold"": 15.0, ""exit_threshold"": 85.0, ""lane"": ""NEXT_OPEN_EXECUTABLE"", ""rsi_period"": 2, ""sma_period"": 200, ""use_trend_filter"": true}",2012-11-15,2012-11-16,5624.7998046875,2012-11-23,5635.4501953125,5,0.0018934701669068854,0.0001,0.0002,0.0003,0.0012934701669068856,-0.013591542754559871,0.004506844427622836,UP_STRONG,2012,2010_2012,RSI_EXIT_THRESHOLD_OBSERVED
RSI2_MEAN_REVERSION_LONG_ONLY,WILDER_RSI_2,"{""cost_model"": ""base_index_proxy_costs"", ""entry_threshold"": 15.0, ""exit_threshold"": 85.0, ""lane"": ""NEXT_OPEN_EXECUTABLE"", ""rsi_period"": 2, ""sma_period"": 200, ""use_trend_filter"": true}",2012-12-13,2012-12-14,5846.89990234375,2012-12-20,5934.4501953125,4,0.014973797128569721,0.0001,0.0002,0.0003,0.014373797128569721,-0.004061981630723577,0.015820349509134024,UP_STRONG,2012,2010_2012,RSI_EXIT_THRESHOLD_OBSERVED
RSI2_MEAN_REVERSION_LONG_ONLY,WILDER_RSI_2,"{""cost_model"": ""base_index_proxy_costs"", ""entry_threshold"": 15.0, ""exit_threshold"": 85.0, ""lane"": ""NEXT_OPEN_EXECUTABLE"", ""rsi_period"": 2, ""sma_period"": 200, ""use_trend_filter"": true}",2013-01-11,2013-01-14,5967.2001953125,2013-01-16,6049.0,2,0.013708238706614528,0.0001,0.0002,0.0003,0.013108238706614529,-0.0008463421375936031,0.016976102924630476,UP_WEAK,2013,2013_2015,RSI_EXIT_THRESHOLD_OBSERVED
RSI2_MEAN_REVERSION_LONG_ONLY,WILDER_RSI_2,"{""cost_model"": ""base_index_proxy_costs"", ""entry_threshold"": 15.0, ""exit_threshold"": 85.0, ""lane"": ""NEXT_OPEN_EXECUTABLE"", ""rsi_period"": 2, ""sma_period"": 200, ""use_trend_filter"": true}",2013-02-01,2013-02-04,6025.2001953125,2013-02-20,5966.2998046875,12,-0.009775673623396486,0.0001,0.0002,0.0003,-0.010375673623396486,-0.028430639217933096,0.0022073631176349195,UP_STRONG,2013,2013_2015,RSI_EXIT_THRESHOLD_OBSERVED
RSI2_MEAN_REVERSION_LONG_ONLY,WILDER_RSI_2,"{""cost_model"": ""base_index_proxy_costs"", ""entry_threshold"": 15.0, ""exit_threshold"": 85.0, ""lane"": ""NEXT_OPEN_EXECUTABLE"", ""rsi_period"": 2, ""sma_period"": 200, ""use_trend_filter"": true}",2013-02-21,2013-02-22,5837.9501953125,2013-03-07,5801.2998046875,9,-0.0062779553437143365,0.0001,0.0002,0.0003,-0.006877955343714336,-0.02986495119404098,0.006928751647064191,UP_WEAK,2013,2013_2015,RSI_EXIT_THRESHOLD_OBSERVED
RSI2_MEAN_REVERSION_LONG_ONLY,WILDER_RSI_2,"{""cost_model"": ""base_index_proxy_costs"", ""entry_threshold"": 15.0, ""exit_threshold"": 85.0, ""lane"": ""NEXT_OPEN_EXECUTABLE"", ""rsi_period"": 2, ""sma_period"": 200, ""use_trend_filter"": true}",2013-03-19,2013-03-20,5740.5498046875,2013-04-02,5701.7001953125,7,-0.0067675763989151205,0.0001,0.0002,0.0003,-0.00736757639891512,-0.023638799705290148,0.0029962627096198347,DOWN_OR_SIDEWAYS,2013,2013_2015,RSI_EXIT_THRESHOLD_OBSERVED
RSI2_MEAN_REVERSION_LONG_ONLY,WILDER_RSI_2,"{""cost_model"": ""base_index_proxy_costs"", ""entry_threshold"": 15.0, ""exit_threshold"": 85.0, ""lane"": ""NEXT_OPEN_EXECUTABLE"", ""rsi_period"": 2, ""sma_period"": 200, ""use_trend_filter"": true}",2013-05-23,2013-05-24,6010.7001953125,2013-07-01,5834.10009765625,26,-0.02938095262078999,0.0001,0.0002,0.0003,-0.02998095262078999,-0.07394316483445784,0.020471792085631213,UP_WEAK,2013,2013_2015,RSI_EXIT_THRESHOLD_OBSERVED
RSI2_MEAN_REVERSION_LONG_ONLY,WILDER_RSI_2,"{""cost_model"": ""base_index_proxy_costs"", ""entry_threshold"": 15.0, ""exit_threshold"": 85.0, ""lane"": ""NEXT_OPEN_EXECUTABLE"", ""rsi_period"": 2, ""sma_period"": 200, ""use_trend_filter"": true}",2013-07-25,2013-07-26,5937.9501953125,2013-08-14,5715.39990234375,12,-0.03747931283499717,0.0001,0.0002,0.0003,-0.03807931283499717,-0.07596899314048722,0.001103041364791224,UP_WEAK,2013,2013_2015,RSI_EXIT_THRESHOLD_OBSERVED
RSI2_MEAN_REVERSION_LONG_ONLY,WILDER_RSI_2,"{""cost_model"": ""base_index_proxy_costs"", ""entry_threshold"": 15.0, ""exit_threshold"": 85.0, ""lane"": ""NEXT_OPEN_EXECUTABLE"", ""rsi_period"": 2, ""sma_period"": 200, ""use_trend_filter"": true}",2013-10-25,2013-10-28,6155.10009765625,2013-10-31,6237.14990234375,3,0.013330376985866144,0.0001,0.0002,0.0003,0.012730376985866144,-0.012331221448803276,0.02501173085550157,UP_WEAK,2013,2013_2015,RSI_EXIT_THRESHOLD_OBSERVED
RSI2_MEAN_REVERSION_LONG_ONLY,WILDER_RSI_2,"{""cost_model"": ""base_index_proxy_costs"", ""entry_threshold"": 15.0, ""exit_threshold"": 85.0, ""lane"": ""NEXT_OPEN_EXECUTABLE"", ""rsi_period"": 2, ""sma_period"": 200, ""use_trend_filter"": true}",2013-11-07,2013-11-08,6170.14990234375,2013-11-19,6197.25,6,0.004392129540638168,0.0001,0.0002,0.0003,0.003792129540638168,-0.03204131344623462,0.006847483556915002,UP_STRONG,2013,2013_2015,RSI_EXIT_THRESHOLD_OBSERVED
RSI2_MEAN_REVERSION_LONG_ONLY,WILDER_RSI_2,"{""cost_model"": ""base_index_proxy_costs"", ""entry_threshold"": 15.0, ""exit_threshold"": 85.0, ""lane"": ""NEXT_OPEN_EXECUTABLE"", ""rsi_period"": 2, ""sma_period"": 200, ""use_trend_filter"": true}",2013-11-21,2013-11-22,6027.35009765625,2013-12-02,6171.14990234375,6,0.023857881549541382,0.0001,0.0002,0.0003,0.023257881549541382,-0.009050460332470478,0.033406073049339735,UP_STRONG,2013,2013_2015,RSI_EXIT_THRESHOLD_OBSERVED
RSI2_MEAN_REVERSION_LONG_ONLY,WILDER_RSI_2,"{""cost_model"": ""base_index_proxy_costs"", ""entry_threshold"": 15.0, ""exit_threshold"": 85.0, ""lane"": ""NEXT_OPEN_EXECUTABLE"", ""rsi_period"": 2, ""sma_period"": 200, ""use_trend_filter"": true}",2013-12-13,2013-12-16,6168.35009765625,2013-12-30,6336.39990234375,9,0.02724388240404063,0.0001,0.0002,0.0003,0.02664388240404063,-0.006225311750437168,0.028484068551493102,UP_WEAK,2013,2013_2015,RSI_EXIT_THRESHOLD_OBSERVED
RSI2_MEAN_REVERSION_LONG_ONLY,WILDER_RSI_2,"{""cost_model"": ""base_index_proxy_costs"", ""entry_threshold"": 15.0, ""exit_threshold"": 85.0, ""lane"": ""NEXT_OPEN_EXECUTABLE"", ""rsi_period"": 2, ""sma_period"": 200, ""use_trend_filter"": true}",2014-01-02,2014-01-03,6194.5498046875,2014-01-14,6260.25,7,0.010606129159343336,0.0001,0.0002,0.0003,0.010006129159343336,-0.008870653843103926,0.015118191568035177,UP_STRONG,2014,2013_2015,RSI_EXIT_THRESHOLD_OBSERVED
RSI2_MEAN_REVERSION_LONG_ONLY,WILDER_RSI_2,"{""cost_model"": ""base_index_proxy_costs"", ""entry_threshold"": 15.0, ""exit_threshold"": 85.0, ""lane"": ""NEXT_OPEN_EXECUTABLE"", ""rsi_period"": 2, ""sma_period"": 200, ""use_trend_filter"": true}",2014-01-27,2014-01-28,6131.85009765625,2014-02-10,6072.7998046875,9,-0.009630094021920166,0.0001,0.0002,0.0003,-0.010230094021920166,-0.03238016093130536,0.006295016518913954,DOWN_OR_SIDEWAYS,2014,2013_2015,RSI_EXIT_THRESHOLD_OBSERVED
RSI2_MEAN_REVERSION_LONG_ONLY,WILDER_RSI_2,"{""cost_model"": ""base_index_proxy_costs"", ""entry_threshold"": 15.0, ""exit_threshold"": 85.0, ""lane"": ""NEXT_OPEN_EXECUTABLE"", ""rsi_period"": 2, ""sma_period"": 200, ""use_trend_filter"": true}",2014-04-16,2014-04-17,6695.4501953125,2014-04-25,6855.7998046875,4,0.02394904072130366,0.0001,0.0002,0.0003,0.02334904072130366,-0.001650418216311511,0.026047524401846545,UP_STRONG,2014,2013_2015,RSI_EXIT_THRESHOLD_OBSERVED
RSI2_MEAN_REVERSION_LONG_ONLY,WILDER_RSI_2,"{""cost_model"": ""base_index_proxy_costs"", ""entry_threshold"": 15.0, ""exit_threshold"": 85.0, ""lane"": ""NEXT_OPEN_EXECUTABLE"", ""rsi_period"": 2, ""sma_period"": 200, ""use_trend_filter"": true}",2014-04-29,2014-04-30,6724.9501953125,2014-05-12,6863.39990234375,7,0.020587469499440125,0.0001,0.0002,0.0003,0.019987469499440125,-0.012847736877698135,0.04388130778733412,UP_STRONG,2014,2013_2015,RSI_EXIT_THRESHOLD_OBSERVED
RSI2_MEAN_REVERSION_LONG_ONLY,WILDER_RSI_2,"{""cost_model"": ""base_index_proxy_costs"", ""entry_threshold"": 15.0, ""exit_threshold"": 85.0, ""lane"": ""NEXT_OPEN_EXECUTABLE"", ""rsi_period"": 2, ""sma_period"": 200, ""use_trend_filter"": true}",2014-05-29,2014-05-30,7254.85009765625,2014-06-04,7417.5498046875,3,0.02242633615321865,0.0001,0.0002,0.0003,0.02182633615321865,-0.018801202024534613,0.02459729761871987,UP_STRONG,2014,2013_2015,RSI_EXIT_THRESHOLD_OBSERVED
RSI2_MEAN_REVERSION_LONG_ONLY,WILDER_RSI_2,"{""cost_model"": ""base_index_proxy_costs"", ""entry_threshold"": 15.0, ""exit_threshold"": 85.0, ""lane"": ""NEXT_OPEN_EXECUTABLE"", ""rsi_period"": 2, ""sma_period"": 200, ""use_trend_filter"": true}",2014-06-16,2014-06-17,7525.0498046875,2014-07-02,7683.0498046875,11,0.020996538773946583,0.0001,0.0002,0.0003,0.020396538773946583,-0.011089588666810868,0.02755464788114592,UP_STRONG,2014,2013_2015,RSI_EXIT_THRESHOLD_OBSERVED
RSI2_MEAN_REVERSION_LONG_ONLY,WILDER_RSI_2,"{""cost_model"": ""base_index_proxy_costs"", ""entry_threshold"": 15.0, ""exit_threshold"": 85.0, ""lane"": ""NEXT_OPEN_EXECUTABLE"", ""rsi_period"": 2, ""sma_period"": 200, ""use_trend_filter"": true}",2014-07-09,2014-07-10,7589.5,2014-07-17,7612.7001953125,5,0.0030568805998418824,0.0001,0.0002,0.0003,0.0024568805998418826,-0.02205021380278671,0.018650741773173385,UP_STRONG,2014,2013_2015,RSI_EXIT_THRESHOLD_OBSERVED
RSI2_MEAN_REVERSION_LONG_ONLY,WILDER_RSI_2,"{""cost_model"": ""base_index_proxy_costs"", ""entry_threshold"": 15.0, ""exit_threshold"": 85.0, ""lane"": ""NEXT_OPEN_EXECUTABLE"", ""rsi_period"": 2, ""sma_period"": 200, ""use_trend_filter"": true}",2014-08-01,2014-08-04,7639.5498046875,2014-08-18,7785.25,9,0.019071830021070157,0.0001,0.0002,0.0003,0.018471830021070158,-0.013017744444866253,0.03153984219916417,UP_STRONG,2014,2013_2015,RSI_EXIT_THRESHOLD_OBSERVED
RSI2_MEAN_REVERSION_LONG_ONLY,WILDER_RSI_2,"{""cost_model"": ""base_index_proxy_costs"", ""entry_threshold"": 15.0, ""exit_threshold"": 85.0, ""lane"": ""NEXT_OPEN_EXECUTABLE"", ""rsi_period"": 2, ""sma_period"": 200, ""use_trend_filter"": true}",2014-09-15,2014-09-16,8036.60009765625,2014-09-23,8144.39990234375,5,0.01341360816484305,0.0001,0.0002,0.0003,0.01281360816484305,-0.013867828927434434,0.015466715175208146,UP_STRONG,2014,2013_2015,RSI_EXIT_THRESHOLD_OBSERVED
RSI2_MEAN_REVERSION_LONG_ONLY,WILDER_RSI_2,"{""cost_model"": ""base_index_proxy_costs"", ""entry_threshold"": 15.0, ""exit_threshold"": 85.0, ""lane"": ""NEXT_OPEN_EXECUTABLE"", ""rsi_period"": 2, ""sma_period"": 200, ""use_trend_filter"": true}",2014-09-25,2014-09-26,7885.85009765625,2014-10-22,7997.7998046875,14,0.014196276323401369,0.0001,0.0002,0.0003,0.013596276323401369,-0.020543124456315454,0.018393680185552874,UP_WEAK,2014,2013_2015,RSI_EXIT_THRESHOLD_OBSERVED
