checkpoint,timestamp_ist,process_alive,physical_transport_connected,socket_generation,transport_last_callback_age_sec,transport_last_tick_age_sec,desired_token_count,subscribe_callback_applied_count,mode_full_callback_applied_count,unique_fresh_tick_count,unique_fresh_depth_count,critical_required_count,critical_fresh_count,critical_fresh_ratio,core_required_count,core_fresh_count,core_fresh_ratio,watch_stale_count,peripheral_stale_count,subscription_registry_consistent,pending_critical_mutations,pending_core_mutations,canonical_feed_state,execution_feed_ready,feed_ok,recovery_state,recovery_stable_cycles,reconnect_blocked_reason,process_restart_required,ranked_snapshot_timestamp,candidate_snapshot_timestamp,execution_intent_count,memory_rss,thread_count
T+00,2026-07-30T14:57:26.966687+05:30,True,True,1,0.0,0.0,73,73,3,73,,3,3,1.0,70,69,0.9857142857142858,0,0,False,0,44,DEGRADED_LOCAL,False,,,12,,False,2026-07-30T14:57:25.124824+05:30,2026-07-30T14:57:25.130371+05:30,0,267872,16
T+05,2026-07-30T15:02:27.690061+05:30,True,True,1,0.0,0.0,73,70,3,70,,3,3,1.0,68,66,0.9705882352941176,0,0,False,0,67,DEGRADED_LOCAL,False,,,11,,False,2026-07-30T15:02:24.928509+05:30,2026-07-30T15:02:24.939334+05:30,0,217840,16
T+10,2026-07-30T15:07:27.166116+05:30,True,True,1,0.0,0.0,73,68,3,68,,3,3,1.0,65,63,0.9692307692307692,0,0,False,0,64,LIVE,False,True,IDLE,26,,False,2026-07-30T15:07:26.494742+05:30,2026-07-30T15:07:26.504263+05:30,0,192288,16
T+15,2026-07-30T15:12:29.575259+05:30,True,True,1,0.0,0.0,73,61,3,61,,3,3,1.0,64,62,0.96875,0,0,False,0,63,DEGRADED_LOCAL,False,True,IDLE,28,,False,2026-07-30T15:12:28.968594+05:30,2026-07-30T15:12:28.970982+05:30,0,345664,16
T+20,2026-07-30T15:17:27.723725+05:30,True,True,1,0.0,0.0,73,61,3,61,,3,3,1.0,64,62,0.96875,0,0,False,0,63,DEGRADED_LOCAL,False,True,IDLE,28,,False,2026-07-30T15:17:27.416622+05:30,2026-07-30T15:17:27.419511+05:30,0,247984,16
T+25,2026-07-30T15:22:30.107747+05:30,True,True,1,0.0,0.0,73,61,3,61,,3,3,1.0,64,62,0.96875,0,0,False,0,63,DEGRADED_LOCAL,False,True,IDLE,28,,False,2026-07-30T15:22:29.801260+05:30,2026-07-30T15:22:29.803742+05:30,0,422224,16
T+30,2026-07-30T15:27:27.909016+05:30,True,True,1,0.0,0.0,73,61,3,61,,3,3,1.0,58,57,0.9827586206896551,0,0,False,0,57,DEGRADED_LOCAL,False,True,IDLE,29,,False,2026-07-30T15:27:26.072450+05:30,2026-07-30T15:27:26.074620+05:30,0,224960,16
