combination_id,sma,entry_rsi,exit_rsi,rsi_type,execution_lane,completed_trades,expectancy,profit_factor,CAGR,maximum_drawdown,positive_fold_percentage,best_five_trade_concentration,base_cost_expectancy,cost_1_5x_expectancy,cost_2x_expectancy
bd99c8ac7b2e0716ce8cb27f5047ff91532d334007b7f5d244ec93f95d4829dc,150,10.0,70.0,SIMPLE_RSI_2,SAME_CLOSE_THEORETICAL_PROXY,295,0.0007690878732319414,1.142796983073116,0.011972012805957277,-0.2333274359215436,0.5,77.31878702930675,0.0007690878732319414,0.00046908787323194235,0.00016908787323194208
bdaeeab5fc84ab91ef7c4aa70da2a08cc433be09aae851da6292fdab3e2169cf,250,15.0,90.0,SIMPLE_RSI_2,NEXT_OPEN_EXECUTABLE,282,0.0001444567060551835,1.021765590760584,-0.003539301572499043,-0.3230101785321535,0.3333333333333333,0.0,0.0001444567060551835,-0.0001555432939448157,-0.00045554329394481563
bded46c4ce35b8e8ceb84347ae958f09d56d82f831f7f54d14a2cf6dc84d59e4,150,5.0,85.0,WILDER_RSI_2,SAME_CLOSE_THEORETICAL_PROXY,62,0.001988108779347805,1.197848838627497,0.004758646225492269,-0.31436008535319915,0.5,254.96426251278055,0.001988108779347805,0.0016881087793478061,0.0013881087793478054
bf3637d22b9cc0655f6d142aa4e16dcd33f137f584d0be30045de228bad8f260,150,5.0,90.0,SIMPLE_RSI_2,SAME_CLOSE_THEORETICAL_PROXY,254,8.293585158671865e-05,1.0123729218517041,-0.00478337957050512,-0.3623468749871015,0.5,0.0,8.293585158671865e-05,-0.00021706414841328055,-0.0005170641484132803
bfcc1a6433e2c1226a4f0172d5ec7c282d46566f3e85c7cad8c670151224d444,200,20.0,85.0,WILDER_RSI_2,NEXT_OPEN_EXECUTABLE,145,0.00023046792097161975,1.024592408713525,-0.0027968584667852348,-0.29746218743109964,0.5,0.0,0.00023046792097161975,-6.953207902837947e-05,-0.00036953207902838073
c015581914cff0ef2519377f0684da89fb3222c70596d17779cc150563f0a4a1,150,5.0,70.0,SIMPLE_RSI_2,SAME_CLOSE_THEORETICAL_PROXY,288,0.0009252843003791803,1.1761906797136403,0.014598600458957334,-0.22419084917407583,0.5,59.849289032235845,0.0009252843003791803,0.0006252843003791813,0.000325284300379181
c31d4208ae24943b3de3250495d4d802d92983506a3d813b206d571c01fcecce,250,5.0,90.0,SIMPLE_RSI_2,SAME_CLOSE_THEORETICAL_PROXY,269,-5.096982782629595e-06,0.9992344503932551,-0.00621852940827905,-0.34913061061096395,0.5,0.0,-5.096982782629595e-06,-0.000305096982782629,-0.0006050969827826292
c6d8d22e209334ef1ff8c07c545d9859b66ae6c3b9002edfa62e8e823a7e3b44,200,10.0,90.0,SIMPLE_RSI_2,NEXT_OPEN_EXECUTABLE,262,4.0848074169711855e-05,1.0060750938648153,-0.005313268693006079,-0.3519251809613084,0.6666666666666666,0.0,4.0848074169711855e-05,-0.0002591519258302867,-0.0005591519258302877
c7a69ec5653f70d76db4099856acd27d194114c2b8eae61efc0b7a54148cc216,250,15.0,85.0,WILDER_RSI_2,SAME_CLOSE_THEORETICAL_PROXY,131,-3.0205493441743747e-05,0.9966498768157254,-0.004681143629666873,-0.2853166823607587,0.5,0.0,-3.0205493441743747e-05,-0.0003302054934417431,-0.0006302054934417424
c7a94eba9c4af84597d05584f0be56514f1bd80572c368b081f87a22d91e4108,250,15.0,90.0,SIMPLE_RSI_2,SAME_CLOSE_THEORETICAL_PROXY,282,6.582726827209926e-06,1.0009770445870134,-0.0062139749248704135,-0.3557100815584452,0.6666666666666666,0.0,6.582726827209926e-06,-0.0002934172731727894,-0.0005934172731727892
c8b09b00eacf337c01684900913bf8115fa42cd3f771e56180d7408f7e6480a4,200,10.0,70.0,WILDER_RSI_2,NEXT_OPEN_EXECUTABLE,130,0.0018163817582944211,1.2680779870415655,0.011460735002579048,-0.24276370200323882,0.8333333333333334,80.16703851639392,0.0018163817582944211,0.0015163817582944212,0.0012163817582944221
c94991a07374dea87f1da3eaee7bf465ba7ddd1cbf48e96e06c0ad58c33629bd,250,10.0,90.0,SIMPLE_RSI_2,SAME_CLOSE_THEORETICAL_PROXY,273,-0.0001267356823648059,0.9813767984933599,-0.008389812388064577,-0.3473964052807048,0.5,0.0,-0.0001267356823648059,-0.0004267356823648056,-0.0007267356823648051
c94cfa0d25ea57cd112fe2728f30efb145257fe85b83087e96790f1ea884e0c0,150,10.0,85.0,SIMPLE_RSI_2,SAME_CLOSE_THEORETICAL_PROXY,276,0.0001472983245970193,1.0228692757998237,-0.0035688571666824265,-0.3449392554523173,0.6666666666666666,0.0,0.0001472983245970193,-0.00015270167540297968,-0.00045270167540297944
