expired_instrument_key,expiry,option_type,strike,timestamp,session,minute_of_day,days_to_expiry,premium_band,open,high,low,close,volume,open_interest,entry_price_next_open,prior_5m_return_pct,prior_10m_range_pct,prior_5m_volume_ratio,transition_compression_to_lift,transition_put_call_selloff_or_lift,transition_volume_participation,session_id,expiry_id,previous_return,previous_close,previous_volume_ratio,previous_open_interest,return_acceleration,volume_acceleration,oi_change_ratio,bar_acceptance,positive_return,positive_acceleration,volume_participating,positive_weight,weighted_strike_numerator,surface_count,breadth_positive,breadth_acceleration,breadth_volume,surface_median_return,surface_median_acceleration,surface_return_dispersion,breadth_delta,acceleration_breadth_delta,directional_mass_shift,compression_transition_breadth,put_call_transition_breadth,participation_transition_breadth,mirror_return,mirror_acceleration,mirror_volume_ratio,option_asymmetry,mechanism,score,forward_mfe_points,forward_mae_points,forward_close_change_points,forward_expansion_pct,label_horizon_minutes,is_expansion_event,move_cluster_id,gross_return_pct,net_return_pct,stress_return_pct,fold_id,partition
NSE_FO|49834|27-03-2025,2025-03-27,CE,23250.0,2025-03-21 04:15:00+00:00,2025-03-21,585,6,3,153.8,156.55,147.05,155.94,1066425,2752950,156.05,15.596738324684956,21.033730922149545,1.2161826968310312,False,True,False,2025-03-21,2025-03-27,11.039007859254447,154.0,1.0037996545768566,2770050.0,4.5577304654305095,0.2123830422541746,-0.006173173769426545,False,1.0,1.0,1.0,216.47997400940287,5033159.395718616,5,1.0,1.0,0.20000000298023224,13.464018571060098,3.8704815854504027,1.7025348176395423,0.0,1.0,1.2073352893530682,0.0,1.0,0.0,-13.325517780382956,-4.2015775300801685,1.9081484553182666,28.922256105067913,surface_breadth_impulse_continuation,33.78403224470618,3.75,13.700000000000017,-8.360000000000014,2.4030759371996155,5,False,,-5.357257289330351,-5.457257289330351,-6.357257289330351,fold_1,research_oof
NSE_FO|48695|27-03-2025,2025-03-27,CE,23200.0,2025-03-21 04:56:00+00:00,2025-03-21,626,6,3,175.3,183.0,174.4,182.5,693150,7751625,182.3,7.258301498677633,9.808219178082195,2.1233773693279723,False,True,True,2025-03-21,2025-03-27,1.53712296983759,175.05,0.987977621711701,7751625.0,5.721178528840043,1.1353997476162712,0.0,False,1.0,1.0,1.0,97.61691970234197,2264712.5370943337,5,1.0,1.0,1.0,6.353522867737937,4.987669209201351,0.8379430043579827,0.0,0.0,5.154551621493738,0.0,1.0,1.0,-8.689024390243915,-5.702412649770183,1.573844949099452,15.947325888921547,surface_breadth_impulse_continuation,22.19934876009358,22.69999999999999,4.050000000000011,21.19999999999999,12.452002194185402,5,False,,11.629182665935264,11.529182665935265,10.629182665935264,fold_1,research_oof
NSE_FO|49835|27-03-2025,2025-03-27,PE,23250.0,2025-03-24 04:43:00+00:00,2025-03-24,613,3,1,36.54,37.54,36.0,37.1,152625,2841750,37.04,4.067321178120631,10.78167115902965,1.1356026785714286,False,False,False,2025-03-24,2025-03-27,0.273972602739736,36.6,0.6802455357142857,2841750.0,3.793348575380895,0.4553571428571429,0.0,False,1.0,1.0,1.0,48.54651152013266,1128706.3928430844,5,1.0,1.0,1.0,3.974895397489542,3.3742331288343586,0.4550625223185481,0.19999998807907104,1.0,12.125206263659493,0.0,0.0,0.0,-2.392277560156675,-0.9065632744423957,1.0557620817843867,6.459598738277306,surface_breadth_impulse_continuation,10.73684797138013,0.6600000000000037,2.5899999999999963,-1.25,1.7818574514038978,5,False,,-3.374730021598272,-3.474730021598272,-4.374730021598272,fold_1,research_oof
NSE_FO|49835|27-03-2025,2025-03-27,PE,23250.0,2025-03-24 06:06:00+00:00,2025-03-24,696,3,1,31.35,32.79,31.05,32.1,242550,2657400,32.1,3.7156704361874127,8.06853582554517,3.019607843137255,False,False,True,2025-03-24,2025-03-27,0.9646302250803762,31.4,0.6986301369863014,2657400.0,2.7510402111070364,2.3209777061509533,0.0,False,1.0,1.0,1.0,46.070476148643294,1071138.5704559565,5,1.0,1.0,1.0,3.7249283667621924,2.1428571428571574,0.22404803701014173,0.0,1.0,-15.398431010355125,0.8,0.0,0.4,-3.0581395348837193,-1.4991194903402838,1.037037037037037,6.773809971071132,surface_breadth_impulse_continuation,10.279752142962483,3.1899999999999977,0.3000000000000007,1.9399999999999977,9.937694704049836,5,False,,6.043613707165102,5.9436137071651025,5.043613707165102,fold_1,research_oof
NSE_FO|54712|03-04-2025,2025-04-03,CE,23500.0,2025-03-28 04:15:00+00:00,2025-03-28,585,6,3,174.15,179.2,170.9,179.2,538800,4024125,181.05,2.400000000000002,8.063616071428566,1.2248934356351235,False,False,False,2025-03-28,2025-04-03,2.2595596755504044,176.5,0.742749731471536,3879675.0,0.14044032444959775,0.48214370416358754,0.03723250014498637,False,1.0,1.0,1.0,31.673043790782913,744316.5290833984,5,1.0,1.0,0.6000000238418579,4.09638554216869,2.076475066069161,1.0966686638446463,0.0,0.0,39.0902630676901,0.0,0.0,0.0,-5.192554073404176,0.9816465881173242,1.0041654367148807,7.5925540734041785,surface_breadth_impulse_continuation,8.039217756762557,9.949999999999989,4.950000000000017,9.75,5.495719414526367,5,False,,5.385252692626346,5.285252692626346,4.385252692626346,fold_1,research_oof
NSE_FO|54712|03-04-2025,2025-04-03,CE,23500.0,2025-03-28 04:49:00+00:00,2025-03-28,619,6,3,193.4,198.8,193.4,198.4,457650,3915225,198.95,5.084745762711851,9.24899193548388,1.571060762100927,False,True,True,2025-03-28,2025-04-03,3.7776004256451223,195.05,0.9407826982492276,3915225.0,1.3071453370667285,0.6302780638516994,0.0,False,1.0,1.0,1.0,66.27387540959204,1557436.0721254128,5,1.0,1.0,1.0,5.281249999999993,1.2075942897255665,0.2222494371838186,0.0,0.0,-0.15998819364904193,0.0,1.0,0.2,-8.329791755206129,-3.809774536092914,1.2340234472437017,13.41453751791798,surface_breadth_impulse_continuation,15.11444804550994,2.0,13.049999999999983,-7.449999999999989,1.0052777079668258,5,False,,-3.744659462176421,-3.844659462176421,-4.744659462176421,fold_1,research_oof
NSE_FO|54754|03-04-2025,2025-04-03,PE,23650.0,2025-04-01 04:15:00+00:00,2025-04-01,585,2,3,162.1,169.5,158.05,169.5,73275,904575,170.8,4.43622920517559,22.0117994100295,1.170059880239521,False,False,False,2025-04-01,2025-04-03,-6.573181419807184,159.9,1.0699166132135984,876150.0,11.009410624982774,0.10014326702592258,0.03244307481595617,False,1.0,1.0,1.0,49.69458815248202,1175277.0098061997,8,0.625,0.75,0.625,2.5948220381666554,7.912973751877656,11.298291262181229,0.625,0.0,,0.0,0.0,0.125,-15.750371471025248,-20.44292810532946,1.0068288518992745,20.18660067620084,surface_breadth_impulse_continuation,32.113526271243494,1.1999999999999886,15.200000000000017,-6.800000000000011,0.7025761124121713,5,False,,-3.9812646370023486,-4.081264637002349,-4.981264637002349,fold_1,research_oof
NSE_FO|54712|03-04-2025,2025-04-03,CE,23500.0,2025-04-01 04:46:00+00:00,2025-04-01,616,2,2,85.6,93.85,85.2,93.2,939600,8272500,93.9,2.3613399231191767,19.84978540772532,1.1172247737102599,False,False,False,2025-04-01,2025-04-03,-5.492115280043497,86.9,1.1062331366899896,8272500.0,7.853455203162674,0.010991637020270284,0.0,False,1.0,1.0,1.0,32.4760052515162,763186.1234106306,5,1.0,1.0,0.4000000059604645,1.4098986635335597,8.231511368196054,0.6643489861350673,1.0,0.0,,0.0,0.0,0.0,-5.233069481090591,-5.588625036646144,0.812018765891917,7.594409404209768,surface_breadth_impulse_continuation,16.727170800800007,5.099999999999994,8.900000000000006,-8.900000000000006,5.431309904153348,5,False,,-9.478168264110762,-9.578168264110761,-10.478168264110762,fold_1,research_oof
NSE_FO|54713|03-04-2025,2025-04-03,PE,23500.0,2025-04-02 04:16:00+00:00,2025-04-02,586,1,4,302.25,304.75,286.85,291.7,238950,4850325,289.05,31.396396396396398,30.061707233459035,1.5332050048123196,False,True,True,2025-04-02,2025-04-03,36.41500904159132,301.75,2.3558909444985394,4850325.0,-5.018612645194921,-0.8226859396862198,0.0,False,1.0,0.0,1.0,388.81340589705036,9137115.038580684,8,0.625,0.125,0.875,19.183061482267725,-3.2104609525706813,18.256883307266225,0.0,-0.75,-1.377112718346325,0.0,0.625,0.375,-39.66597077244259,7.294196942442099,1.0315535421076578,71.06236716883899,surface_breadth_impulse_continuation,76.46428106523699,17.94999999999999,14.050000000000011,10.839999999999975,6.209998270195464,5,False,,3.7502162255665024,3.6502162255665023,2.7502162255665024,fold_1,research_oof
NSE_FO|54713|03-04-2025,2025-04-03,PE,23500.0,2025-04-02 04:52:00+00:00,2025-04-02,622,1,4,255.05,268.39,255.05,268.39,100500,4726425,266.3,6.546248511314001,13.711390141212421,1.7678100263852243,False,True,True,2025-04-02,2025-04-03,-7.076587229397857,255.4,0.7440633245382586,4726425.0,13.622835740711858,1.0237467018469657,0.0,False,1.0,1.0,1.0,75.39918600859922,1771880.8712020817,8,0.75,0.75,0.625,4.258130081300804,10.08609662755945,6.367537870139097,0.625,0.125,,0.0,0.375,0.625,-13.455657492354744,-32.65565749235474,1.1790460542212342,20.001906003668743,surface_breadth_impulse_continuation,34.69169425097691,7.800000000000011,24.0,-23.0,2.9290274126924563,5,False,,-8.636875704093129,-8.736875704093128,-9.636875704093129,fold_1,research_oof
