trade_id,symbol,expiry,generation_timestamp_ist,entry_price,stoploss,target,candidate_status,quote_source,feed_ok,ltp_age_sec,depth_age_sec,option_tick_age_sec,guard_active,target_hit_time,stop_hit_time,MFE,MAE,time_to_target,net_points_after_slippage,classification
NIFTY-2026-06-23-24100-CE-mean-reversion-1781774734,NIFTY,2026-06-23,2026-06-18 14:55:34 IST,116.15,105.0,159.64,near_executable,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,VALID_EXECUTABLE_HIT
NIFTY-2026-06-23-24050-CE-mean-reversion-1781774830,NIFTY,2026-06-23,2026-06-18 14:57:10 IST,142.8,129.09,196.26,advisory_only,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNDERLYING_TICK_STALE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,VALID_ADVISORY_HIT
NIFTY-2026-06-23-24300-CE-mean-reversion-1781774942,NIFTY,2026-06-23,2026-06-18 14:59:02 IST,45.15,40.82,62.05,advisory_only,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNDERLYING_TICK_STALE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,VALID_ADVISORY_HIT
