timestamp,symbol,open,high,low,close,volume,oi,bid,ask,quote_timestamp,underlying,option_type,strike,expiry,provider,dataset_hash,bar_interval
2026-07-14T05:21:00,NIFTY 24100 CE 14 JUL 26,54.9,54.9,49.65,50.1,519219350.0,27824810.0,50.2,50.35,2026-07-14T05:20:59.956649065,NIFTY,CE,24100.0,2026-07-14,upstox,16f88a93c2bc7d4fdd8ff2d0ddf87573ddda7ea9f1afa434f855b04e56d43cd0,1m
2026-07-14T05:22:00,NIFTY 24100 CE 14 JUL 26,50.0,57.55,48.5,56.25,525513365.0,27961700.0,56.3,56.45,2026-07-14T05:21:59.961958885,NIFTY,CE,24100.0,2026-07-14,upstox,16f88a93c2bc7d4fdd8ff2d0ddf87573ddda7ea9f1afa434f855b04e56d43cd0,1m
2026-07-14T05:23:00,NIFTY 24100 CE 14 JUL 26,56.35,57.95,53.7,54.15,531448125.0,27388920.0,54.15,54.3,2026-07-14T05:22:59.349403858,NIFTY,CE,24100.0,2026-07-14,upstox,16f88a93c2bc7d4fdd8ff2d0ddf87573ddda7ea9f1afa434f855b04e56d43cd0,1m
2026-07-14T05:24:00,NIFTY 24100 CE 14 JUL 26,53.75,55.45,50.35,51.8,535080715.0,27192230.0,52.15,52.3,2026-07-14T05:23:59.056908131,NIFTY,CE,24100.0,2026-07-14,upstox,16f88a93c2bc7d4fdd8ff2d0ddf87573ddda7ea9f1afa434f855b04e56d43cd0,1m
2026-07-14T05:25:00,NIFTY 24100 CE 14 JUL 26,51.5,53.85,49.75,52.35,537866615.0,27506635.0,52.35,52.45,2026-07-14T05:24:59.504015923,NIFTY,CE,24100.0,2026-07-14,upstox,16f88a93c2bc7d4fdd8ff2d0ddf87573ddda7ea9f1afa434f855b04e56d43cd0,1m
2026-07-14T05:26:00,NIFTY 24100 CE 14 JUL 26,52.45,56.45,50.6,56.1,541825635.0,27614340.0,55.95,56.05,2026-07-14T05:25:59.197713852,NIFTY,CE,24100.0,2026-07-14,upstox,16f88a93c2bc7d4fdd8ff2d0ddf87573ddda7ea9f1afa434f855b04e56d43cd0,1m
2026-07-14T05:27:00,NIFTY 24100 CE 14 JUL 26,55.8,62.7,55.15,62.7,548761460.0,27349205.0,60.25,60.4,2026-07-14T05:26:59.337967157,NIFTY,CE,24100.0,2026-07-14,upstox,16f88a93c2bc7d4fdd8ff2d0ddf87573ddda7ea9f1afa434f855b04e56d43cd0,1m
2026-07-14T05:28:00,NIFTY 24100 CE 14 JUL 26,62.9,62.9,56.0,58.05,558140310.0,25194650.0,57.85,58.0,2026-07-14T05:27:59.358385801,NIFTY,CE,24100.0,2026-07-14,upstox,16f88a93c2bc7d4fdd8ff2d0ddf87573ddda7ea9f1afa434f855b04e56d43cd0,1m
2026-07-14T05:29:00,NIFTY 24100 CE 14 JUL 26,58.2,59.15,51.2,51.75,563271150.0,25000300.0,51.3,51.45,2026-07-14T05:28:59.180994034,NIFTY,CE,24100.0,2026-07-14,upstox,16f88a93c2bc7d4fdd8ff2d0ddf87573ddda7ea9f1afa434f855b04e56d43cd0,1m
2026-07-14T05:30:00,NIFTY 24100 CE 14 JUL 26,52.4,57.35,52.25,53.45,567238360.0,25424425.0,53.15,53.3,2026-07-14T05:29:59.350563049,NIFTY,CE,24100.0,2026-07-14,upstox,16f88a93c2bc7d4fdd8ff2d0ddf87573ddda7ea9f1afa434f855b04e56d43cd0,1m
2026-07-14T05:31:00,NIFTY 24100 CE 14 JUL 26,54.6,59.55,54.6,57.85,571674610.0,25550590.0,57.7,57.85,2026-07-14T05:30:59.775174856,NIFTY,CE,24100.0,2026-07-14,upstox,16f88a93c2bc7d4fdd8ff2d0ddf87573ddda7ea9f1afa434f855b04e56d43cd0,1m
2026-07-14T05:32:00,NIFTY 24100 CE 14 JUL 26,57.75,59.9,55.95,56.0,575328195.0,25694500.0,56.0,56.15,2026-07-14T05:31:59.473840237,NIFTY,CE,24100.0,2026-07-14,upstox,16f88a93c2bc7d4fdd8ff2d0ddf87573ddda7ea9f1afa434f855b04e56d43cd0,1m
2026-07-14T05:33:00,NIFTY 24100 CE 14 JUL 26,56.4,57.9,54.05,57.2,578260605.0,25658100.0,57.05,57.2,2026-07-14T05:32:59.498135090,NIFTY,CE,24100.0,2026-07-14,upstox,16f88a93c2bc7d4fdd8ff2d0ddf87573ddda7ea9f1afa434f855b04e56d43cd0,1m
2026-07-14T05:34:00,NIFTY 24100 CE 14 JUL 26,56.85,59.95,56.6,56.75,581546160.0,25507495.0,56.4,56.55,2026-07-14T05:33:59.479708910,NIFTY,CE,24100.0,2026-07-14,upstox,16f88a93c2bc7d4fdd8ff2d0ddf87573ddda7ea9f1afa434f855b04e56d43cd0,1m
2026-07-14T05:35:00,NIFTY 24100 CE 14 JUL 26,56.95,60.05,52.0,53.35,585717080.0,25315355.0,53.4,53.5,2026-07-14T05:34:59.480544090,NIFTY,CE,24100.0,2026-07-14,upstox,16f88a93c2bc7d4fdd8ff2d0ddf87573ddda7ea9f1afa434f855b04e56d43cd0,1m
2026-07-14T05:36:00,NIFTY 24100 CE 14 JUL 26,53.55,57.85,53.3,55.1,588490760.0,25536745.0,55.1,55.2,2026-07-14T05:35:59.935817003,NIFTY,CE,24100.0,2026-07-14,upstox,16f88a93c2bc7d4fdd8ff2d0ddf87573ddda7ea9f1afa434f855b04e56d43cd0,1m
2026-07-14T05:37:00,NIFTY 24100 CE 14 JUL 26,55.1,57.9,52.8,54.1,590967715.0,25690275.0,53.7,53.85,2026-07-14T05:36:59.633825064,NIFTY,CE,24100.0,2026-07-14,upstox,16f88a93c2bc7d4fdd8ff2d0ddf87573ddda7ea9f1afa434f855b04e56d43cd0,1m
2026-07-14T05:38:00,NIFTY 24100 CE 14 JUL 26,54.05,56.1,52.35,55.6,593142485.0,25532910.0,55.4,55.5,2026-07-14T05:37:59.658102036,NIFTY,CE,24100.0,2026-07-14,upstox,16f88a93c2bc7d4fdd8ff2d0ddf87573ddda7ea9f1afa434f855b04e56d43cd0,1m
