strategy,regime,trades,expectancy
HTF_FAILED_BREAKOUT_REVERSAL,CHOP,1,-1.24270462
HTF_PDH_PDL_HOLD,CHOP,1,-1.24270462
HTF_PDH_PDL_HOLD,TREND_UP,1,-1.24270462
