strategy,status,trades,gross_r,net_r,win_rate,avg_cost
HTF_15M_TREND_CONT,VALID,1170,0.042240209305803154,-0.17684563852923146,0.36923076923076925,233.3374372423077
HTF_FAILED_BREAKOUT_REVERSAL,VALID,775,0.1003105409955283,-0.18128701080352705,0.3793548387096774,231.50102226645163
HTF_OPENING_DRIVE_CONT,VALID,2679,0.14766642751998973,-0.16621429661695025,0.39380365808137363,234.34659706681597
HTF_PDH_PDL_HOLD,VALID,4397,0.07613930189775865,-0.28218746893136687,0.3647941778485331,234.01398660984765
HTF_RANGE_EXPANSION,VALID,727,0.6349577711343789,0.3857795140457967,0.562585969738652,236.75256546629987
