strategy,trades,rejected_regime,rejected_structure,rejected_session
TrendContinuation_EMA_PULLBACK,86,279,183,19909
TrendContinuation_OPENING_DRIVE,65,279,118,19909
TrendContinuation_VWAP_RECLAIM,1,279,117,19909
TrendContinuation_PDH_PDL,16,279,101,19909
TrendContinuation_BREAK_AND_RETEST,17,279,84,19909
