strategy,rejected_by_regime,rejected_by_structure,rejected_by_risk,rejected_by_session,final_trades
TrendContinuation_EMA_PULLBACK,369,43,0,1750,6
TrendContinuation_OPENING_DRIVE,369,5,0,1750,37
TrendContinuation_VWAP_RECLAIM,369,5,0,1750,0
TrendContinuation_PDH_PDL,369,1,0,1750,4
TrendContinuation_BREAK_AND_RETEST,369,0,0,1750,1
ORB_BREAKOUT,10,352,0,1750,7
RangeReversal_SUPPORT,232,0,0,1880,0
RangeReversal_RESISTANCE,232,0,0,1880,0
MeanReversion_VWAP_PULLBACK,0,303,0,1794,15
