strategy,status,trades,gross_r,net_r,win_rate,avg_cost
HTF_FAILED_BREAKOUT_REVERSAL,RESEARCH_REJECTED (<300 trades),1,-1.0,-1.24270462,0.0,60.676155
HTF_PDH_PDL_HOLD,RESEARCH_REJECTED (<300 trades),2,-1.0,-1.24270462,0.0,60.676155
