strategy,Baseline,15m regime only,30m regime only,15m OR 30m regime,"no regime, structure only","regime only, no structure",structure + session only
HTF_15M_TREND_CONT,1170,1607,1321,1767,1686,5446,1686
HTF_15M_VWAP_PULLBACK,0,0,0,0,0,5446,0
HTF_OPENING_DRIVE_CONT,2679,3129,2795,3561,4396,5446,4396
HTF_PDH_PDL_HOLD,4397,4397,4397,4397,4397,5446,4397
HTF_FAILED_BREAKOUT_REVERSAL,775,775,775,775,1291,5446,1291
HTF_RANGE_EXPANSION,727,727,727,727,4396,5446,4396
