month,signals
2022-07,26
2022-08,50
2022-09,65
2022-10,17
2022-12,61
2023-01,52
2023-02,18
2023-03,54
2023-09,14
2023-10,31
2023-12,29
2024-01,46
2024-02,56
2024-03,47
2024-04,42
2024-05,72
2024-06,47
