strategy,rejected_by_regime,rejected_by_structure,rejected_by_session,final_trades
HTF_15M_TREND_CONT,2,1,11761,0
HTF_15M_VWAP_PULLBACK,2,1,11761,0
HTF_OPENING_DRIVE_CONT,2,1,11761,0
HTF_PDH_PDL_HOLD,0,1,11761,2
HTF_FAILED_BREAKOUT_REVERSAL,1,1,11761,1
HTF_RANGE_EXPANSION,3,0,11761,0
