strategy,status,trades,gross_r,net_r,win_rate,avg_cost
HTF_15M_TREND_CONT,VALID,1170,0.042240209305803154,-0.07312422968159053,0.37264957264957266,61.04009296698718
HTF_FAILED_BREAKOUT_REVERSAL,VALID,775,0.1003105409955283,-0.048736832801520656,0.3832258064516129,61.038496215193554
HTF_OPENING_DRIVE_CONT,VALID,2679,0.14766642751998973,-0.016606405662589318,0.3956700261291527,61.12576367172452
HTF_PDH_PDL_HOLD,VALID,4397,0.07613930189775865,-0.11138767300319624,0.3666136001819422,61.02086887111667
HTF_RANGE_EXPANSION,VALID,727,0.6349577711343789,0.5047960471905361,0.562585969738652,61.612042731464925
