main already running (pid 70957)
scheduler already running (pid 71044)
Port 8501 already in use; skipping streamlit start. (Set DASH_PORT to change.)
watchdog already running (pid 70968)
Open http://<tailscale-ip>:8501
Started PIDs: none
No new processes started.
Starting live soak at 2026-07-06 13:31:21.513375
Collected metrics at 2026-07-06T14:56:22.342424: feed_ok=None executable=0
Collected metrics at 2026-07-06T14:57:22.350509: feed_ok=None executable=0
Collected metrics at 2026-07-06T14:58:22.358785: feed_ok=None executable=0
Collected metrics at 2026-07-06T14:59:22.367525: feed_ok=None executable=0
Collected metrics at 2026-07-06T15:00:22.376569: feed_ok=None executable=0
Collected metrics at 2026-07-06T15:01:22.390298: feed_ok=None executable=0
Collected metrics at 2026-07-06T15:02:22.398101: feed_ok=None executable=0
Collected metrics at 2026-07-06T15:03:22.405898: feed_ok=None executable=0
Collected metrics at 2026-07-06T15:04:22.411724: feed_ok=None executable=0
Collected metrics at 2026-07-06T15:05:22.420920: feed_ok=None executable=0
Collected metrics at 2026-07-06T15:06:22.428814: feed_ok=None executable=0
Collected metrics at 2026-07-06T15:07:22.435447: feed_ok=None executable=0
Collected metrics at 2026-07-06T15:08:22.439596: feed_ok=None executable=0
Collected metrics at 2026-07-06T15:09:22.444195: feed_ok=None executable=0
Collected metrics at 2026-07-06T15:10:22.449779: feed_ok=None executable=0
Collected metrics at 2026-07-06T15:11:22.453828: feed_ok=None executable=0
Collected metrics at 2026-07-06T15:12:22.464483: feed_ok=None executable=0
Collected metrics at 2026-07-06T15:13:22.467033: feed_ok=None executable=0
Collected metrics at 2026-07-06T15:14:22.473249: feed_ok=None executable=0
Collected metrics at 2026-07-06T15:15:22.480353: feed_ok=None executable=0
Collected metrics at 2026-07-06T15:16:22.487282: feed_ok=None executable=0
Collected metrics at 2026-07-06T15:17:22.505960: feed_ok=None executable=0
Collected metrics at 2026-07-06T15:18:22.511319: feed_ok=None executable=0
Collected metrics at 2026-07-06T15:19:22.515372: feed_ok=None executable=0
Collected metrics at 2026-07-06T15:20:22.520271: feed_ok=None executable=0
Collected metrics at 2026-07-06T15:21:22.528332: feed_ok=None executable=0
Collected metrics at 2026-07-06T15:22:22.536751: feed_ok=None executable=0
Collected metrics at 2026-07-06T15:23:22.543801: feed_ok=None executable=0
Collected metrics at 2026-07-06T15:24:22.551507: feed_ok=None executable=0
Collected metrics at 2026-07-06T15:25:22.557846: feed_ok=None executable=0
Collected metrics at 2026-07-06T15:26:22.564610: feed_ok=None executable=0
Collected metrics at 2026-07-06T15:27:22.573246: feed_ok=None executable=0
Collected metrics at 2026-07-06T15:28:22.581109: feed_ok=None executable=0
Collected metrics at 2026-07-06T15:29:22.589259: feed_ok=None executable=0
Collected metrics at 2026-07-06T15:30:22.598174: feed_ok=None executable=0
Report written to runtime/live_observation/20260706_133121/live_soak_report.md
Caught signal; stopping child processes...
Cleanup complete.
