path,bytes,sha256,classification,row_count,timestamp_start,timestamp_end,unique_timestamps,provider
/Users/madhuram/tradebot/runtime/upstox_candidate_replay/20250513/underlying/NIFTY_20250513.parquet,27806,269247b0d0df57c89fa3e8c54d1dc9e18bf093a93defd604ae488469fd254176,INCOMPLETE,377,2025-05-13T09:15:00+05:30,2025-05-13T15:59:00+05:30,377,upstox
/Users/madhuram/tradebot-repair-11-nifty-sessions-v1/research/repair_11_nifty_sessions_v1/repaired_sessions/NIFTY_20250513.parquet,24951,96daffab804a74d18bb45a6dfd0ad14bbb6e16036819f17451b0b6748081cc9c,TRUSTED_RAW,375,2025-05-13T09:15:00+05:30,2025-05-13T15:29:00+05:30,375,upstox
/Users/madhuram/tradebot-repair-11-nifty-sessions-v1/research/repair_11_nifty_sessions_v1/repaired_sessions/NIFTY_20250508.parquet,24015,91bdc572541f4f7928a660ad1988e5a863862ffb701a0b779f954f4dd9f20299,TRUSTED_RAW,375,2025-05-08T09:15:00+05:30,2025-05-08T15:29:00+05:30,375,upstox
/Users/madhuram/tradebot-repair-11-nifty-sessions-v1/research/repair_11_nifty_sessions_v1/repaired_sessions/NIFTY_20250425.parquet,25209,f981af38fbadae32301f4292af57df783df563955f393eed2bb5ed015b9a2101,TRUSTED_RAW,375,2025-04-25T09:15:00+05:30,2025-04-25T15:29:00+05:30,375,upstox
/Users/madhuram/tradebot-repair-11-nifty-sessions-v1/research/repair_11_nifty_sessions_v1/repaired_sessions/NIFTY_20250430.parquet,23849,908310a5da4dca149b667fa30b8d8c573fdbedc884564bb10780448a11830d3e,TRUSTED_RAW,375,2025-04-30T09:15:00+05:30,2025-04-30T15:29:00+05:30,375,upstox
/Users/madhuram/tradebot-repair-11-nifty-sessions-v1/research/repair_11_nifty_sessions_v1/repaired_sessions/NIFTY_20251021.parquet,13374,e05db952d889c721269015c5df7e4edc6945674eee6c19dbfb96c6356f822f83,INCOMPLETE,60,2025-10-21T13:45:00+05:30,2025-10-21T14:44:00+05:30,60,upstox
/Users/madhuram/tradebot-repair-11-nifty-sessions-v1/research/repair_11_nifty_sessions_v1/repaired_sessions/NIFTY_20250521.parquet,24853,e0dee97b6246808567d3da4908fcf601b65394bc53d03864008d731989d8a0e4,TRUSTED_RAW,375,2025-05-21T09:15:00+05:30,2025-05-21T15:29:00+05:30,375,upstox
/Users/madhuram/tradebot-repair-11-nifty-sessions-v1/research/repair_11_nifty_sessions_v1/repaired_sessions/NIFTY_20241101.parquet,13340,77a63271526014ff045644e29d3edb71713a3871cd8012f033ad69be42864ee8,INCOMPLETE,60,2024-11-01T18:00:00+05:30,2024-11-01T18:59:00+05:30,60,upstox
/Users/madhuram/tradebot/runtime/upstox_candidate_replay/20250423/underlying/NIFTY_20250423.parquet,27569,e107766853f113bbdb8162698b53982aa6f612b29a9fbec44a32366065ee2bab,INCOMPLETE,374,2025-04-23T09:15:00+05:30,2025-04-23T15:29:00+05:30,374,upstox
/Users/madhuram/tradebot/runtime/upstox_candidate_replay/20250423/underlying/BANKNIFTY_20250423.parquet,27702,80db2c3f8da03e502f23b7aef417d8b5c4cd7c80175c7c2d6d712ab1b0223f71,INCOMPLETE,374,2025-04-23T09:15:00+05:30,2025-04-23T15:29:00+05:30,374,upstox
/Users/madhuram/tradebot/runtime/upstox_candidate_replay/20250425/underlying/NIFTY_20250425.parquet,28074,88dc75200c56b5aa09c51ed1c15d97aae0364f1ae32a7f2046ff7a9607a2bc25,INCOMPLETE,377,2025-04-25T09:15:00+05:30,2025-04-25T15:59:00+05:30,377,upstox
