Strategy,total_bars,candidate_emitted,safety_accepted,executable
OPENING_DRIVE_CONT,12285,427,427,427
15M_TREND_CONT,12285,0,0,0
15M_VWAP_PULLBACK,12285,0,0,0
FAILED_BREAKOUT_REVERSAL,12285,0,0,0
PDH_PDL_HOLD,12285,8766,8766,8766
