partition,control,trades,profit_factor,mean_return_pct,median_return_pct,win_rate,net_return_pct_sum
development,base,37,1.5718820837270058,2.7298357154799575,-0.6649172385950655,0.4864864864864865,101.00392147275844
development,remove_top_1,36,1.2245617323778257,1.101704171594374,-1.0600857379416022,0.4722222222222222,39.661350177397466
development,remove_top_2,35,0.9598553666234588,-0.2025774949315013,-1.455254237288139,0.45714285714285713,-7.090212322602545
development,remove_top_3,34,0.7392552880911759,-1.3544667148678984,-1.8013235804690242,0.4411764705882353,-46.05186830550854
development,opposite_side,28,0.9542849800672087,-0.23585465106298137,-0.014607660781845964,0.5,-6.6039302297634785
validation,base,13,2.315209939701275,8.950712984599466,5.965745111260958,0.5384615384615384,116.35926879979307
validation,remove_top_1,12,1.440335741156346,3.2464490598743567,0.5715714272806847,0.5,38.95738871849228
validation,remove_top_2,11,0.6949621637827279,-2.453391902559167,-4.8226022566995885,0.45454545454545453,-26.987310928150833
validation,remove_top_3,10,0.45540731204561646,-4.818121050581391,-6.024376105350714,0.4,-48.18121050581391
validation,opposite_side,8,0.2524743292620347,-3.57023229669858,-3.704596224297479,0.375,-28.56185837358864
