expired_instrument_key,expiry,option_type,strike,timestamp,session,minute_of_day,days_to_expiry,premium_band,open,high,low,close,volume,open_interest,entry_price_next_open,prior_5m_return_pct,prior_10m_range_pct,prior_5m_volume_ratio,transition_compression_to_lift,transition_put_call_selloff_or_lift,transition_volume_participation,session_id,expiry_id,previous_return,previous_close,previous_volume_ratio,previous_open_interest,return_acceleration,volume_acceleration,oi_change_ratio,bar_acceptance,positive_return,positive_acceleration,volume_participating,positive_weight,weighted_strike_numerator,surface_count,breadth_positive,breadth_acceleration,breadth_volume,surface_median_return,surface_median_acceleration,surface_return_dispersion,breadth_delta,acceleration_breadth_delta,directional_mass_shift,compression_transition_breadth,put_call_transition_breadth,participation_transition_breadth,mirror_return,mirror_acceleration,mirror_volume_ratio,option_asymmetry,mechanism,premium_distance,score,forward_mfe_points,forward_mae_points,forward_close_change_points,forward_expansion_pct,label_horizon_minutes,is_expansion_event,move_cluster_id,gross_return_pct,net_return_pct,stress_return_pct,fold_id,partition
NSE_FO|49834|27-03-2025,2025-03-27,CE,23250.0,2025-03-21 04:15:00+00:00,2025-03-21,585,6,3,153.8,156.55,147.05,155.94,1066425,2752950,156.05,15.596738324684956,21.033730922149545,1.2161826968310312,False,True,False,2025-03-21,2025-03-27,11.039007859254447,154.0,1.0037996545768566,2770050.0,4.5577304654305095,0.2123830422541746,-0.006173173769426545,False,1.0,1.0,1.0,216.47997400940287,5033159.395718616,5,1.0,1.0,0.2,13.464018571060098,3.8704815854504027,1.7025348176395423,0.0,1.0,1.2073352893530682,0.0,1.0,0.0,-13.325517780382956,-4.2015775300801685,1.9081484553182666,28.922256105067913,wing_lead_second_push,6.050000000000011,50.83323562596534,3.75,13.700000000000017,-8.360000000000014,2.4030759371996155,5,False,,-5.357257289330351,-5.457257289330351,-6.357257289330351,fold_1,research_oof
NSE_FO|49834|27-03-2025,2025-03-27,CE,23250.0,2025-03-21 04:38:00+00:00,2025-03-21,608,6,3,142.9,154.6,142.35,154.35,953325,3711075,154.35,12.377138696760092,12.05053449951409,1.99732872407291,False,True,True,2025-03-21,2025-03-27,1.132743362831845,142.85,0.5450974230043998,3711075.0,11.244395333928246,1.4522313010685104,0.0,False,1.0,1.0,1.0,170.40488345863912,3961913.5404133596,5,1.0,1.0,1.0,10.791550012725892,9.350556223906015,0.9694685275276933,0.0,0.19999999,7.313781767974433,0.0,1.0,0.8,-14.573459715639803,-12.659778933880851,2.07562334459768,26.950598412399895,wing_lead_second_push,4.349999999999994,54.4550334562865,0.5500000000000114,16.349999999999994,-14.099999999999994,0.35633300939424123,5,False,,-9.135082604470355,-9.235082604470355,-10.135082604470355,fold_1,research_oof
NSE_FO|49835|27-03-2025,2025-03-27,PE,23250.0,2025-03-24 04:43:00+00:00,2025-03-24,613,3,1,36.54,37.54,36.0,37.1,152625,2841750,37.04,4.067321178120631,10.78167115902965,1.1356026785714286,False,False,False,2025-03-24,2025-03-27,0.273972602739736,36.6,0.6802455357142857,2841750.0,3.793348575380895,0.4553571428571429,0.0,False,1.0,1.0,1.0,48.54651152013266,1128706.3928430844,5,1.0,1.0,1.0,3.974895397489542,3.3742331288343586,0.4550625223185481,0.19999999,1.0,12.125206263659493,0.0,0.0,0.0,-2.392277560156675,-0.9065632744423957,1.0557620817843867,6.459598738277306,wing_lead_second_push,112.96000000000001,17.557658942178936,0.6600000000000037,2.5899999999999963,-1.25,1.7818574514038978,5,False,,-3.374730021598272,-3.474730021598272,-4.374730021598272,fold_1,research_oof
NSE_FO|48696|27-03-2025,2025-03-27,PE,23200.0,2025-03-24 05:03:00+00:00,2025-03-24,633,3,1,29.75,30.45,29.2,30.25,526350,10838550,30.4,3.7735849056603765,8.429752066115693,2.303249097472924,False,False,True,2025-03-24,2025-03-27,0.6768189509306133,29.75,0.9625861503117821,10915275.0,3.0967659547297632,1.340662947161142,-0.007029140356060658,False,1.0,1.0,1.0,49.71216441341196,1153322.2143911575,5,1.0,1.0,0.6,3.9256198347107363,3.1076239246902837,0.3673716700898471,0.0,1.0,6.343068182526622,0.4,0.0,0.2,-0.036514118792607686,-0.3791475010735623,1.4285714285714286,3.810099024452984,wing_lead_second_push,119.6,12.666182033909264,1.4500000000000028,0.29999999999999716,-0.04999999999999716,4.769736842105273,5,False,,-0.16447368421051697,-0.264473684210517,-1.164473684210517,fold_1,research_oof
NSE_FO|54714|03-04-2025,2025-04-03,CE,23550.0,2025-03-28 04:18:00+00:00,2025-03-28,588,6,3,155.44,159.35,152.4,159.35,532050,2811075,158.65,7.924144937351829,10.636962660809532,1.3333333333333333,False,True,False,2025-03-28,2025-04-03,4.46744574290483,156.44,0.8923465914616358,2724225.0,3.4566991944469994,0.4409867418716975,0.03188062660022575,False,1.0,1.0,1.0,104.47584636110466,2460406.181804015,5,1.0,1.0,0.6,8.074283407347593,3.4566991944469994,0.9007491735087532,0.0,0.0,7.138268014969071,0.0,1.0,0.0,-8.151815181518153,-1.3968482941009395,0.6220090417907156,16.075960118869983,wing_lead_second_push,8.650000000000006,29.07496870939703,11.199999999999989,3.0500000000000114,9.949999999999989,7.059565080365577,5,False,,6.271667191931918,6.171667191931919,5.271667191931918,fold_1,research_oof
NSE_FO|54715|03-04-2025,2025-04-03,PE,23550.0,2025-03-28 04:39:00+00:00,2025-03-28,609,6,3,134.15,141.75,132.5,141.75,876525,3325125,141.3,14.916903121199843,14.497354497354495,1.5837116335795107,False,True,True,2025-03-28,2025-04-03,4.570312499999996,133.85,0.899011843857313,3292125.0,10.346590621199848,0.6846997897221977,0.01002392071989976,False,1.0,1.0,1.0,204.118750135883,4806996.565700045,8,0.625,0.75,0.75,12.506456377010823,8.510860207354455,9.874365897928744,0.0,0.25,-2.020704894919618,0.0,0.625,0.5,-13.076278290025133,-8.821574961515731,1.2817841147975504,27.993181411224974,wing_lead_second_push,8.699999999999989,56.61998353712514,3.25,8.75,-2.3000000000000114,2.300070771408351,5,False,,-1.62774239207361,-1.7277423920736101,-2.62774239207361,fold_1,research_oof
NSE_FO|54756|03-04-2025,2025-04-03,PE,23700.0,2025-04-01 04:16:00+00:00,2025-04-01,586,2,4,206.45,208.3,199.9,203.5,145200,1899600,203.7,10.000000000000009,18.943488943488948,1.595385249278945,False,True,True,2025-04-01,2025-04-03,3.6588443098662715,205.4,1.4446460980036298,1899600.0,6.341155690133737,0.15073915127531534,0.0,False,1.0,1.0,1.0,118.85874268401469,2816952.201611148,8,0.625,0.625,0.875,9.698588709677413,5.722784422838767,15.761668452690483,0.0,-0.125,4.491173265811085,0.0,0.625,0.75,-23.550401427297054,-5.977585893316473,0.7876568474338952,33.55040142729706,wing_lead_second_push,53.69999999999999,52.319450397261825,16.600000000000023,14.699999999999989,13.200000000000017,8.14923907707414,5,False,,6.480117820324015,6.380117820324015,5.480117820324015,fold_1,research_oof
NSE_FO|54716|03-04-2025,2025-04-03,CE,23600.0,2025-04-01 04:47:00+00:00,2025-04-01,617,2,2,52.45,53.65,50.9,53.05,705450,11439825,54.05,4.326450344149446,21.112158341187566,1.1567361495419048,False,False,False,2025-04-01,2025-04-03,2.3880597014925398,51.45,0.8564590120337744,11439825.0,1.9383906426569064,0.30027713750813045,0.0,False,1.0,1.0,1.0,58.26254416099383,1374996.0421994545,5,1.0,1.0,1.0,3.0180505415162484,1.709121039153505,1.0302249107043306,0.0,0.0,26.838824496579036,0.0,0.2,0.0,-4.466134279798883,-0.33557391007039605,0.7892740353172008,8.79258462394833,wing_lead_second_push,95.95,16.388779591155654,1.1500000000000057,8.449999999999996,-8.0,2.1276595744680957,5,False,,-14.801110083256244,-14.901110083256244,-15.801110083256244,fold_1,research_oof
NSE_FO|54713|03-04-2025,2025-04-03,PE,23500.0,2025-04-02 05:27:00+00:00,2025-04-02,657,1,4,221.6,228.4,221.6,228.4,156375,4631925,228.45,9.702209414024976,12.01838879159369,2.214551248008497,False,True,True,2025-04-02,2025-04-03,3.7696089908686448,221.6,1.7595146166574738,4659750.0,5.932600423156331,0.45503663135102324,-0.00597135039433446,True,1.0,1.0,1.0,116.03860546646672,2726907.228461968,8,0.625,0.875,0.75,5.67588434285139,5.3199096995752315,8.988039959459915,0.0,0.25,-13.493032917303935,0.25,0.625,0.625,-17.620137299771176,-13.219159304661154,1.4132816969590283,27.32234671379615,wing_lead_second_push,78.44999999999999,45.40966627640058,0.0,34.099999999999994,-14.649999999999977,0.0,5,False,,-6.412781790326101,-6.512781790326101,-7.412781790326101,fold_1,research_oof
NSE_FO|54713|03-04-2025,2025-04-03,PE,23500.0,2025-04-02 05:47:00+00:00,2025-04-02,677,1,4,235.0,253.6,232.2,242.3,356100,4470375,242.8,9.365831640713163,17.51960379694593,3.5014749262536875,False,True,True,2025-04-02,2025-04-03,4.920273348519366,230.3,1.0442477876106195,4470375.0,4.445558292193796,2.457227138643068,0.0,True,1.0,1.0,1.0,119.7231418674493,2813493.8338850588,8,0.75,0.75,0.875,8.058695191769704,3.437673675943331,8.871040277843887,0.0,0.0,422.5368148177913,0.0,0.75,0.875,-17.22537390407426,-7.881939560639907,3.4026480095647167,26.59120554478742,wing_lead_second_push,92.80000000000001,47.49009066204759,1.9499999999999886,20.600000000000023,-20.600000000000023,0.8031301482701765,5,False,,-8.484349258649102,-8.584349258649102,-9.484349258649102,fold_1,research_oof
