feature,auc,incremental_predictive_value,direction,large_expansion_mean,ordinary_mean,available,source
open_interest_sum,0.3650325050352116,0.13496749496478838,low,3232734.557902366,5462314.306022377,True,certified_joint_warehouse
atr_14,0.6336540180727724,0.13365401807277244,high,11.805497600189327,9.651853199634289,True,certified_joint_warehouse
rolling_range_15,0.6160925391712125,0.11609253917121254,high,51.729375679453355,41.75720480915327,True,certified_joint_warehouse
true_range,0.5920914778201766,0.09209147782017657,high,10.733985608531338,9.018137920714587,True,certified_joint_warehouse
volume_sum,0.42587185339541483,0.07412814660458517,low,326734.08629704406,418288.7473237718,True,certified_joint_warehouse
minutes_to_close,0.5716420167965737,0.07164201679657367,high,224.1538541181343,199.39079837929924,True,certified_joint_warehouse
session_progress,0.42835798320342633,0.07164201679657367,low,0.4006581440691597,0.4668695230500021,True,certified_joint_warehouse
premium_range_pct,0.4429111504856645,0.057088849514335516,low,0.03949213196785066,0.05258347568373551,True,certified_joint_warehouse
chain_snapshot_count,0.44345566045460055,0.05654433954539945,low,6.708598643681731,7.035740595791703,True,certified_joint_warehouse
oi_change_3,0.46445510686511254,0.035544893134887456,low,27313.356917352576,66756.8756729121,True,certified_joint_warehouse
volume_z_session,0.5318819746938644,0.031881974693864445,high,0.21526846453291,0.11844942074674512,True,certified_joint_warehouse
expansion_ratio,0.477372753691376,0.022627246308624005,low,0.9249807824145324,0.948803113055895,True,certified_joint_warehouse
same_side_velocity_agreement,0.5211187219366686,0.02111872193666864,high,0.42677192345424986,0.3957078757919899,True,certified_joint_warehouse
volatility_compression,0.5163089532847401,0.016308953284740135,high,4.2000047552950655,4.095129913704928,True,certified_joint_warehouse
premium_velocity,0.516008536567283,0.01600853656728296,high,0.1440699901641041,-0.04905388139417091,True,certified_joint_warehouse
expiry_day,0.48478615176532175,0.015213848234678251,low,0.35517937567945335,0.3856070721488098,True,certified_joint_warehouse
premium_elasticity,0.5150038310852019,0.015003831085201869,high,1554.410642882421,-1428.8918213353702,True,certified_joint_warehouse
ce_minus_pe_velocity,0.4869274476696361,0.013072552330363918,low,-0.3511674138042362,-0.09367750757833176,True,certified_joint_warehouse
same_side_accel_agreement,0.5120194619314654,0.012019461931465414,high,0.4509103913980448,0.4336360665443929,True,certified_joint_warehouse
dte,0.5088768418624342,0.008876841862434204,high,2.6632499870580317,2.6067901376674802,True,certified_joint_warehouse
premium_acceleration,0.5072831278258484,0.00728312782584839,high,0.03872547497023339,-0.005389148839430973,True,certified_joint_warehouse
near_expiry,0.49740003238572766,0.002599967614272336,low,0.7178133250504737,0.7230132602790184,True,certified_joint_warehouse
option_snapshot_count,0.5,0.0,high,1.0,1.0,True,certified_joint_warehouse
