evidence_lane,expectancy,friction_bps_per_side,net_pnl,normalization,overlay_name,partition,profit_factor,strategy_id,trades
PRICE_STRUCTURE_CANDIDATE_OVERLAY,12.954939401698205,5.0,38.864818205094615,net_return_pct,COMMON_OPTION_OVERLAY_V1,development,52.35549250134482,EXHAUSTION_REVERSAL,3
PRICE_STRUCTURE_CANDIDATE_OVERLAY,230.89369791666664,15.0,692.68109375,one_lot_rupee,COMMON_OPTION_OVERLAY_V1,development,18.31107666114779,EXHAUSTION_REVERSAL,3
PRICE_STRUCTURE_CANDIDATE_OVERLAY,3.119410416666667,15.0,9.358231250000001,per_option_unit,COMMON_OPTION_OVERLAY_V1,development,6.8468846646465495,EXHAUSTION_REVERSAL,3
PRICE_STRUCTURE_CANDIDATE_OVERLAY,12.741877931561438,15.0,38.22563379468431,net_return_pct,COMMON_OPTION_OVERLAY_V1,development,40.979826292400595,EXHAUSTION_REVERSAL,3
PRICE_STRUCTURE_CANDIDATE_OVERLAY,225.17005208333333,25.0,675.51015625,one_lot_rupee,COMMON_OPTION_OVERLAY_V1,development,14.969448752746583,EXHAUSTION_REVERSAL,3
PRICE_STRUCTURE_CANDIDATE_OVERLAY,2.9295729166666677,25.0,8.788718750000003,per_option_unit,COMMON_OPTION_OVERLAY_V1,development,5.543734651673789,EXHAUSTION_REVERSAL,3
PRICE_STRUCTURE_CANDIDATE_OVERLAY,12.52881646142467,25.0,37.58644938427401,net_return_pct,COMMON_OPTION_OVERLAY_V1,development,33.52925747409843,EXHAUSTION_REVERSAL,3
PRICE_STRUCTURE_CANDIDATE_OVERLAY,,0.0,0,one_lot_rupee,COMMON_OPTION_OVERLAY_V1,validation,,EXHAUSTION_REVERSAL,0
PRICE_STRUCTURE_CANDIDATE_OVERLAY,,0.0,0,per_option_unit,COMMON_OPTION_OVERLAY_V1,validation,,EXHAUSTION_REVERSAL,0
PRICE_STRUCTURE_CANDIDATE_OVERLAY,,0.0,0,net_return_pct,COMMON_OPTION_OVERLAY_V1,validation,,EXHAUSTION_REVERSAL,0
PRICE_STRUCTURE_CANDIDATE_OVERLAY,,5.0,0,one_lot_rupee,COMMON_OPTION_OVERLAY_V1,validation,,EXHAUSTION_REVERSAL,0
PRICE_STRUCTURE_CANDIDATE_OVERLAY,,5.0,0,per_option_unit,COMMON_OPTION_OVERLAY_V1,validation,,EXHAUSTION_REVERSAL,0
PRICE_STRUCTURE_CANDIDATE_OVERLAY,,5.0,0,net_return_pct,COMMON_OPTION_OVERLAY_V1,validation,,EXHAUSTION_REVERSAL,0
PRICE_STRUCTURE_CANDIDATE_OVERLAY,,15.0,0,one_lot_rupee,COMMON_OPTION_OVERLAY_V1,validation,,EXHAUSTION_REVERSAL,0
PRICE_STRUCTURE_CANDIDATE_OVERLAY,,15.0,0,per_option_unit,COMMON_OPTION_OVERLAY_V1,validation,,EXHAUSTION_REVERSAL,0
PRICE_STRUCTURE_CANDIDATE_OVERLAY,,15.0,0,net_return_pct,COMMON_OPTION_OVERLAY_V1,validation,,EXHAUSTION_REVERSAL,0
PRICE_STRUCTURE_CANDIDATE_OVERLAY,,25.0,0,one_lot_rupee,COMMON_OPTION_OVERLAY_V1,validation,,EXHAUSTION_REVERSAL,0
PRICE_STRUCTURE_CANDIDATE_OVERLAY,,25.0,0,per_option_unit,COMMON_OPTION_OVERLAY_V1,validation,,EXHAUSTION_REVERSAL,0
PRICE_STRUCTURE_CANDIDATE_OVERLAY,,25.0,0,net_return_pct,COMMON_OPTION_OVERLAY_V1,validation,,EXHAUSTION_REVERSAL,0
PRICE_STRUCTURE_CANDIDATE_OVERLAY,-37.23325892857146,0.0,-2085.062500000002,one_lot_rupee,COMMON_OPTION_OVERLAY_V1,development,0.9064008035373599,LATE_DAY_MOMENTUM,56
PRICE_STRUCTURE_CANDIDATE_OVERLAY,-0.6041517857142858,0.0,-33.83250000000001,per_option_unit,COMMON_OPTION_OVERLAY_V1,development,0.915280021034444,LATE_DAY_MOMENTUM,56
PRICE_STRUCTURE_CANDIDATE_OVERLAY,-0.28472151693862174,0.0,-15.944404948562818,net_return_pct,COMMON_OPTION_OVERLAY_V1,development,0.9629796693197432,LATE_DAY_MOMENTUM,56
