session_id,session_date,instrument,event_type,event_timestamp,causal_trigger_timestamp,direction,event_parameters,source_provenance,feature_availability_mask,eligibility_flags,semantic_hash,close,ts,minute_index,gap_pct,opening_range_width,prior_session_return,prior_session_range,rolling_range_5,rolling_range_15,realized_vol_15,atr_14,vwap_distance,dist_session_high,dist_session_low,body_range_ratio,upper_wick_ratio,lower_wick_ratio,compression_duration,prior_failed_breaks,ret_1,range,body,volume,entry_timestamp,entry_price,horizon_min,mfe_points,mae_points,gross_points,net_points,target_10_before_stop_10,target_20_before_stop_20,path_efficiency
BANKNIFTY:2024-07-02,2024-07-02,BANKNIFTY,opening_range_low_break,2024-07-02T09:31:00+05:30,2024-07-02T09:31:00+05:30,DOWN,{},"{'source_path': '/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240702/underlying/BANKNIFTY_20240702.parquet', 'source_hash': '4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707'}",{'completed_bar_only': True},"{'buy_ce_allowed': False, 'buy_pe_allowed': True, 'research_only': True}",6314912b99ed1f87856fbef6a795ab27e8d7a83b147099fdd17aecc4a4f22529,52419.1,2024-07-02 09:30:00+05:30,15,-0.0010481431872119988,390.1999999999971,0.0,490.09999999999854,63.82999999999883,57.82666666666725,0.0008339838051393758,59.517857142857665,-156.6750000000029,409.34999999999854,16.650000000001455,0.6810655147588184,0.07919366450683447,0.23974082073434713,0,0,-0.0008386847136367948,69.45000000000437,47.30000000000291,0.0,2024-07-02T09:31:00+05:30,52411.35,30,291.09999999999854,38.349999999998545,122.29999999999563,120.79999999999563,True,True,0.42013053933354944
BANKNIFTY:2024-07-02,2024-07-02,BANKNIFTY,opening_range_low_break,2024-07-02T09:32:00+05:30,2024-07-02T09:32:00+05:30,DOWN,{},"{'source_path': '/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240702/underlying/BANKNIFTY_20240702.parquet', 'source_hash': '4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707'}",{'completed_bar_only': True},"{'buy_ce_allowed': False, 'buy_pe_allowed': True, 'research_only': True}",d88b54e5df2512a35a3ac36438bf29f4e677708bf6800135968480b2d5ecaa0e,52382.2,2024-07-02 09:31:00+05:30,16,-0.0020962863744241364,390.1999999999971,0.0,490.09999999999854,64.72999999999884,58.10666666666705,0.0008360058543655651,58.36785714285725,-182.18823529411748,446.25,9.19999999999709,0.7601043024772506,0.0,0.2398956975227494,0,0,-0.0007039418837789801,38.349999999998545,29.150000000001455,0.0,2024-07-02T09:32:00+05:30,52382.8,30,262.5500000000029,66.89999999999418,76.0,74.5,True,True,0.28946867263378084
BANKNIFTY:2024-07-02,2024-07-02,BANKNIFTY,opening_range_low_break,2024-07-02T09:33:00+05:30,2024-07-02T09:33:00+05:30,DOWN,{},"{'source_path': '/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240702/underlying/BANKNIFTY_20240702.parquet', 'source_hash': '4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707'}",{'completed_bar_only': True},"{'buy_ce_allowed': False, 'buy_pe_allowed': True, 'research_only': True}",d7c331c8e76a521fef3c8aed4b9c57ac50ee758ec85a66e7d9327f45942d6b01,52431.65,2024-07-02 09:32:00+05:30,17,-0.002639873803940946,390.1999999999971,0.0,490.09999999999854,63.61999999999826,58.119999999999706,0.0008957390220782096,58.40714285714265,-125.36388888888905,396.79999999999563,58.650000000001455,0.8938700823422461,0.10612991765775392,0.0,0,0,0.0009440229696349167,54.64999999999418,48.849999999998545,0.0,2024-07-02T09:33:00+05:30,52429.65,30,309.40000000000146,20.049999999995634,129.09999999999854,127.59999999999854,True,True,0.4172592113768518
BANKNIFTY:2024-07-02,2024-07-02,BANKNIFTY,opening_range_low_break,2024-07-02T09:34:00+05:30,2024-07-02T09:34:00+05:30,DOWN,{},"{'source_path': '/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240702/underlying/BANKNIFTY_20240702.parquet', 'source_hash': '4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707'}",{'completed_bar_only': True},"{'buy_ce_allowed': False, 'buy_pe_allowed': True, 'research_only': True}",4d780a67759faf9a9783cf92f03c93cb215fcf7b4a6e4497e087e2dcfd55e4d0,52419.85,2024-07-02 09:33:00+05:30,18,-0.0017478573040157048,390.1999999999971,0.0,490.09999999999854,49.87999999999884,57.543333333332946,0.0008402605229867904,59.77857142857101,-129.94473684210243,408.59999999999854,46.849999999998545,0.21562156215629347,0.44114411441137336,0.3432343234323332,1,0,-0.00022505490481428136,45.44999999999709,9.80000000000291,0.0,2024-07-02T09:34:00+05:30,52416.35,30,296.09999999999854,32.25,97.90000000000146,96.40000000000146,True,True,0.3306315433975074
BANKNIFTY:2024-07-02,2024-07-02,BANKNIFTY,opening_range_low_break,2024-07-02T09:35:00+05:30,2024-07-02T09:35:00+05:30,DOWN,{},"{'source_path': '/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240702/underlying/BANKNIFTY_20240702.parquet', 'source_hash': '4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707'}",{'completed_bar_only': True},"{'buy_ce_allowed': False, 'buy_pe_allowed': True, 'research_only': True}",7f74c86acbe70d3f558f499835aff95bad1b0db3550efee6d6a3180df50ffc3e,52428.75,2024-07-02 09:34:00+05:30,19,-0.002001087174859006,390.1999999999971,0.0,490.09999999999854,49.849999999998545,58.549999999999514,0.0008460548696316743,51.88571428571335,-114.99250000000757,399.6999999999971,55.75,0.2998790810157652,0.21765417170496534,0.48246674727926947,2,0,0.00016978301158809828,41.349999999998545,12.400000000001455,0.0,2024-07-02T09:35:00+05:30,52427.6,30,307.34999999999854,21.0,88.75,87.25,True,True,0.28875874410281577
BANKNIFTY:2024-07-02,2024-07-02,BANKNIFTY,opening_range_low_break,2024-07-02T09:36:00+05:30,2024-07-02T09:36:00+05:30,DOWN,{},"{'source_path': '/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240702/underlying/BANKNIFTY_20240702.parquet', 'source_hash': '4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707'}",{'completed_bar_only': True},"{'buy_ce_allowed': False, 'buy_pe_allowed': True, 'research_only': True}",2f1d8ef4332ee60816268f664efc4e206994657ddee3f4017ae3813522bd19a8,52421.0,2024-07-02 09:35:00+05:30,20,-0.0017868889758374635,390.1999999999971,0.0,490.09999999999854,45.85999999999767,51.72666666666579,0.0006384281288142037,52.22499999999906,-116.89761904762418,407.4499999999971,48.0,0.13333333333330394,0.42424242424242425,0.4424242424242718,3,0,-0.00014781966001475855,49.5,6.599999999998545,0.0,2024-07-02T09:36:00+05:30,52417.25,30,297.0,12.650000000001455,59.80000000000291,58.30000000000291,True,True,0.20134680134681116
BANKNIFTY:2024-07-02,2024-07-02,BANKNIFTY,opening_range_low_break,2024-07-02T09:37:00+05:30,2024-07-02T09:37:00+05:30,DOWN,{},"{'source_path': '/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240702/underlying/BANKNIFTY_20240702.parquet', 'source_hash': '4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707'}",{'completed_bar_only': True},"{'buy_ce_allowed': False, 'buy_pe_allowed': True, 'research_only': True}",8e17137dd38330e4a0e63b82e968972f58d1aea89175cc7ff2558ceefc7658bb,52411.3,2024-07-02 09:36:00+05:30,21,-0.001983951318937255,390.1999999999971,0.0,490.09999999999854,43.699999999998546,50.57999999999932,0.0006075112016545448,51.332142857141925,-120.84318181817798,417.1499999999942,38.30000000000291,0.21597096188734885,0.4591651542649771,0.32486388384767406,4,0,-0.00018504034642596867,27.55000000000291,5.94999999999709,0.0,2024-07-02T09:37:00+05:30,52409.1,30,288.84999999999854,17.5,89.75,88.25,True,True,0.3107149039293767
BANKNIFTY:2024-07-02,2024-07-02,BANKNIFTY,opening_range_low_break,2024-07-02T09:38:00+05:30,2024-07-02T09:38:00+05:30,DOWN,{},"{'source_path': '/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240702/underlying/BANKNIFTY_20240702.parquet', 'source_hash': '4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707'}",{'completed_bar_only': True},"{'buy_ce_allowed': False, 'buy_pe_allowed': True, 'research_only': True}",599fce825e8c9508b5b53d028b0d96fc61281ed7db3b749fcb52decc2e2abece,52412.5,2024-07-02 09:37:00+05:30,22,-0.0021391260142284447,390.1999999999971,0.0,490.09999999999854,47.869999999999706,52.94333333333246,0.0006077877708949322,54.84285714285631,-114.44130434781982,415.9499999999971,61.400000000001455,0.04503311258280073,0.18675496688739796,0.7682119205298014,5,0,2.2895825900093314e-05,75.5,3.400000000001455,0.0,2024-07-02T09:38:00+05:30,52415.05,30,294.8000000000029,6.19999999999709,99.05000000000291,97.55000000000291,True,True,0.3359905020352847
BANKNIFTY:2024-07-04,2024-07-04,BANKNIFTY,opening_range_low_break,2024-07-04T10:28:00+05:30,2024-07-04T10:28:00+05:30,DOWN,{},"{'source_path': '/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240704/underlying/BANKNIFTY_20240704.parquet', 'source_hash': '4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707'}",{'completed_bar_only': True},"{'buy_ce_allowed': False, 'buy_pe_allowed': True, 'research_only': True}",35da66dd6e6c083167e95965e5fd0e31dbb1bcbad04f3ee7ddc3f1cc2768ebc3,53019.35,2024-07-04 10:27:00+05:30,72,0.0001027484745621565,313.1999999999971,0.0,774.0499999999956,46.1,34.32333333333275,0.00046823212853559597,35.86785714285673,-132.99726027397264,338.34999999999854,12.94999999999709,0.6856796116505339,0.0,0.31432038834946613,0,0,-0.0004826095603822633,41.19999999999709,28.25,0.0,2024-07-04T10:28:00+05:30,53019.65,30,203.75,64.44999999999709,173.84999999999854,172.34999999999854,True,True,0.8532515337423241
BANKNIFTY:2024-07-04,2024-07-04,BANKNIFTY,opening_range_low_break,2024-07-04T10:33:00+05:30,2024-07-04T10:33:00+05:30,DOWN,{},"{'source_path': '/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240704/underlying/BANKNIFTY_20240704.parquet', 'source_hash': '4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707'}",{'completed_bar_only': True},"{'buy_ce_allowed': False, 'buy_pe_allowed': True, 'research_only': True}",3e27a5dd7259753fee680d1179eadef8bb1a1acc4564c536fbe351a34ba2e403,53028.15,2024-07-04 10:32:00+05:30,77,4.5247034669625104e-05,313.1999999999971,0.0,774.0499999999956,27.23999999999942,35.63333333333285,0.0004931770905350981,33.65714285714213,-117.71794871795282,329.54999999999563,21.75,0.8138957816380245,0.14392059553325146,0.042183622828724086,3,0,-0.00033650039588284386,20.14999999999418,16.400000000001455,0.0,2024-07-04T10:33:00+05:30,53025.45,30,209.54999999999563,3.8000000000029104,160.54999999999563,159.04999999999563,True,True,0.7661655929372416
