strategy,RANGE,TREND_DOWN,TREND_UP,VOL_EXPANSION
HTF_FAILED_BREAKOUT_REVERSAL,-4.811033491199998,,,
HTF_PDH_PDL_HOLD,,-5.808411937951272,-5.777993489438218,
ORB_BREAKOUT,,-0.7657962196256829,0.03224603346850768,0.2269119983139373
