ablation,trades,expectancy,gross_expectancy,pf,win_rate,avg_mfe,avg_mae
A. VOL_EXPANSION only,109,-1.9409753326737902,0.3451958433214444,0.03611725372987656,0.13761467889908258,1.76873240845628,1.1461702450453493
B. ORB only,333,-0.638019307119149,0.17810265488170954,0.4251801207921318,0.38738738738738737,1.324515493395484,0.8731558466391393
C. ORB + VOL_EXPANSION,58,-0.2742140938939808,0.5407200478574865,0.6862178843297337,0.5,1.3888538712600083,0.9696517504795554
D. ORB + TREND_UP,74,-0.7109252085511885,0.12377701046225577,0.3862736352287957,0.36486486486486486,1.3290280672021493,0.8377346487647946
E. ORB + TREND_DOWN,80,-0.8844628533224647,-0.07354170870905177,0.3010146549808853,0.3125,1.1299182259248408,0.939383078111276
F. ORB + RANGE,52,-0.5312753722344555,0.25850758156679626,0.49274607314194824,0.4230769230769231,1.693431505615362,0.7581092971909803
G. ORB + CHOP,69,-0.6603507068123037,0.16272268088288233,0.412192815934658,0.37681159420289856,1.2131907453430515,0.8399478506027729
