month,trades_per_month
2022-07,5
2022-08,1
2022-09,2
2022-10,3
2022-11,4
2022-12,3
2023-02,1
2023-04,1
2023-05,4
2023-06,4
2023-08,1
2023-09,3
2023-10,2
2023-11,1
2023-12,4
2024-01,2
2024-02,5
2024-03,1
2024-04,3
2024-05,5
2024-06,1
2026-06,2
