from_state,to_state,probability,total_occurrences
CHOP,VOL_EXPANSION,0.10112359550561797,18
TREND_UP,VOL_EXPANSION,0.16666666666666666,15
TREND_DOWN,VOL_EXPANSION,0.06837606837606838,8
RANGE,VOL_EXPANSION,0.10638297872340426,5
VOL_EXPANSION,VOL_EXPANSION,0.20689655172413793,12
