average_r,development_profit_factor,exact_reason,expectancy_per_trade,final_verdict,gross_negative_points,gross_positive_points,holdout_profit_factor,index,losses,maximum_drawdown,monthly_stability,net_basis_points,net_points,pf_0_0bps,pf_10_0bps,pf_2_5bps,pf_5_0bps,profit_factor,quarterly_stability,ranking_eligibility,sessions,signals,strategy_id,trades,validation_profit_factor,win_rate,wins
-1.894908565297284,0.03273631172303537,NO_DIRECTIONAL_EDGE,-85.82062843259064,NO_DIRECTIONAL_EDGE,-34622.10560214294,1066.2398850000018,SEALED,SENSEX,353,33433.06639714293,computed,-4157.363059693865,-33555.86571714294,0.8376116754819743,0.0010617491474461797,0.1861977815927402,0.030796506060394163,0.030796506060394163,computed,False,493,391,MEAN_REVERSION_EXTENSION,391,0.024826330782871057,0.09718670076726342,38
,,NO_SIGNALS,,NO_SIGNALS,0,0,SEALED,SENSEX,0,0.0,computed,0,0,,,,,,computed,False,493,0,OPENING_DRIVE,0,,,0
-1.6297039997519411,0.07054336421350824,NO_DIRECTIONAL_EDGE,-79.46635703386546,NO_DIRECTIONAL_EDGE,-30839.192903571453,1675.0398721428298,SEALED,SENSEX,311,29114.882461428606,computed,-3606.5306215737724,-29164.153031428625,1.047184118357583,0.00021048085837669219,0.2847531253408078,0.054315295389875305,0.054315295389875305,computed,False,493,367,OPENING_RANGE_BREAKOUT,367,0.006779502285534943,0.15258855585831063,56
,,historical_option_pressure_features_unavailable,,DATA_BLOCKED_REQUIRED_OPTION_FEATURE,,,SEALED,SENSEX,,,,,,,,,,,,False,493,0,OPTION_PRESSURE,0,,,
-1.6297039997519411,0.07054336421350824,NO_DIRECTIONAL_EDGE,-79.46635703386546,NO_DIRECTIONAL_EDGE,-30839.192903571453,1675.0398721428298,SEALED,SENSEX,311,29114.882461428606,computed,-3606.5306215737724,-29164.153031428625,1.047184118357583,0.00021048085837669219,0.2847531253408078,0.054315295389875305,0.054315295389875305,computed,False,493,367,SIMPLE_ORB,367,0.006779502285534943,0.15258855585831063,56
-1.709138447625354,0.053885064053564025,NO_DIRECTIONAL_EDGE,-84.76689214285737,NO_DIRECTIONAL_EDGE,-35004.99970428578,1776.377984285688,SEALED,SENSEX,331,33154.07117000008,computed,-4105.858836614083,-33228.62172000009,0.8818722604062338,0.0010519048359732845,0.24658898717559705,0.05074640763582695,0.05074640763582695,computed,False,493,392,TREND_PULLBACK,392,0.04030787902903573,0.1556122448979592,61
-1.9113019393339175,0.04925145691207771,NO_DIRECTIONAL_EDGE,-83.27696298076901,NO_DIRECTIONAL_EDGE,-27180.405178571364,1197.9927285714325,SEALED,SENSEX,275,25858.751757142763,computed,-3226.1466166282903,-25982.41244999993,0.9160022577021064,0.0009181616233848421,0.22851266942703075,0.04407560228410107,0.04407560228410107,computed,False,493,312,VWAP_RECLAIM,312,0.029162567979169694,0.11858974358974358,37
,,no_frozen_causal_signal_adapter_for_kite_5m_underlying_corpus,,PRIOR_NEGATIVE_VERDICT_PRESERVED,,,SEALED,BANKNIFTY,,,,,,,,,,,,False,493,0,CONSTITUENT_BREADTH,0,,,
,,no_frozen_causal_signal_adapter_for_kite_5m_underlying_corpus,,PRIOR_NEGATIVE_VERDICT_PRESERVED,,,SEALED,NIFTY,,,,,,,,,,,,False,493,0,CONSTITUENT_BREADTH,0,,,
,,no_frozen_causal_signal_adapter_for_kite_5m_underlying_corpus,,PRIOR_NEGATIVE_VERDICT_PRESERVED,,,SEALED,SENSEX,,,,,,,,,,,,False,493,0,CONSTITUENT_BREADTH,0,,,
,,no_frozen_causal_signal_adapter_for_kite_5m_underlying_corpus,,PRIOR_NEGATIVE_VERDICT_PRESERVED,,,SEALED,BANKNIFTY,,,,,,,,,,,,False,493,0,CONSTITUENT_LEAD_LAG,0,,,
