expired_instrument_key,expiry,option_type,strike,timestamp,session,minute_of_day,days_to_expiry,premium_band,open,high,low,close,volume,open_interest,entry_price_next_open,prior_5m_return_pct,prior_10m_range_pct,prior_5m_volume_ratio,transition_compression_to_lift,transition_put_call_selloff_or_lift,transition_volume_participation,session_id,expiry_id,previous_return,previous_close,previous_volume_ratio,previous_open_interest,return_acceleration,volume_acceleration,oi_change_ratio,bar_acceptance,positive_return,positive_acceleration,volume_participating,positive_weight,weighted_strike_numerator,surface_count,breadth_positive,breadth_acceleration,breadth_volume,surface_median_return,surface_median_acceleration,surface_return_dispersion,breadth_delta,acceleration_breadth_delta,directional_mass_shift,compression_transition_breadth,put_call_transition_breadth,participation_transition_breadth,mirror_return,mirror_acceleration,mirror_volume_ratio,option_asymmetry,surface_residual,surface_acceleration_residual,surface_residual_rank,surface_volume_rank,surface_oi_rank,mechanism,premium_distance,score,forward_mfe_points,forward_mae_points,forward_close_change_points,forward_expansion_pct,label_horizon_minutes,is_expansion_event,move_cluster_id,gross_return_pct,net_return_pct,stress_return_pct,fold_id,partition
NSE_FO|49835|27-03-2025,2025-03-27,PE,23250.0,2025-03-21 04:31:00+00:00,2025-03-21,601,6,3,118.5,125.7,118.25,124.05,599550,3053100,124.1,2.520661157024784,10.07658202337767,1.4183818310858765,False,False,False,2025-03-21,2025-03-27,-0.7929883138564353,118.85,0.6864797728885734,3053100.0,3.313649470881219,0.731902058197303,0.0,False,1.0,1.0,1.0,33.534715519179684,779682.1358209277,5,1.0,1.0,1.0,3.4990791896869267,4.254019272024601,0.48397962680881734,1.0,0.0,,0.0,0.0,0.0,-2.00138026224983,-2.341863748800743,1.0633823105733218,4.522041419274614,-0.9784180326621428,-0.9403698011433814,0.2,0.8,0.4,broad_surface_contract_lag,25.900000000000006,17.92991642624768,3.9000000000000057,7.8999999999999915,-4.349999999999994,3.1426269137792153,5,False,,-3.5052377115229607,-3.605237711522961,-4.505237711522961,fold_1,research_oof
NSE_FO|48251|27-03-2025,2025-03-27,CE,23050.0,2025-03-21 04:56:00+00:00,2025-03-21,626,6,4,279.75,290.0,279.3,288.75,26100,712275,290.0,5.329393740424604,8.190476190476183,2.2025316455696204,False,True,True,2025-03-21,2025-03-27,1.4937849821908822,279.25,0.610909090909091,712275.0,3.8356087582337217,1.5916225546605296,0.0,True,1.0,1.0,1.0,54.19848957746491,1249275.184760566,5,1.0,1.0,1.0,6.353522867737937,4.987669209201351,0.8379430043579827,0.0,0.0,5.154551621493738,0.0,1.0,1.0,-8.471275559883162,-5.8970181341405965,1.4912868632707774,13.800669300307767,-1.0241291273133335,-1.152060450967629,0.2,0.2,0.2,broad_surface_contract_lag,140.0,13.9786515906941,25.0,5.360000000000014,24.0,8.620689655172415,5,True,NSE_FO|48251|27-03-2025:4384,8.275862068965518,8.175862068965518,7.275862068965518,fold_1,research_oof
NSE_FO|54712|03-04-2025,2025-04-03,CE,23500.0,2025-03-28 04:18:00+00:00,2025-03-28,588,6,3,184.25,188.25,180.9,188.0,627750,4177575,187.4,6.787844362397033,10.000000000000005,1.3589868485143692,False,True,False,2025-03-28,2025-04-03,4.861503674392309,185.5,1.0470960226327175,4024125.0,1.926340688004724,0.31189082588165173,0.03813251327928432,False,1.0,1.0,1.0,90.61703578336385,2129500.3409090503,5,1.0,1.0,0.6,8.074283407347593,3.4566991944469994,0.9007491735087532,0.0,0.0,7.138268014969071,0.0,1.0,0.0,-8.322952351292434,-1.1189025070556742,0.7060251238151465,15.110796713689467,-1.2864390449505603,-1.5303585064422753,0.2,0.8,0.6,broad_surface_contract_lag,37.400000000000006,14.15920085011726,12.349999999999994,3.75,10.849999999999994,6.590181430096048,5,False,,5.789754535752397,5.689754535752398,4.789754535752397,fold_1,research_oof
NSE_FO|54712|03-04-2025,2025-04-03,CE,23500.0,2025-03-28 04:57:00+00:00,2025-03-28,627,6,4,197.05,205.3,197.05,204.05,501825,3884475,204.55,3.029537995455689,9.507473658417057,1.7828403943511857,False,False,True,2025-03-28,2025-04-03,1.6940451745379725,198.1,0.9187316813216094,3877650.0,1.3354928209177164,0.8641087130295763,0.001760086650419713,False,1.0,1.0,1.0,39.765742161202745,934494.9407882645,5,1.0,1.0,1.0,4.457779682811824,2.2365253274111208,0.7751934025378023,0.0,0.0,3.682807784738543,0.0,0.0,1.0,-3.3640552995391704,-1.7336205169304675,1.3370382477933966,6.39359329499486,-1.4282416873561354,-0.9010325064934044,0.2,0.4,0.6,broad_surface_contract_lag,54.55000000000001,9.728967781757952,33.0,0.950000000000017,32.099999999999994,16.132974822781716,5,True,NSE_FO|54712|03-04-2025:7271,15.69298460034221,15.592984600342211,14.69298460034221,fold_1,research_oof
NSE_FO|54712|03-04-2025,2025-04-03,CE,23500.0,2025-04-01 04:49:00+00:00,2025-04-01,619,2,2,97.95,98.7,95.6,97.9,911550,8396850,98.2,17.24550898203594,17.26251276813075,1.0097200299077844,False,True,False,2025-04-01,2025-04-03,12.69474899019043,97.65,0.9692823954568921,8396850.0,4.55075999184551,0.040437634450892324,0.0,False,1.0,1.0,1.0,236.65844389819767,5561473.431607645,5,1.0,1.0,0.4,22.024471635150157,6.409498373118083,2.9654975902774656,0.0,0.0,4.677330144611915,0.0,1.0,0.0,-16.99788583509513,-2.049878902686121,0.7661349334113859,34.24339481713107,-4.778962653114217,-1.8587383812725733,0.2,1.0,0.8,broad_surface_contract_lag,51.8,36.107274002893455,0.7999999999999972,40.0,-39.85,0.8146639511201601,5,False,,-40.580448065173115,-40.68044806517312,-41.580448065173115,fold_1,research_oof
NSE_FO|43887|09-04-2025,2025-04-09,CE,23050.0,2025-04-03 08:18:00+00:00,2025-04-03,828,6,4,296.35,296.45,295.55,295.55,450,69000,295.45,-0.8055042792414757,2.3684655726611403,4.0,False,False,True,2025-04-03,2025-04-09,-0.7551602617888897,295.7,0.6666666666666666,69000.0,-0.05034401745258599,3.3333333333333335,0.0,False,0.0,0.0,1.0,0.0,0.0,5,0.8,0.8,0.4,1.1734028683181297,1.2945388696031124,0.9333132830420763,0.4,-0.19999999,-36.02535494768745,0.0,0.0,0.2,-1.9305536935245948,-1.7268877057445509,1.1736526946107784,1.125049414283119,-1.9789071475596054,-1.3448828870556984,0.2,0.2,0.2,broad_surface_contract_lag,145.45,10.636302506944366,0.6000000000000227,0.060000000000002274,0.6000000000000227,0.20308004738535207,5,False,,0.20308004738535207,0.10308004738535206,-0.796919952614648,fold_1,research_oof
NSE_FO|43899|09-04-2025,2025-04-09,PE,23250.0,2025-04-04 04:20:00+00:00,2025-04-04,590,5,4,273.6,292.05,270.85,292.05,113250,1379625,291.14,10.499432463110093,21.417565485362097,1.323980710214818,False,True,False,2025-04-04,2025-04-09,4.921785578023652,275.0,1.0089285714285714,1379625.0,5.577646885086441,0.3150521387862466,0.0,False,1.0,1.0,1.0,122.18569503778359,2840817.4096284686,5,1.0,1.0,1.0,11.642981800049856,6.209019535898896,0.5970739869008981,0.0,1.0,1.3247142476502631,0.0,1.0,0.2,-15.272727272727272,-4.0622733525071855,1.0569131832797427,25.772159735837363,-1.1435493369397634,-0.6313726508124553,0.2,0.2,0.2,broad_surface_contract_lag,141.14,20.229315696465807,26.310000000000002,7.5,11.75,9.036889468983995,5,True,NSE_FO|43899|09-04-2025:2053,4.03585903688947,3.9358590368894695,3.0358590368894696,fold_1,research_oof
NSE_FO|43887|09-04-2025,2025-04-09,CE,23050.0,2025-04-04 05:29:00+00:00,2025-04-04,659,5,3,107.95,112.45,105.65,112.35,478575,2982900,112.2,10.580708661417315,16.955941255006675,2.023145212428662,False,True,True,2025-04-04,2025-04-09,10.894141829393632,107.9,1.7054533925174382,2982900.0,-0.31343316797631715,0.31769181991122397,0.0,False,1.0,0.0,1.0,138.38054212558606,3189671.495994759,5,1.0,0.2,1.0,11.524163568773238,-0.31343316797631715,0.5806135753902129,0.0,-0.8,-2.6498187978431815,0.0,1.0,1.0,-9.452736318407961,-2.0283302708917645,1.7316227461858529,20.033444979825276,-0.9434549073559229,0.0,0.2,0.6,0.2,broad_surface_contract_lag,37.8,13.637485368045136,6.1499999999999915,3.9000000000000057,-0.10000000000000853,5.481283422459885,5,False,,-0.0891265597148026,-0.1891265597148026,-1.0891265597148025,fold_1,research_oof
NSE_FO|43887|09-04-2025,2025-04-09,CE,23050.0,2025-04-08 07:58:00+00:00,2025-04-08,808,1,1,41.25,44.55,41.25,44.0,242775,1670025,44.1,25.177809388335714,29.886363636363633,1.837116912599319,False,True,True,2025-04-08,2025-04-09,13.461538461538458,41.3,1.9195100612423448,1688325.0,11.716270926797256,-0.08239314864302583,-0.010839145306738927,False,1.0,1.0,1.0,312.2021798164293,7196260.244768695,5,1.0,1.0,1.0,26.15694164989939,11.716270926797256,0.9745044068221975,0.0,1.0,0.9810459501895821,0.0,1.0,1.0,-5.066910671394254,-4.2308679403213265,3.5,30.244720059729968,-0.9791322615636773,0.0,0.2,0.2,0.2,broad_surface_contract_lag,105.9,40.25504985268845,5.0,1.5,-0.20000000000000284,11.337868480725623,5,False,,-0.45351473922903135,-0.5535147392290314,-1.4535147392290313,fold_1,research_oof
NSE_FO|48199|17-04-2025,2025-04-17,PE,22800.0,2025-04-11 07:57:00+00:00,2025-04-11,807,6,3,178.75,180.85,177.75,180.05,426675,5333625,180.1,0.530429927414855,7.2202166064981945,2.330124923202949,False,False,True,2025-04-11,2025-04-17,0.6802721088435382,177.6,1.3254147040753634,5333625.0,-0.14984218142868322,1.0047102191275854,0.0,True,1.0,0.0,1.0,6.876377002171458,156781.39564950924,8,1.0,0.875,1.0,1.9217712958984001,0.924613456048673,5.419160976633052,0.0,-0.125,-45.47577826650377,0.0,0.375,1.0,-1.6248256624825763,-1.2764542986086869,1.6341017197219172,2.1552555898974313,-1.3913413684835452,-1.0744556374773562,0.125,1.0,0.875,broad_surface_contract_lag,30.099999999999994,6.098459266273865,22.150000000000006,2.0999999999999943,10.700000000000017,12.298722931704612,5,False,,5.941143808995013,5.841143808995013,4.941143808995013,fold_1,research_oof
