token,tradingsymbol,underlying,expiry,strike,option_type,desired,eligible,subscribe_requested,subscribe_request_generation,subscribe_queued,subscribe_callback_executed,subscribe_callback_generation,subscribe_applied,mode_full_requested,mode_full_callback_executed,mode_full_applied,tick_seen,unique_tick_count,last_tick_timestamp,depth_seen,last_depth_timestamp,current_socket_generation,last_mutating_socket_generation,final_classification
15116034,UNKNOWN_NOT_PERSISTED,BANKNIFTY,2026-08-25,56300,CE,true,true,true,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,true,UNKNOWN,UNKNOWN,false,0,,UNKNOWN,,UNKNOWN,UNKNOWN,OUTERMOST_LOW_STRIKE_ZERO_TICK_APPLICATION_UNKNOWN
15116290,UNKNOWN_NOT_PERSISTED,BANKNIFTY,2026-08-25,56300,PE,true,true,true,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,true,UNKNOWN,UNKNOWN,false,0,,UNKNOWN,,UNKNOWN,UNKNOWN,OUTERMOST_LOW_STRIKE_ZERO_TICK_APPLICATION_UNKNOWN
16816386,UNKNOWN_NOT_PERSISTED,NIFTY,2026-08-04,23900,CE,true,true,true,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,true,UNKNOWN,UNKNOWN,false,0,,UNKNOWN,,UNKNOWN,UNKNOWN,OUTERMOST_LOW_STRIKE_ZERO_TICK_APPLICATION_UNKNOWN
16816642,UNKNOWN_NOT_PERSISTED,NIFTY,2026-08-04,23900,PE,true,true,true,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,true,UNKNOWN,UNKNOWN,false,0,,UNKNOWN,,UNKNOWN,UNKNOWN,OUTERMOST_LOW_STRIKE_ZERO_TICK_APPLICATION_UNKNOWN
292810245,UNKNOWN_NOT_PERSISTED,SENSEX,2026-07-30,77100,CE,true,true,true,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,true,UNKNOWN,UNKNOWN,false,0,,UNKNOWN,,UNKNOWN,UNKNOWN,OUTERMOST_LOW_STRIKE_ZERO_TICK_APPLICATION_UNKNOWN
293652741,UNKNOWN_NOT_PERSISTED,SENSEX,2026-07-30,77100,PE,true,true,true,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,true,UNKNOWN,UNKNOWN,false,0,,UNKNOWN,,UNKNOWN,UNKNOWN,OUTERMOST_LOW_STRIKE_ZERO_TICK_APPLICATION_UNKNOWN
