hypothesis_id,family,event_type,direction,instrument,sample,screen_rejection_reason,gross_pnl,net_pnl,net_2x_cost,expectancy,win_rate,profit_factor,target30_rate,stop20_rate,top5_contribution,top10_contribution,max_month_share,max_weekday_share,months,weekdays
SESPRINT_f9dfc958cf0b25,trend_continuation,opening_range_high_break,UP,NIFTY,154,,3072.4999999999854,2841.4999999999854,2610.4999999999854,18.451298701298608,0.5844155844155844,3.0982093409636,0.525974025974026,0.4155844155844156,0.36999824036600654,0.610399436917126,0.525974025974026,0.21428571428571427,"['2024-05', '2024-06', '2024-07']","['Friday', 'Monday', 'Thursday', 'Tuesday', 'Wednesday']"
SESPRINT_754699a391ceab,gap_continuation,opening_range_high_break,UP,NIFTY,154,,3072.4999999999854,2841.4999999999854,2610.4999999999854,18.451298701298608,0.5844155844155844,3.0982093409636,0.525974025974026,0.4155844155844156,0.36999824036600654,0.610399436917126,0.525974025974026,0.21428571428571427,"['2024-05', '2024-06', '2024-07']","['Friday', 'Monday', 'Thursday', 'Tuesday', 'Wednesday']"
SESPRINT_5d384b3d38f561,trend_continuation,opening_range_high_break,UP,NIFTY,160,,3020.7499999999927,2780.7499999999927,2540.7499999999927,17.379687499999953,0.5625,2.965194346289737,0.50625,0.4375,0.37808145284545713,0.6237346039737512,0.50625,0.20625,"['2024-05', '2024-06', '2024-07']","['Friday', 'Monday', 'Thursday', 'Tuesday', 'Wednesday']"
SESPRINT_0084a39dfd9698,gap_continuation,opening_range_high_break,UP,NIFTY,160,,3020.7499999999927,2780.7499999999927,2540.7499999999927,17.379687499999953,0.5625,2.965194346289737,0.50625,0.4375,0.37808145284545713,0.6237346039737512,0.50625,0.20625,"['2024-05', '2024-06', '2024-07']","['Friday', 'Monday', 'Thursday', 'Tuesday', 'Wednesday']"
SESPRINT_f910461ad2b787,liquidity_sweep_reversal,long_lower_wick,UP,NIFTY,209,,2706.250000000011,2392.750000000011,2079.250000000011,11.448564593301487,0.5933014354066986,1.664874402578642,0.5358851674641149,0.5980861244019139,0.418994880367777,0.677233308954131,0.5215311004784688,0.2535885167464115,"['2024-05', '2024-06', '2024-07']","['Friday', 'Monday', 'Thursday', 'Tuesday', 'Wednesday']"
SESPRINT_cee69e2347bc69,liquidity_sweep_reversal,long_lower_wick,UP,NIFTY,215,,2674.000000000022,2351.500000000022,2029.0000000000218,10.937209302325684,0.586046511627907,1.6443613246194604,0.5209302325581395,0.6,0.426344886242821,0.6891133319157939,0.5069767441860465,0.24651162790697675,"['2024-05', '2024-06', '2024-07']","['Friday', 'Monday', 'Thursday', 'Tuesday', 'Wednesday']"
SESPRINT_ce86b5a724e389,liquidity_sweep_reversal,long_lower_wick,UP,NIFTY,284,,2757.449999999997,2331.449999999997,1905.449999999997,8.209330985915482,0.5774647887323944,1.5253202347825094,0.4612676056338028,0.573943661971831,0.4300113663171006,0.6950395676510354,0.5211267605633803,0.22535211267605634,"['2024-05', '2024-06', '2024-07']","['Friday', 'Monday', 'Thursday', 'Tuesday', 'Wednesday']"
SESPRINT_0e0fd3c6f2a865,liquidity_sweep_reversal,long_lower_wick,UP,NIFTY,283,,2732.899999999998,2308.399999999998,1883.8999999999978,8.15689045936395,0.5759717314487632,1.5185609506800994,0.4628975265017668,0.5724381625441696,0.43430514642176565,0.7019797262172959,0.519434628975265,0.22614840989399293,"['2024-05', '2024-06', '2024-07']","['Friday', 'Monday', 'Thursday', 'Tuesday', 'Wednesday']"
SESPRINT_72ab792f2c4f89,liquidity_sweep_reversal,long_lower_wick,UP,NIFTY,280,,2513.4999999999927,2093.4999999999927,1673.4999999999927,7.476785714285688,0.5714285714285714,1.489822180627045,0.45714285714285713,0.575,0.44143778361595465,0.7104370671124932,0.5142857142857142,0.22857142857142856,"['2024-05', '2024-06', '2024-07']","['Friday', 'Monday', 'Thursday', 'Tuesday', 'Wednesday']"
SESPRINT_8e53bf1733bd92,liquidity_sweep_reversal,long_lower_wick,UP,NIFTY,279,,2070.399999999994,1651.8999999999942,1233.3999999999942,5.920788530465929,0.5734767025089605,1.388280368559607,0.4551971326164875,0.5734767025089605,0.38921847569465645,0.7025243658817166,0.5125448028673835,0.22939068100358423,"['2024-05', '2024-06', '2024-07']","['Friday', 'Monday', 'Thursday', 'Tuesday', 'Wednesday']"
SESPRINT_e8e66ba6e7fe73,liquidity_sweep_reversal,long_lower_wick,UP,NIFTY,278,,2055.7499999999927,1638.7499999999927,1221.7499999999927,5.894784172661844,0.5719424460431655,1.385189450921397,0.45323741007194246,0.5719424460431655,0.39234172387490684,0.7081617086193799,0.5107913669064749,0.2302158273381295,"['2024-05', '2024-06', '2024-07']","['Friday', 'Monday', 'Thursday', 'Tuesday', 'Wednesday']"
SESPRINT_2dfadfd1a8c98e,liquidity_sweep_reversal,long_lower_wick,UP,NIFTY,281,,2028.449999999997,1606.949999999997,1185.449999999997,5.718683274021342,0.5729537366548043,1.36207654090105,0.4555160142348754,0.5729537366548043,0.41329848470705766,0.7481564454401254,0.5160142348754448,0.2277580071174377,"['2024-05', '2024-06', '2024-07']","['Friday', 'Monday', 'Thursday', 'Tuesday', 'Wednesday']"
SESPRINT_ffa78236fe7dd5,liquidity_sweep_reversal,long_upper_wick,DOWN,NIFTY,80,development_weak_premium_move_proxy,2401.4499999999825,2281.4499999999825,2161.4499999999825,28.51812499999978,0.475,3.1012664057103296,0.425,0.4875,0.866028183830465,1.1083959762431856,0.6125,0.2625,"['2024-05', '2024-06', '2024-07']","['Friday', 'Monday', 'Thursday', 'Tuesday', 'Wednesday']"
