logical_path,absolute_path,suffix,size_bytes,sha256,row_count,columns,date_min,date_max,classification,authority_role,point_in_time_status,has_option_identity,has_expiry,has_strike,has_lot_size,has_bid_ask,has_quote_time,usable_for_option_e2e,blocker
/Users/madhuram/tradebot-data/independent_underlying_confirmation_v3/evaluation_ledgers/ec7470123b2082a95d8d1d6f20886e01/AC16_PRIOR_EXTREME_ACCEPTANCE_VWAP_MIGRATION/candidate_outcome_ledger.jsonl,/Users/madhuram/tradebot-data/independent_underlying_confirmation_v3/evaluation_ledgers/ec7470123b2082a95d8d1d6f20886e01/AC16_PRIOR_EXTREME_ACCEPTANCE_VWAP_MIGRATION/candidate_outcome_ledger.jsonl,.jsonl,140890,736a841cea8c5b215c1dce7ce78559838832d02651b78826367b080f2d58677a,278,"['candidate_id', 'direction', 'entry_index', 'entry_ts', 'exit_index', 'history_hash', 'horizon_minutes', 'hypothesis_id', 'mae_bps', 'mfe_bps', 'outcome_bps', 'session_date', 'target_symbol']",,,derived_report,none,NOT_AUTHORITY,False,False,False,False,False,False,False,not_option_e2e_authority_or_quote
/Users/madhuram/tradebot-data/independent_underlying_confirmation_v3/evaluation_ledgers/ec7470123b2082a95d8d1d6f20886e01/AC24_PRIOR_SESSION_BODY_MIDPOINT_REJECTION/candidate_outcome_ledger.jsonl,/Users/madhuram/tradebot-data/independent_underlying_confirmation_v3/evaluation_ledgers/ec7470123b2082a95d8d1d6f20886e01/AC24_PRIOR_SESSION_BODY_MIDPOINT_REJECTION/candidate_outcome_ledger.jsonl,.jsonl,51918,47b649fad19f4d15e0ec9b3636fd2118187f9e751d68ccdd09cee11c5aab4b2e,103,"['candidate_id', 'direction', 'entry_index', 'entry_ts', 'exit_index', 'history_hash', 'horizon_minutes', 'hypothesis_id', 'mae_bps', 'mfe_bps', 'outcome_bps', 'session_date', 'target_symbol']",,,derived_report,none,NOT_AUTHORITY,False,False,False,False,False,False,False,not_option_e2e_authority_or_quote
/Users/madhuram/tradebot-data/independent_underlying_confirmation_v3/monthly_staging/BANKNIFTY/BANKNIFTY_2023-01-02_2023-01-31.json,/Users/madhuram/tradebot-data/independent_underlying_confirmation_v3/monthly_staging/BANKNIFTY/BANKNIFTY_2023-01-02_2023-01-31.json,.json,535723,abfe3e240a09e758cba06844be958a527d9195c84a6851f794444447045d3c89,1,"['status', 'data']",,,unknown,none,NOT_AUTHORITY,True,False,False,False,False,False,False,not_option_e2e_authority_or_quote
/Users/madhuram/tradebot-data/independent_underlying_confirmation_v3/monthly_staging/BANKNIFTY/BANKNIFTY_2023-02-01_2023-02-28.json,/Users/madhuram/tradebot-data/independent_underlying_confirmation_v3/monthly_staging/BANKNIFTY/BANKNIFTY_2023-02-01_2023-02-28.json,.json,509996,8296195c01600d50aa4e4aed42de2731974df479f5efbc888dc75e5a1f619595,1,"['status', 'data']",,,unknown,none,NOT_AUTHORITY,True,False,False,False,False,False,False,not_option_e2e_authority_or_quote
/Users/madhuram/tradebot-data/independent_underlying_confirmation_v3/monthly_staging/BANKNIFTY/BANKNIFTY_2023-03-01_2023-03-31.json,/Users/madhuram/tradebot-data/independent_underlying_confirmation_v3/monthly_staging/BANKNIFTY/BANKNIFTY_2023-03-01_2023-03-31.json,.json,535515,0469b7b5b6d043b38de684b753807849bb009d37ab673679a748bea52632d1fb,1,"['status', 'data']",,,unknown,none,NOT_AUTHORITY,True,False,False,False,False,False,False,not_option_e2e_authority_or_quote
/Users/madhuram/tradebot-data/independent_underlying_confirmation_v3/monthly_staging/BANKNIFTY/BANKNIFTY_2023-04-01_2023-04-30.json,/Users/madhuram/tradebot-data/independent_underlying_confirmation_v3/monthly_staging/BANKNIFTY/BANKNIFTY_2023-04-01_2023-04-30.json,.json,433558,f1ef982281bc9f78666b2fea4a8fd08a8c5b561e864af4eba826b3c24f683130,1,"['status', 'data']",,,unknown,none,NOT_AUTHORITY,True,False,False,False,False,False,False,not_option_e2e_authority_or_quote
/Users/madhuram/tradebot-data/independent_underlying_confirmation_v3/monthly_staging/BANKNIFTY/BANKNIFTY_2023-05-01_2023-05-31.json,/Users/madhuram/tradebot-data/independent_underlying_confirmation_v3/monthly_staging/BANKNIFTY/BANKNIFTY_2023-05-01_2023-05-31.json,.json,561171,485ced6e61792a5b796587837ed52f009ae4842382ac700887675d08841601c3,1,"['status', 'data']",,,unknown,none,NOT_AUTHORITY,True,False,False,False,False,False,False,not_option_e2e_authority_or_quote
/Users/madhuram/tradebot-data/independent_underlying_confirmation_v3/monthly_staging/BANKNIFTY/BANKNIFTY_2023-06-01_2023-06-30.json,/Users/madhuram/tradebot-data/independent_underlying_confirmation_v3/monthly_staging/BANKNIFTY/BANKNIFTY_2023-06-01_2023-06-30.json,.json,535617,ff1277dddaa210e5e09d4f1630a1d7b41fb2777f521184ae2ebbef9288bea5e9,1,"['status', 'data']",,,unknown,none,NOT_AUTHORITY,True,False,False,False,False,False,False,not_option_e2e_authority_or_quote
/Users/madhuram/tradebot-data/independent_underlying_confirmation_v3/monthly_staging/BANKNIFTY/BANKNIFTY_2023-07-01_2023-07-31.json,/Users/madhuram/tradebot-data/independent_underlying_confirmation_v3/monthly_staging/BANKNIFTY/BANKNIFTY_2023-07-01_2023-07-31.json,.json,535561,cb3609f8a65745d03bf7a121afc7515e64b61424074103dc1e77245e36754898,1,"['status', 'data']",,,unknown,none,NOT_AUTHORITY,True,False,False,False,False,False,False,not_option_e2e_authority_or_quote
/Users/madhuram/tradebot-data/independent_underlying_confirmation_v3/monthly_staging/BANKNIFTY/BANKNIFTY_2023-08-01_2023-08-31.json,/Users/madhuram/tradebot-data/independent_underlying_confirmation_v3/monthly_staging/BANKNIFTY/BANKNIFTY_2023-08-01_2023-08-31.json,.json,561023,28e2487e223b007531446f212aaa816cd4866e87e2d3b1fee639cf47ed9f740c,1,"['status', 'data']",,,unknown,none,NOT_AUTHORITY,True,False,False,False,False,False,False,not_option_e2e_authority_or_quote
