absolute_path,file_count,file_type,instrument,granularity,start_timestamp,end_timestamp,timezone_semantics,session_count,row_count,schema_fingerprint,missing_field_summary,duplicate_summary,timestamp_monotonicity,data_kind,provenance_confidence,admissible_for_discovery,admissible_for_validation,admissible_for_execution_simulation,admissible_for_observation,exclusion_reason,archive_sha256,member_size,size_bytes,sha256
/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240122/manifests/upstox_fetch_manifest_20240122.json,1,json,,,,,UNKNOWN,0,0,,{},{},UNKNOWN,archive_member_observation_only,LOW,False,False,False,True,not_underlying_candle_member_for_initial_campaign,4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707,380.0,,
/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240123/manifests/upstox_fetch_manifest_20240123.json,1,json,,,,,UNKNOWN,0,0,,{},{},UNKNOWN,archive_member_observation_only,LOW,False,False,False,True,not_underlying_candle_member_for_initial_campaign,4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707,380.0,,
/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240124/manifests/upstox_fetch_manifest_20240124.json,1,json,,,,,UNKNOWN,0,0,,{},{},UNKNOWN,archive_member_observation_only,LOW,False,False,False,True,not_underlying_candle_member_for_initial_campaign,4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707,380.0,,
/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240125/manifests/upstox_fetch_manifest_20240125.json,1,json,,,,,UNKNOWN,0,0,,{},{},UNKNOWN,archive_member_observation_only,LOW,False,False,False,True,not_underlying_candle_member_for_initial_campaign,4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707,380.0,,
/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240126/manifests/upstox_fetch_manifest_20240126.json,1,json,,,,,UNKNOWN,0,0,,{},{},UNKNOWN,archive_member_observation_only,LOW,False,False,False,True,not_underlying_candle_member_for_initial_campaign,4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707,380.0,,
/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240129/manifests/upstox_fetch_manifest_20240129.json,1,json,,,,,UNKNOWN,0,0,,{},{},UNKNOWN,archive_member_observation_only,LOW,False,False,False,True,not_underlying_candle_member_for_initial_campaign,4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707,380.0,,
/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240130/manifests/upstox_fetch_manifest_20240130.json,1,json,,,,,UNKNOWN,0,0,,{},{},UNKNOWN,archive_member_observation_only,LOW,False,False,False,True,not_underlying_candle_member_for_initial_campaign,4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707,380.0,,
/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240131/manifests/upstox_fetch_manifest_20240131.json,1,json,,,,,UNKNOWN,0,0,,{},{},UNKNOWN,archive_member_observation_only,LOW,False,False,False,True,not_underlying_candle_member_for_initial_campaign,4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707,380.0,,
/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240201/manifests/upstox_fetch_manifest_20240201.json,1,json,,,,,UNKNOWN,0,0,,{},{},UNKNOWN,archive_member_observation_only,LOW,False,False,False,True,not_underlying_candle_member_for_initial_campaign,4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707,380.0,,
/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240202/manifests/upstox_fetch_manifest_20240202.json,1,json,,,,,UNKNOWN,0,0,,{},{},UNKNOWN,archive_member_observation_only,LOW,False,False,False,True,not_underlying_candle_member_for_initial_campaign,4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707,380.0,,
/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240205/manifests/upstox_fetch_manifest_20240205.json,1,json,,,,,UNKNOWN,0,0,,{},{},UNKNOWN,archive_member_observation_only,LOW,False,False,False,True,not_underlying_candle_member_for_initial_campaign,4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707,380.0,,
/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240206/manifests/upstox_fetch_manifest_20240206.json,1,json,,,,,UNKNOWN,0,0,,{},{},UNKNOWN,archive_member_observation_only,LOW,False,False,False,True,not_underlying_candle_member_for_initial_campaign,4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707,380.0,,
