datetime,open,high,low,close,volume_optional,source,completed_bar,timezone
2026-08-10 09:15:00,24581.25,24607.95,24557.95,24602.7,0.0,KITE_HISTORICAL_READ_ONLY_UPLOADED_CSV,True,Asia/Kolkata
2026-08-10 09:20:00,24602.85,24620.95,24590.0,24590.35,0.0,KITE_HISTORICAL_READ_ONLY_UPLOADED_CSV,True,Asia/Kolkata
2026-08-10 09:25:00,24589.95,24592.4,24553.55,24553.55,0.0,KITE_HISTORICAL_READ_ONLY_UPLOADED_CSV,True,Asia/Kolkata
2026-08-10 09:30:00,24557.9,24560.9,24533.05,24533.05,0.0,KITE_HISTORICAL_READ_ONLY_UPLOADED_CSV,True,Asia/Kolkata
2026-08-10 09:35:00,24534.25,24536.15,24511.1,24528.05,0.0,KITE_HISTORICAL_READ_ONLY_UPLOADED_CSV,True,Asia/Kolkata
2026-08-10 09:40:00,24528.85,24530.35,24512.95,24521.15,0.0,KITE_HISTORICAL_READ_ONLY_UPLOADED_CSV,True,Asia/Kolkata
2026-08-10 09:45:00,24521.75,24538.8,24518.45,24527.6,0.0,KITE_HISTORICAL_READ_ONLY_UPLOADED_CSV,True,Asia/Kolkata
2026-08-10 09:50:00,24529.3,24542.8,24524.55,24527.9,0.0,KITE_HISTORICAL_READ_ONLY_UPLOADED_CSV,True,Asia/Kolkata
2026-08-10 09:55:00,24528.25,24538.2,24525.05,24534.25,0.0,KITE_HISTORICAL_READ_ONLY_UPLOADED_CSV,True,Asia/Kolkata
2026-08-10 10:00:00,24536.35,24551.4,24530.25,24538.5,0.0,KITE_HISTORICAL_READ_ONLY,true,Asia/Kolkata
2026-08-10 10:05:00,24540.6,24547.0,24532.45,24534.65,0.0,KITE_HISTORICAL_READ_ONLY,true,Asia/Kolkata
2026-08-10 10:10:00,24535.3,24547.7,24533.75,24544.75,0.0,KITE_HISTORICAL_READ_ONLY,true,Asia/Kolkata
2026-08-10 10:15:00,24545.9,24574.9,24545.6,24574.25,0.0,KITE_HISTORICAL_READ_ONLY,true,Asia/Kolkata
2026-08-10 10:20:00,24574.95,24593.8,24571.35,24592.55,0.0,KITE_HISTORICAL_READ_ONLY,true,Asia/Kolkata
2026-08-10 10:25:00,24594.35,24595.4,24580.25,24594.8,0.0,KITE_HISTORICAL_READ_ONLY,true,Asia/Kolkata
2026-08-10 10:30:00,24595.2,24601.15,24584.85,24585.55,0.0,KITE_HISTORICAL_READ_ONLY,true,Asia/Kolkata
2026-08-10 10:35:00,24586.0,24595.05,24585.5,24593.85,0.0,KITE_HISTORICAL_READ_ONLY,true,Asia/Kolkata
2026-08-10 10:40:00,24594.9,24605.35,24592.9,24603.65,0.0,KITE_HISTORICAL_READ_ONLY,true,Asia/Kolkata
2026-08-10 10:45:00,24604.1,24614.5,24600.15,24600.9,0.0,KITE_HISTORICAL_READ_ONLY,true,Asia/Kolkata
2026-08-10 10:50:00,24601.2,24603.05,24586.35,24588.0,0.0,KITE_HISTORICAL_READ_ONLY,true,Asia/Kolkata
2026-08-10 10:55:00,24588.4,24590.9,24585.85,24588.2,0.0,KITE_HISTORICAL_READ_ONLY,true,Asia/Kolkata
2026-08-10 11:00:00,24588.8,24601.05,24587.95,24600.75,0.0,KITE_HISTORICAL_READ_ONLY,true,Asia/Kolkata
2026-08-10 11:05:00,24600.2,24602.05,24589.35,24591.3,0.0,KITE_HISTORICAL_READ_ONLY,true,Asia/Kolkata
2026-08-10 11:10:00,24591.95,24602.7,24586.2,24602.35,0.0,KITE_HISTORICAL_READ_ONLY,true,Asia/Kolkata
2026-08-10 11:15:00,24602.9,24604.15,24592.65,24601.6,0.0,KITE_HISTORICAL_READ_ONLY,true,Asia/Kolkata
2026-08-10 11:20:00,24602.5,24607.7,24597.15,24601.15,0.0,KITE_HISTORICAL_READ_ONLY,true,Asia/Kolkata
2026-08-10 11:25:00,24601.25,24610.45,24600.2,24603.9,0.0,KITE_HISTORICAL_READ_ONLY,true,Asia/Kolkata
2026-08-10 11:30:00,24604.25,24604.95,24581.65,24585.4,0.0,KITE_HISTORICAL_READ_ONLY,true,Asia/Kolkata
2026-08-10 11:35:00,24585.85,24599.9,24581.05,24595.55,0.0,KITE_HISTORICAL_READ_ONLY,true,Asia/Kolkata
2026-08-10 11:40:00,24596.65,24600.75,24582.7,24583.15,0.0,KITE_HISTORICAL_READ_ONLY,true,Asia/Kolkata
2026-08-10 11:45:00,24583.5,24598.5,24574.65,24591.25,0.0,KITE_HISTORICAL_READ_ONLY,true,Asia/Kolkata
2026-08-10 11:50:00,24591.9,24599.4,24586.45,24586.45,0.0,KITE_HISTORICAL_READ_ONLY,true,Asia/Kolkata
2026-08-10 11:55:00,24587.65,24597.5,24583.0,24588.2,0.0,KITE_HISTORICAL_READ_ONLY,true,Asia/Kolkata
2026-08-10 12:00:00,24588.9,24589.15,24584.35,24584.8,0.0,KITE_HISTORICAL_READ_ONLY,true,Asia/Kolkata
